office_id,official_post,real_name,honorary_title,party,started_service,ended_service,details
1,Chancellor of the Exchequer,William Pitt,N/A,Tory,1783/12/19,1801/03/14,"Nothing noteworthy to report except that his title had the added bit ""The Younger""."
1,Chancellor of the Exchequer,Henry Addington,N/A,Tory,1801/03/14,1804/05/10,Was given the title Viscount Sidmouth (the 1st) in 1805 after retiring from Parliament.
1,Chancellor of the Exchequer,William Pitt,N/A,Tory,1804/05/10,1806/01/23,Died in office.
1,Chancellor of the Exchequer,Edward Law,1st Baron Ellenborough,Tory,1806/01/23,1806/02/05,Became the 1st Baron Ellenborough in 1802 so he might have been referred to as Baron or Ellenborough in Parliament.
1,Chancellor of the Exchequer,Henry Petty-Fitzmaurice,N/A,Whig,1806/02/05,1807/03/26,"3rd Marquess of Lansdowne in 1809 after his father died, and he lost his seat and office but he remained a prominent member of the Whig party until he passed in 1863."
1,Chancellor of the Exchequer,Spencer Perceval,N/A,Tory,1807/03/26,1812/05/11,Nothing noteworthy to report.
1,Chancellor of the Exchequer,Nicholas Vansittart,N/A,Tory,1812/06/09,1823/01/31,Was granted the title/peerage 1st Baron Bexley of Bexley in Kent county in March 1823 after his time in Parliament.
1,Chancellor of the Exchequer,Frederick John Robinson, Viscount Goderich,Tory,1823/01/31,1827/04/27,"Was granted the title Viscount Goderich in january 1827, was later granted the peerage 1st Earl of Ripon to recieve Garter from the King, since a viscountcy was not sufficient for the role. (Wikipedia:Pike, E Royston (1968). Britain's Prime Ministers. London: Odhams pg. 177)"
1,Chancellor of the Exchequer,George Canning,N/A,Tory,1827/04/27,1827/08/08,Nothing noteworthy to report.
1,Chancellor of the Exchequer,Charles Abbot,1st Baron Tenterden,Tory,1827/08/08,1827/09/05,"Was granted peerage (Baron Tenterden) in April 1827 of Hendon in Middlesex county, he may have been referred as such in the speeches."
1,Chancellor of the Exchequer,John Charles Herries,N/A,Tory,1827/09/05,1828/01/26,Nothing noteworthy to report.
1,Chancellor of the Exchequer,Henry Goulburn,N/A,Tory,1828/01/26,1830/11/22,Nothing noteworthy to report.
1,Chancellor of the Exchequer,John Spencer,Viscount Althorp,Whig,1830/11/22,1834/11/14,"Was Viscount Althorp from 183 a year after he was born, was the 3rd Earl of Spencer after his father's death in 1834 (when he left politics)."
1,Chancellor of the Exchequer,Thomas Denman,1st Baron Denman,Whig,1834/11/14,1834/12/15,"Was promoted to Baron denman in 1834 no specifics, so we can assume he might have been called Baron or Denman in Parliament."
1,Chancellor of the Exchequer,Robert Peel,N/A,Conservative,1834/12/15,1835/04/08,"Was a 3rd Baronet, not much info to be found."
1,Chancellor of the Exchequer,Thomas Spring Rice,N/A,Whig,1835/04/18,1839/08/26,Was promoted to 1st Baron Monteagle of Brandon after leaving office in 1839.
