prefix,firstname,surname,dob,dod,alias_type,alias,start,end,corresponding_id
Mr,William,A'Court,1779-07-11,1860-05-31,lord_membership,Baron Heytesbury,1828-01-23,1860-05-31,1871.0
Baron,Charles,Abbot,1757-10-14,1829-05-08,lord_membership,Baron Colchester of Colchester,1817-06-03,1829-05-08,
Mr,Charles,Abbot,1798-03-12,1867-10-18,lord_membership,Baron Colchester of Colchester,1829-05-08,1867-10-18,
Mr,Reginald,Abbot,1842-02-13,1919-02-26,lord_membership,Baron Colchester of Colchester,1867-10-18,1919-02-26,6904.0
Mr,Charles,Abbott,,1832-11-04,lord_membership,Baron Tenterden,1827-04-30,1832-11-04,6825.0
Mr,George,Abercromby,1770-10-14,1843-02-15,lord_membership,Baron Abercromby of Aboukir and Tullibody,1821-02-11,1843-02-15,
Mr,George,Abercromby,1800-01-01,1852-12-31,lord_membership,Baron Abercromby,1843-01-01,1852-12-31,
Mr,George,Abercromby,1838-09-23,1917-10-30,lord_membership,Baron Abercromby of Aboukir and Tullibody,1852-06-25,1917-10-30,
Mr,James,Abercromby,1776-01-01,1858-12-31,lord_membership,Baron Dunfermline,1839-01-01,1858-12-31,1741.0
Mr,Robert,Abercromby,1835-01-01,1895-12-31,alternative_name,Robert Duff,1835-01-01,1895-12-31,1859.0
Mr,Charles,Abney-Hastings,1822-06-17,1895-07-24,lord_membership,Baron Donington,1880-05-04,1895-07-24,6988.0
Viscount,,Acheson,1806-01-01,1864-12-31,lord_membership,Baron Acheson of Clancairney,1847-01-01,1864-12-31,
Viscount,,Acheson,1806-01-01,1864-12-31,lord_membership,Earl of Gosford,1849-01-01,1864-12-31,
Viscount,,Acheson,1806-01-01,1864-12-31,lord_membership,Baron Worlingham of Beccles,1849-03-27,1864-06-15,
Viscount,,Acheson,1806-01-01,1864-12-31,alternative_name,Archibald Acheson,1806-01-01,1864-12-31,
Viscount,,Acheson,1806-01-01,1864-12-31,alternative_title,Baron Gosford of Market Hill,1849-03-27,1864-06-15,
Viscount,,Acheson,1806-01-01,1864-12-31,alternative_title,Earl of Gosford,1849-03-27,1864-06-15,
Viscount,,Acheson,1806-01-01,1864-12-31,alternative_title,Viscount Gosford of Market Hill,1849-03-27,1864-06-15,
Mr,Archibald,Acheson,1841-08-19,1922-04-11,lord_membership,Baron Acheson of Clancairney,1864-06-15,1922-04-11,
Mr,Archibald,Acheson,1841-08-19,1922-04-11,lord_membership,Baron Worlingham of Beccles,1864-06-15,1922-04-11,
Mr,Archibald,Acheson,1841-08-19,1922-04-11,alternative_title,Baron Gosford of Market Hill,1864-06-15,1922-04-11,
Mr,Archibald,Acheson,1841-08-19,1922-04-11,alternative_title,Earl of Gosford,1864-06-15,1922-04-11,
Mr,Archibald,Acheson,1841-08-19,1922-04-11,alternative_title,Viscount Gosford of Market Hill,1864-06-15,1922-04-11,
Mr,Archibald,Acheson,1776-08-01,1849-03-27,lord_membership,Baron Worlingham of Beccles,1835-06-13,1849-03-27,
Mr,Archibald,Acheson,1776-08-01,1849-03-27,alternative_title,Baron Gosford of Market Hill,1807-01-14,1849-03-27,
Mr,Archibald,Acheson,1776-08-01,1849-03-27,alternative_title,Earl of Gosford,1807-01-14,1849-03-27,
Mr,Archibald,Acheson,1776-08-01,1849-03-27,alternative_title,Viscount Gosford of Market Hill,1807-01-14,1849-03-27,
Mr,Alexander,Acland-Hood,1853-01-01,1917-12-31,alternative_name,Alexander Fuller-Acland-Hood,1853-01-01,1917-12-31,7276.0
Sir,John,Acton,1834-01-01,1902-12-31,lord_membership,Baron Acton,1897-01-01,1902-12-31,4615.0
Mr,Robert,Adair,1811-08-25,1886-02-05,lord_membership,Baron Waveney,1873-04-10,1886-02-05,6950.0
Mrs,Jennie,Adamson,1882-01-01,1962-04-25,alternative_name,Jennie Johnston,1882-01-01,1962-12-31,
Viscount,,Adare,1812-01-01,1871-12-31,lord_membership,Baron Kenry,1866-01-01,1871-12-31,
Viscount,,Adare,1812-01-01,1871-12-31,alternative_name,Edwin Wyndham-Quin,1812-01-01,1871-12-31,
Viscount,,Adare,1812-01-01,1871-12-31,alternative_name,Earl of Dunraven,1850-01-01,1871-12-31,
Viscount,,Adare,1812-01-01,1871-12-31,alternative_title,Baron Adare,1850-08-06,1871-10-06,
Viscount,,Adare,1812-01-01,1871-12-31,alternative_title,Earl of Dunraven and Mount-Earl,1850-08-06,1871-10-06,
Viscount,,Adare,1812-01-01,1871-12-31,alternative_title,Viscount Adare,1850-08-06,1871-10-06,
Viscount,,Adare,1812-01-01,1871-12-31,alternative_title,Viscount Mount-Earl,1850-08-06,1871-10-06,
Mr,Charles,Adderley,1814-01-01,1905-03-28,lord_membership,Baron Norton,1878-01-01,1905-03-28,3737.0
Mr,Henry,Addington,1757-05-30,1844-02-15,lord_membership,Viscount Sidmouth,1805-01-12,1844-02-15,745.0
Hon.,William,Addington,1824-01-01,1913-10-28,lord_membership,Viscount Sidmouth,1864-01-01,1913-10-28,4765.0
Mr,Henry,Agar,1863-09-02,1895-03-28,lord_membership,Baron Dover,1866-02-20,1895-03-28,6892.0
Mr,Henry,Agar,1863-09-02,1895-03-28,alternative_title,Lord Clifden,1866-02-20,1895-03-28,6892.0
Mr,Henry,Agar,1863-09-02,1895-03-28,alternative_title,Viscount Clifden of Gowran,1866-02-20,1895-03-28,6892.0
Mr,John,Agar,,1896-12-19,lord_membership,Baron Somerton,1873-04-09,1896-12-19,
Mr,George,Agar-Ellis,1797-01-17,1833-07-10,lord_membership,Baron Dover,1831-06-20,1833-07-10,
Mr,Henry,Agar-Ellis,1825-02-25,1866-02-20,lord_membership,Baron Dover,1833-07-10,1866-02-20,6454.0
Mr,Henry,Agar-Ellis,1825-02-25,1866-02-20,alternative_title,Lord Clifden,1836-07-13,1866-02-20,6454.0
Mr,Henry,Agar-Ellis,1825-02-25,1866-02-20,alternative_title,Viscount Clifden of Gowran,1836-07-13,1866-02-20,6454.0
Mr,Leopold,Agar-Ellis,1829-01-01,1899-12-31,lord_membership,Viscount Clifden,1895-01-01,1899-12-31,4493.0
Mr,Leopold,Agar-Ellis,1829-01-01,1899-12-31,lord_membership,Baron Dover,1895-03-28,1899-09-10,4493.0
Mr,Leopold,Agar-Ellis,1829-01-01,1899-12-31,alternative_title,Lord Clifden,1895-03-28,1899-09-10,4493.0
Mr,Leopold,Agar-Ellis,1829-01-01,1899-12-31,alternative_title,Viscount Clifden of Gowran,1895-03-28,1899-09-10,4493.0
Hon.,Thomas,Agar-Robartes,1844-01-01,1930-07-19,lord_membership,Baron Robartes,1882-01-01,1930-07-19,
Hon.,Thomas,Agar-Robartes,1844-01-01,1930-07-19,lord_membership,Viscount Clifden,1899-01-01,1930-07-19,
Hon.,Thomas,Agar-Robartes,1844-01-01,1930-07-19,alternative_name,Thomas Robartes,1844-01-01,1930-12-31,
Hon.,Thomas,Agar-Robartes,1844-01-01,1930-07-19,alternative_title,Lord Clifden,1899-09-10,1930-07-19,
Hon.,Thomas,Agar-Robartes,1844-01-01,1930-07-19,alternative_title,Viscount Clifden of Gowran,1899-09-10,1930-07-19,
Mr,Thomas,Agar-Robartes,1808-01-01,1882-12-31,lord_membership,Baron Robartes,1869-01-01,1882-12-31,
Mr,Thomas,Agar-Robartes,1808-01-01,1882-12-31,alternative_name,Thomas Agar,1808-01-01,1822-12-31,3919.0
Mr,Richard,Airey,,1881-09-13,lord_membership,Baron Airey,1876-11-29,1881-09-13,
Mr,Max,Aitken,1879-01-01,1964-06-09,alternative_name,Lord Beaverbrook,1879-01-01,1964-12-31,
Mr,Aretas,Akers-Douglas,1851-01-01,1926-01-15,alternative_name,Aretas Akers,1851-01-01,1875-12-31,5708.0
Viscount,,Alexander,1812-01-01,1855-12-31,lord_membership,Earl Caledon,1837-01-01,1855-12-31,
Viscount,,Alford,1812-01-01,1851-12-31,alternative_name,John Cust,1812-01-01,1851-12-31,
Hon.,Alfred,Allsopp,1861-01-01,1929-02-22,lord_membership,Baron Hindlip,1897-01-01,1929-02-22,6350.0
Sir,Henry,Allsopp,1811-01-01,1887-12-31,lord_membership,Baron Hindlip,1886-01-01,1887-12-31,5504.0
