id,fullname,title,first_name,surname,start_term,end_term,dob,dod,location,member_id
9200,Mr John Neilson Gladstone,Mr,John Neilson,Gladstone,1852-01-01,1857-03-26,1807-01-18,1863-02-17,Devizes,3626
9201,Mr John Neilson Gladstone,Mr,John Neilson,Gladstone,1842-08-17,1847-07-29,1807-01-18,1863-02-17,Ipswich,3626
9202,Mr John Neilson Gladstone,Mr,John Neilson,Gladstone,1841-02-04,1841-06-29,1807-01-18,1863-02-17,Walsall,3626
9204,Mr John Gladstone,Mr,John,Gladstone,1818-01-01,1820-12-31,1764-12-11,1851-12-07,Lancaster,2067
9205,Mr John Gladstone,Mr,John,Gladstone,1820-01-01,1826-12-31,1764-12-11,1851-12-07,Woodstock,2067
9208,Mr John Gladstone,Mr,John,Gladstone,1826-01-01,1827-12-31,1764-12-11,1851-12-07,Berwick-upon-Tweed,2067
9209,Mr Herbert John Gladstone,Mr,Herbert John,Gladstone,1880-05-10,1885-11-24,1854-01-07,1930-03-06,Leeds,5833
9210,Mr Herbert John Gladstone,Mr,Herbert John,Gladstone,1885-01-01,1910-01-01,1854-01-07,1930-03-06,Leeds West,5833
9211,Mr Herbert John Gladstone,Mr,Herbert John,Gladstone,1885-01-01,1910-01-01,1854-01-07,1930-03-06,Leeds,5833
9212,Mr William Glynne Charles Gladstone,Mr,William Glynne Charles,Gladstone,1911-09-26,1915-04-13,1885-07-14,1915-04-13,Kilmarnock District of Burghs,8669
9213,Mr William Henry Gladstone,Mr,William Henry,Gladstone,1868-11-17,1880-04-27,1840-06-03,1891-07-04,Whitby,4834
9214,Mr William Henry Gladstone,Mr,William Henry,Gladstone,1880-03-31,1885-12-18,1840-06-03,1891-07-04,East Worcestershire,4834
9215,Mr William Ewart Gladstone,Mr,William Ewart,Gladstone,1832-12-08,1847-07-29,1809-12-29,1898-05-19,Newark-on-Trent,3104
9216,Mr William Ewart Gladstone,Mr,William Ewart,Gladstone,1847-08-01,1865-07-18,1809-12-29,1898-05-19,Oxford,3104
9217,Mr William Ewart Gladstone,Mr,William Ewart,Gladstone,1865-08-01,1868-11-01,1809-12-29,1898-05-19,South Lancashire,3104
9219,Mr William Ewart Gladstone,Mr,William Ewart,Gladstone,1880-04-01,1895-08-07,1809-12-29,1898-05-19,Edinburghshire,3104
9300,Mr Joseph Hume,Mr,Joseph,Hume,1812-01-18,1812-10-27,1777-01-01,1855-12-31,Weymouth and Melcombe Regis,1712
9301,Mr Joseph Hume,Mr,Joseph,Hume,1818-07-13,1830-08-23,1777-01-01,1855-12-31,Aberdeen,1712
9302,Mr Joseph Hume,Mr,Joseph,Hume,1832-12-10,1837-07-24,1777-01-01,1855-12-31,Middlesex,1712
9303,Mr Joseph Hume,Mr,Joseph,Hume,1837-07-24,1841-06-29,1777-01-01,1855-12-31,Kilkenny,1712
9304,Mr Joseph Hume,Mr,Joseph,Hume,1842-04-16,1855-12-31,1777-01-01,1855-12-31,Montrose District of Burghs,1712
9305,Sir Abraham Hume,Sir,Abraham,Hume,1807-05-05,1818-09-04,1749-02-20,1838-03-24,Hastings,1561
9306,Mr William Hume,Mr,William,Hume,1852-07-07,1880-03-31,1805-01-01,1886-12-31,Wicklow,4316
9400,Sir Robert Peel,Sir,Robert,Peel,1790-06-18,1820-12-31,1750-04-25,1830-05-03,Tamworth,1098
9410,Sir Robert Peel,Sir,Robert,Peel,1809-04-15,1812-10-26,1788-01-01,1850-12-31,Cashel,1664
9411,Sir Robert Peel,Sir,Robert,Peel,1812-10-07,1817-06-19,1788-01-01,1850-12-31,Chippenham,1664
9412,Sir Robert Peel,Sir,Robert,Peel,1817-06-10,1821-08-24,1788-01-01,1850-12-31,Oxford University,1664
9413,Sir Robert Peel,Sir,Robert,Peel,1829-03-02,1830-07-30,1788-01-01,1850-12-31,Westbury,1664
9414,Sir Robert Peel,Sir,Robert,Peel,1832-12-10,1850-07-02,1788-01-01,1850-12-31,Tamworth,1664
9420,Sir Robert Peel,Sir,Robert,Peel,1850-07-19,1880-03-31,1822-01-01,1895-12-31,Tamworth,4101
9421,Sir Robert Peel,Sir,Robert,Peel,1884-03-21,1885-11-28,1822-01-01,1895-12-31,Huntingdon,4101
9422,Sir Robert Peel,Sir,Robert,Peel,1885-11-24,1886-07-01,1822-01-01,1895-12-31,Blackburn,4101
