office_id,official_post,corresponding_id,real_name,honorary_title,party,started_service,ended_service,issues,details
44,Lord Chancellor,6755,Alexander Wedderburn,Baron Loughborough,N/A,1793/01/28,1801/04/21,N/A,He was raised to the peerage in 1780 as Baron Loughborough. he was created Earl of Rosslyn on 21 April 1801
44,Lord Chancellor,6755,Alexander Wedderburn,Lord Loughborough,N/A,1793/01/28,1801/04/21,N/A,He was raised to the peerage in 1780 as Baron Loughborough. he was created Earl of Rosslyn on 21 April 1801
44,Lord Chancellor,6733,John Scott,Baron Eldon,Tory,1801/04/21,1806/02/07,N/A,"1799 Baron Eldon, and In 1821, Lord Eldon had been created Viscount Encombe and Earl of Eldon by George IV. "
44,Lord Chancellor,6733,John Scott,Lord Eldon,Tory,1801/04/21,1806/02/07,N/A,"1799 Baron Eldon, and In 1821, Lord Eldon had been created Viscount Encombe and Earl of Eldon by George IV. "
44,Lord Chancellor,1019,Thomas Erskine,Baron Erskine,Whig,1806/02/07,1807/04/01,N/A,"He was created a peer on 10 February 1806 to become Lord Chancellor, Baron Erskine."
44,Lord Chancellor,1019,Thomas Erskine,Lord Erskine,Whig,1806/02/07,1807/04/01,N/A,"He was created a peer on 10 February 1806 to become Lord Chancellor, Baron Erskine."
44,Lord Chancellor,6733,John Scott,Baron Eldon,Tory,1807/04/01,1827/04/12,N/A,"1799 Baron Eldon, and In 1821, Lord Eldon had been created Viscount Encombe and Earl of Eldon by George IV. "
44,Lord Chancellor,6733,John Scott,Lord Eldon,Tory,1807/04/01,1827/04/12,N/A,"1799 Baron Eldon, and In 1821, Lord Eldon had been created Viscount Encombe and Earl of Eldon by George IV. "
44,Lord Chancellor,1987,John Singleton Copley,Baron Lyndhurst,Tory,1827/05/02,1830/11/24,N/A,was granted the title Baron Lyndhurst on 24 April 1827 (London Gazette).
44,Lord Chancellor,1987,John Singleton Copley,Lord Lyndhurst,Tory,1827/05/02,1830/11/24,N/A,was granted the title Baron Lyndhurst on 24 April 1827 (London Gazette).
44,Lord Chancellor,1679,Henry Peter Brougham,N/A,Whig,1830/11/24,1834/11/21,N/A,He became the 1st Baron Brougham and Vaux On 22 November 1834.
44,Lord Chancellor,1987,John Singleton Copley,Baron Lyndhurst,Conservative,1834/11/21,1835/04/08,N/A,was granted the title Baron Lyndhurst on 24 April 1827 (London Gazette).
44,Lord Chancellor,1987,John Singleton Copley,Lord Lyndhurst,Conservative,1834/11/21,1835/04/08,N/A,was granted the title Baron Lyndhurst on 24 April 1827 (London Gazette).
44,Lord Chancellor,N/A,N/A,N/A,N/A,1835/04/23,1836/01/16,N/A,ask Steph what to do? In Comission
44,Lord Chancellor,2817,Charles Christopher Pepys,Baron Cottenham,Whig,1836/01/16,1841/08/30,N/A,In January 1836 he was raised to the peerage Baron Cottenham. 
44,Lord Chancellor,2817,Charles Christopher Pepys,Lord Cottenham,Whig,1836/01/16,1841/08/30,N/A,In January 1836 he was raised to the peerage Baron Cottenham. 
44,Lord Chancellor,1987,John Singleton Copley,Baron Lyndhurst,Conservative,1841/09/03,1846/06/27,N/A,was granted the title Baron Lyndhurst on 24 April 1827 (London Gazette).
44,Lord Chancellor,1987,John Singleton Copley,Lord Lyndhurst,Conservative,1841/09/03,1846/06/27,N/A,was granted the title Baron Lyndhurst on 24 April 1827 (London Gazette).
