corresponding_id,alias,real_name,alias_type,start,end,extra,links
,Earl Percy,Algernon George Percy,title,1865,1867,"Grandfather, Secondary title","https://en.wikipedia.org/wiki/Algernon_Percy,_6th_Duke_of_Northumberland"
,Lord Lovaine,Algernon George Percy,title,1830,1865,"Grandfather, Courtesy title",
,Duke of Northumberland,Algernon George Percy,title,1867,1899/1/2,"Grandfather, Main title",
,Earl Percy,Henry George Percy,title,1867,1899,"Father, Secondary Title","https://en.wikipedia.org/wiki/Henry_Percy,_7th_Duke_of_Northumberland"
,Lord Lovaine,Henry George Percy,title,1865,1918/5/14,"Father, Courtesy Title",
,Duke of Northumberland,Henry George Percy,title,1899/1/2,1918/5/14,"Father, Main title",
,Lord Warkworth,Henry George Percy,title,1865,1867,"Father, Tertiary title",
,Earl Percy,Henry Algernon George Percy,title,1905/3/13,1909,"Son, Main title","https://en.wikipedia.org/wiki/Henry_Percy,_Earl_Percy"
,Lord Warkworth,Henry Algernon George Percy,title,1867,1899,"Son, Secondary title",
,Captain Norton,Cecil William Norton,title,1892,1916,unsure if start/end date is accurate,"https://en.wikipedia.org/wiki/Cecil_Norton,_1st_Baron_Rathcreedan"
,Baron Rathcreedan,Cecil William Norton,title,1916/1/27,1930/12/7,,
,Sir E Ashmead-Bartlett,Ellis Ashmead-Bartlett,title,1892,1902/1/18,,https://en.wikipedia.org/wiki/Ellis_Ashmead-Bartlett_(politician)
,Sir W Robson,William Snowdon Robson,title,1905,1918/9/11,"Was a politician from 1885, gained all titles during 1900s","https://en.wikipedia.org/wiki/William_Robson,_Baron_Robson"
,Lord Robson,William Snowdon Robson,title,1910/10/12,1918/9/11,,
,Baron Robson,William Snowdon Robson,title,1910/10/12,1918/9/11,,
,Bishop of Oxford,John Randolph,title,1799,1807,,https://en.wikipedia.org/wiki/John_Randolph_(bishop_of_London)
,Bishop of Oxford,Charles Moss,title,1807,1811,,https://en.wikipedia.org/wiki/Charles_Moss_(bishop_of_Oxford)
,Bishop of Oxford,William Jackson,title,1812,1815,,https://en.wikipedia.org/wiki/William_Jackson_(bishop)
,Bishop of Oxford,Edward Legge,title,1816,1827,,https://en.wikipedia.org/wiki/Edward_Legge_(bishop)
,Bishop of Oxford,Charles Lloyd,title,1827,1829,,https://en.wikipedia.org/wiki/Charles_Lloyd_(bishop)
,Bishop of Oxford,Richard Bagot,title,1829,1845,,https://en.wikipedia.org/wiki/Richard_Bagot_(bishop)
,Bishop of Oxford,Samuel Wilburforce,title,1845,1869,,https://en.wikipedia.org/wiki/Samuel_Wilberforce
,Bishop of Oxford,John Mackarness,title,1870,1889,,https://en.wikipedia.org/wiki/John_Mackarness
,Bishop of Oxford,William Stubbs,title,1889,1901,,https://en.wikipedia.org/wiki/William_Stubbs
,Lord St Leonards,Edward Burtenshaw Sugden,title,1852,1875,Grandfather,"https://en.wikipedia.org/wiki/Edward_Sugden,_1st_Baron_St_Leonards"
,Lord St Leonards,Edward Burtenshaw Sugden,title,1875,1908,"Grandson, minimal data on wikipedia, no data on hansard",https://en.wikipedia.org/wiki/Baron_St_Leonards
,Lord Wharncliffe,James Archibald Stuart-Wortley-Mackenzie,title,1826/7/12,1845/12/19,Also known as Baron Wharncliffe,"https://en.wikipedia.org/wiki/James_Stuart-Wortley,_1st_Baron_Wharncliffe"
