corresponding_id,alias,real_name,alias_type,start,end,extra
,Baroness Lucas,Amabel Hume-Campbell,title,1816,1833/03/04,
,Countess de Grey,Amabel Hume-Campbell,title,1797/01/11,1833/03/04,
,Baron Grantham,Thomas Philip de Grey,title,1786,1833/3/4,
,Baron Lucas,Thomas Philip de Grey,title,1833/03/05,1859/11/14,
,Earl de Grey,Thomas Philip de Grey,title,1833/03/05,1859/11/14,
,Baroness Lucas,Anne Florence Cowper,title,1859/11/15,1880,
,Viscount Fordwich,Francis Thomas de Grey Cowper,title,1837,1856/04/15,
,Earl Cowper,Francis Thomas de Grey Cowper,title,1856/04/16,1880,
,Baron Lucas,Francis Thomas de Grey Cowper,title,1880,1905/07/18,
,Baron Lucas,Auberon Thomas Herbert,title,1905/07/19,1916/11/03,
