corresponding_id,alias,real_name,alias_type,start,end,extra,links
,Earl Temple,Richard Temple-Nugent-Brydges-Chandos-Grenville,title,1784,1813/02/11,,
,Marquess of Buckingham,Richard Temple-Nugent-Brydges-Chandos-Grenville,title,1813/02/12,1822,,
,Duke of Buckingham,Richard Temple-Nugent-Brydges-Chandos-Grenville,title,1822,1839/01/17,,
,Viscount Cobham,Richard Temple-Nugent-Brydges-Chandos-Grenville,title,1797/02/11,1813/02/11,,
,Earl Temple,Richard Temple-Nugent-Brydges-Chandos-Grenville,title,1813/02/12,1822,2nd,
,Marquess of Chandos,Richard Temple-Nugent-Brydges-Chandos-Grenville,title,1822,1839/01/17,,
,Duke of Buckingham,Richard Temple-Nugent-Brydges-Chandos-Grenville,title,1839/01/18,1861/07/29,,
,Earl Temple,Richard Plantagenet Campbell Temple-Nugent-Brydges-Chandos-Grenville,title,1823/09/10,1839/01/17,3rd,
,Marquess of Chandos,Richard Plantagenet Campbell Temple-Nugent-Brydges-Chandos-Grenville,title,1839/01/18,1861/07/29,,
,Duke of Buckingham,Richard Plantagenet Campbell Temple-Nugent-Brydges-Chandos-Grenville,title,1861/07/30,1889/03/26,,
