corresponding_id,alias,real_name,alias_type,start,end,extra
,Duke of Marlbrough,George Spencer,title,1758/10/20,1817/01/29,
313,Marquess of Blandford,George Spencer,title,1739/01/26,1758/10/20,
313,Marquess of Blandford,George Spencer-Churchill,title,1766/03/06,1817/01/29,
,Duke of Marlbrough,George Spencer-Churchill,title,1817/01/30,1840/03/05,
,Baron Spencer,George Spencer-Churchill,title,1806,1840/03/05,5th
,Earl of Sunderland,George Spencer-Churchill,title,1793/12/27,1817/01/29,6th
313,Marquess of Blandford,George Spencer-Churchill,title,1817/01/30,1840/03/05,
,Duke of Marlbrough,George Spencer-Churchill,title,1840/03/04,1857/07/01,
,Earl of Sunderland,John Winston Spencer-Churchill,title,1822,1840/03/05,
313,Marquess of Blandford,John Winston Spencer-Churchill,title,1840/03/06,1857/07/01,
,Duke of Marlbrough,John Winston Spencer-Churchill,title,1857/07/02,1883/07/04,
,Earl of Sunderland,George Charles Spencer-Churchill,title,1844/05/13,1857/07/01,
313,Marquess of Blandford,George Charles Spencer-Churchill,title,1857/07/02,1883/07/04,
,Duke of Marlbrough,George Charles Spencer-Churchill,title,1883/07/05,1892/11/09,
,Earl of Sunderland,Charles Richard John Spencer-Churchill,title,1871/11/13,1883/07/04,
313,Marquess of Blandford,Charles Richard John Spencer-Churchill,title,1883/07/05,1892/11/09,
,Duke of Marlbrough,Charles Richard John Spencer-Churchill,title,1892/11/10,1934/06/30,
