corresponding_id,alias,real_name,alias_type,start,end,extra
,Duke of Wellington,Arthur Wellesley,title,1814/05/11,1852/08/14,
,Baron Duoro of Wellesley,Arthur Wellesley,title,1809/08/04,1852/08/14,
,Viscount Wellington of Talavera and of Wellington,Arthur Wellesley,title,1809/08/04,1852/08/14,
,Earl of Wellington,Arthur Wellesley,title,1812/02/28,1852/08/14,
,Marquess of Wellington,Arthur Wellesley,title,1812/10/03,1852/08/14,
,Duke of Wellington,Arthur Richard Wellesley,title,1852/08/15,1884/08/13,
,Baron Duoro of Wellesley,Arthur Richard Wellesley,title,1852/08/15,1884/08/13,
,Viscount Wellington,Arthur Richard Wellesley,title,1852/08/15,1884/08/13,of Talavera and of Wellington
,Earl of Wellington,Arthur Richard Wellesley,title,1852/08/15,1884/08/13,
,Marquess of Wellington,Arthur Richard Wellesley,title,1852/08/15,1884/08/13,
,Earl of Mornington,Arthur Richard Wellesley,title,1863/07/26,1884/08/13,
,Baron of Mornington,Arthur Richard Wellesley,title,1863/07/26,1884/08/13,
,Viscount Wellesley of Dangan Castle,Arthur Richard Wellesley,title,1863/07/26,1884/08/13,
,Duke of Wellington,Henry Wellesley,title,1884/08/14,1900/06/08,
,Baron Duoro of Wellesley,Henry Wellesley,title,1884/08/14,1900/06/08,
,Viscount Wellington of Talavera and of Wellington,Henry Wellesley,title,1884/08/14,1900/06/08,
,Earl of Wellington,Henry Wellesley,title,1884/08/14,1900/06/08,
,Marquess of Wellington,Henry Wellesley,title,1884/08/14,1900/06/08,
,Earl of Mornington,Henry Wellesley,title,1884/08/14,1900/06/08,
,Baron of Mornington,Henry Wellesley,title,1884/08/14,1900/06/08,
,Viscount Wellesley of Dangan Castle,Henry Wellesley,title,1884/08/14,1900/06/08,
,Duke of Wellington,Arthur Charles Wellesley,title,1900/06/09,1934/06/18,
,Baron Duoro of Wellesley,Arthur Charles Wellesley,title,1900/06/09,1934/06/18,
,Viscount Wellington of Talavera and of Wellington,Arthur Charles Wellesley,title,1900/06/09,1934/06/18,
,Earl of Wellington,Arthur Charles Wellesley,title,1900/06/09,1934/06/18,
,Marquess of Wellington,Arthur Charles Wellesley,title,1900/06/09,1934/06/18,
,Earl of Mornington,Arthur Charles Wellesley,title,1900/06/09,1934/06/18,
,Baron of Mornington,Arthur Charles Wellesley,title,1900/06/09,1934/06/18,
,Viscount Wellesley of Dangan Castle,Arthur Charles Wellesley,title,1900/06/09,1934/06/18,
