corresponding_id,alias,real_name,alias_type,start,end,extra
,Earl Cowper,Peter Leopold Louis Francis Nassau Clavering-Cowper,title,1799/02/12,1837/06/21,
,Baron Cowper,Peter Leopold Louis Francis Nassau Clavering-Cowper,title,1799/02/12,1837/06/21,
,Viscount Fordwich,Peter Leopold Louis Francis Nassau Clavering-Cowper,title,1799/02/12,1837/06/21,
,Earl Cowper,George Augustus Frederick Cowper,title,1837/06/22,1856/04/15,
,Baron Cowper,George Augustus Frederick Cowper,title,1837/06/22,1856/04/15,
,Viscount Fordwich,George Augustus Frederick Cowper,title,1837/06/22,1856/04/15,
,Earl Cowper,Francis Thomas de Grey Cowper,title,1856/04/16,1905/07/18,
,Lord Dingwall,Francis Thomas de Grey Cowper,title,1871,1905/07/18,date udt
,Baron Lucas,Francis Thomas de Grey Cowper,title,1880,1905/07/18,date udt
,Baron Butler,Francis Thomas de Grey Cowper,title,1871,1905/07/18,date udt
,Baron Cowper,Francis Thomas de Grey Cowper,title,1856/04/16,1905/07/18,
,Viscount Fordwich,Francis Thomas de Grey Cowper,title,1856/04/16,1905/07/18,
