corresponding_id,alias,real_name,alias_type,start,end,extra
,Baron Fortescue,Hugh Fortescue,title,1785/07/10,1841/06/16,
,Earl Fortescue,Hugh Fortescue,title,1789/09/01,1841/06/16,
6674,Viscount Ebrington,Hugh Fortescue,title,1789/09/01,1841/06/16,2nd
,Baron Fortescue,Hugh Fortescue,title,1841/06/17,1861/09/14,
,Earl Fortescue,Hugh Fortescue,title,1841/06/17,1861/09/14,
,Viscount Ebrington,Hugh Fortescue,title,1841/06/17,1861/09/14,3rd
,Baron Fortescue,Hugh Fortescue,title,1861/09/15,1905/10/10,
,Earl Fortescue,Hugh Fortescue,title,1861/09/15,1905/10/10,
3719,Viscount Ebrington,Hugh Fortescue,title,1861/09/15,1905/10/10,4th
,Baron Fortescue,Hugh Fortescue,title,1905/10/11,1932/10/29,
,Earl Fortescue,Hugh Fortescue,title,1905/10/11,1932/10/29,
