corresponding_id,alias,real_name,alias_type,start,end,extra
,Earl of the Town and County of Carnarvon,Henry Herbert,title,1793/07/03,1811/06/03,
,Baron Porchester of Highclere,Henry Herbert,title,1780/10/17,1811/06/03,
,Earl of the Town and County of Carnarvon,Henry George Herbert,title,1811/06/04,1833/04/16,
,Baron Porchester of Highclere,Henry George Herbert,title,1811/06/04,1833/04/16,
,Earl of the Town and County of Carnarvon,Henry John George Herbert,title,1833/04/17,1849/12/10,
,Baron Porchester of Highclere,Henry John George Herbert,title,1833/04/17,1849/12/10,
,Earl of the Town and County of Carnarvon,Henry Howard Molyneux Herbert,title,1849/12/11,1890/06/29,
,Baron Porchester of Highclere,Henry Howard Molyneux Herbert,title,1849/12/11,1890/06/29,
,Earl of the Town and County of Carnarvon,George Edward Stanhope Molyneux Herbert,title,1890/06/30,1923/04/05,
,Baron Porchester of Highclere,George Edward Stanhope Molyneux Herbert,title,1890/06/30,1923/04/05,
