corresponding_id,alias,real_name,alias_type,start,end,extra,links
,Earl of Denbigh,Basil Feilding,title,1755,1800/07/14,6th Earl of Denbigh / NO ID,"https://en.wikipedia.org/wiki/Basil_Feilding,_6th_Earl_of_Denbigh"
,Earl of Desmond,Basil Feilding,title,1755,1800/07/14,,"https://en.wikipedia.org/wiki/Basil_Feilding,_6th_Earl_of_Denbigh"
6498,Viscount Feilding,William Basil Percy Feilding,title,1799,1800/07/14,7th Earl of Denbigh ,"https://en.wikipedia.org/wiki/William_Feilding,_7th_Earl_of_Denbigh"
6498,Earl of Denbigh,William Basil Percy Feilding,title,1800/07/15,1865/06/25,,"https://en.wikipedia.org/wiki/William_Feilding,_7th_Earl_of_Denbigh"
6498,Earl of Desmond,William Basil Percy Feilding,title,1800/07/15,1865/06/25,,"https://en.wikipedia.org/wiki/William_Feilding,_7th_Earl_of_Denbigh"
6891,Viscount Feilding,Rudolph William Basil Feilding,title,1823/04/09,1865/06/25,8th Earl of Denbigh,"https://en.wikipedia.org/wiki/Rudolph_Feilding,_8th_Earl_of_Denbigh"
6891,Earl of Denbigh,Rudolph William Basil Feilding,title,1865/06/26,1892/03/10,,"https://en.wikipedia.org/wiki/Rudolph_Feilding,_8th_Earl_of_Denbigh"
6891,Earl of Desmond,Rudolph William Basil Feilding,title,1865/06/26,1892/03/10,,"https://en.wikipedia.org/wiki/Rudolph_Feilding,_8th_Earl_of_Denbigh"
7097,Viscount Feilding,Rudolph Robert Basil Aloysius Augustine Feilding ,title,1865/06/26,1892/03/10,9th Earl of Denbigh,"https://en.wikipedia.org/wiki/Rudolph_Feilding,_9th_Earl_of_Denbigh"
7097,Earl of Denbigh,Rudolph Robert Basil Aloysius Augustine Feilding ,title,1892/03/11,1939/11/25,,"https://en.wikipedia.org/wiki/Rudolph_Feilding,_9th_Earl_of_Denbigh"
7097,Earl of Desmond,Rudolph Robert Basil Aloysius Augustine Feilding ,title,1892/03/11,1939/11/25,,"https://en.wikipedia.org/wiki/Rudolph_Feilding,_9th_Earl_of_Denbigh"
