corresponding_id,alias,real_name,alias_type,start,end,extra,link
644,Baron Eldon,John Scott,title,1799,1838/01/13,,"https://en.wikipedia.org/wiki/John_Scott,_1st_Earl_of_Eldon"
644,Earl of Eldon,John Scott,title,1821/07/07,1838/01/13,,"https://en.wikipedia.org/wiki/John_Scott,_1st_Earl_of_Eldon"
644,Viscount Encombe,John Scott,title,1821/07/07,1838/01/13,,"https://en.wikipedia.org/wiki/John_Scott,_1st_Earl_of_Eldon"
2563,Baron Eldon,John Scott,title,1838/01/14,1854/09/18,grandson,"https://en.wikipedia.org/wiki/John_Scott,_2nd_Earl_of_Eldon"
2563,Earl of Eldon,John Scott,title,1838/01/14,1854/09/18,grandson,"https://en.wikipedia.org/wiki/John_Scott,_2nd_Earl_of_Eldon"
6844,Viscount Encombe,John Scott,title,1845,1854/09/19,3rd earl,
6844,Baron Eldon,John Scott,title,1854/09/19,1926,3rd earl,
6844,Earl of Eldon,John Scott,title,1854/09/19,1926,3rd earl,
,Viscount Encombe,John Scott,title,1870,1900,,
,Viscount Encombe,John Scott,title,1900,1926,4th earl / cannot find ID,"https://en.wikipedia.org/wiki/John_Scott,_4th_Earl_of_Eldon"
,Baron Eldon,John Scott,title,1926,1976/10/20,4th earl,"https://en.wikipedia.org/wiki/John_Scott,_4th_Earl_of_Eldon"
,Earl of Eldon,John Scott,title,1926,1976/10/20,4th earl,"https://en.wikipedia.org/wiki/John_Scott,_4th_Earl_of_Eldon"
