corresponding_id,alias,real_name,alias_type,start,end,extra,links
6732,Baron Harrowby,Nathaniel Ryder,title,1776,1803/06/20,died in office,"https://en.wikipedia.org/wiki/Nathaniel_Ryder,_1st_Baron_Harrowby"
1110,Baron Harrowby,Dudley Ryder,title,1803/06/21,1809/07/19,,"https://en.wikipedia.org/wiki/Dudley_Ryder,_1st_Earl_of_Harrowby"
1110,Earl of Harrowby,Dudley Ryder,title,1809/07/19,1847/12/26,died in office here,
1110,Viscount Sandon,Dudley Ryder,title,1809/07/19,1847/12/26,2nd earl,"https://en.wikipedia.org/wiki/Dudley_Ryder,_2nd_Earl_of_Harrowby"
2172,Earl of Harrowby,Dudley Ryder,title,1847/12/27,1882/11/19,,
4406,Viscount Sandon,Dudley Francis Stuart Ryder,title,1847/12/27,1882/11/19,,"https://en.wikipedia.org/wiki/Dudley_Ryder,_3rd_Earl_of_Harrowby"
4406,Earl of Harrowby,Dudley Francis Stuart Ryder,title,1882/11/20,1900/03/26,died in office,
,Earl of Harrowby,Henry Dudley Ryder,title,1900/03/27,1900/12/11,"link, no cid","https://en.wikipedia.org/wiki/Henry_Ryder,_4th_Earl_of_Harrowby"
7166,Viscount Sandon,John Herbert Ryder,title,1900/03/27,1900/12/11,,"https://en.wikipedia.org/wiki/John_Ryder,_5th_Earl_of_Harrowby"
7166,Earl of Harrowby,John Herbert Ryder,title,1900/12/12,1956/03/30,,
