corresponding_id,alias,real_name,alias_type,start,end,extra
6795,Baron Minto,Gilbert Elliot-Murray-Kynynmound,title,1797,1814/06/21,
6795,Earl of Minto,Gilbert Elliot-Murray-Kynynmound,title,1813/02/24,1814/06/21,
6795,Viscount Melgund,Gilbert Elliot-Murray-Kynynmound,title,1813,1814/06/21,
1318,Baron Minto,Gilbert Elliot-Murray-Kynynmound,title,1814/06/22,1859/07/31,
1318,Earl of Minto,Gilbert Elliot-Murray-Kynynmound,title,1814/06/22,1859/07/31,
1318,Viscount Melgund,William Hugh Elliot-Murray-Kynynmound,title,1814/06/22,1859/07/31,
3501,Baron Minto,William Hugh Elliot-Murray-Kynynmound,title,1859/08/01,1891/03/17,
3501,Earl of Minto,William Hugh Elliot-Murray-Kynynmound,title,1859/08/01,1891/03/17,
3501,Viscount Melgund,Gilbert John Elliot-Murray-Kynynmound,title,1859/08/01,1891/03/17,
12938,Baron Minto,Gilbert John Elliot-Murray-Kynynmound,title,1891/03/18,1914/03/01,Entry was created for him
12938,Earl of Minto,Gilbert John Elliot-Murray-Kynynmound,title,1891/03/18,1914/03/01,Entry was created for him
