corresponding_id,alias,real_name,alias_type,start,end,extra,links
,Earl of Winchelsea,George Finch,title,1769/08/03,1826/08/02,,"https://en.wikipedia.org/wiki/George_Finch,_9th_Earl_of_Winchilsea"
,Earl of Nottingham,George Finch,title,1769/08/03,1826/08/02,,
,Earl of Winchelsea,George William Finch-Hatton,title,1826/08/03,1858/01/08,,"https://en.wikipedia.org/wiki/George_Finch-Hatton,_10th_Earl_of_Winchilsea"
,Earl of Nottingham,George William Finch-Hatton,title,1826/08/03,1858/01/08,,
,Viscount Maidstone,George James Finch-Hatton,title,1826/08/03,1858/01/08,,"https://en.wikipedia.org/wiki/George_Finch-Hatton,_11th_Earl_of_Winchilsea"
,Earl of Winchelsea,George James Finch-Hatton,title,1858/01/09,1887/06/09,,
,Earl of Nottingham,George James Finch-Hatton,title,1858/01/09,1887/06/09,,
,Earl of Winchelsea,Murray Edward Gordon Finch-Hatton,title,1887/06/10,1898/09/07,,"https://en.wikipedia.org/wiki/Murray_Finch-Hatton,_12th_Earl_of_Winchilsea"
,Earl of Nottingham,Murray Edward Gordon Finch-Hatton,title,1887/06/10,1898/09/07,,
,Earl of Winchelsea,Henry Stormont Finch-Hatton,title,1898/09/08,1927/08/14,,"https://en.wikipedia.org/wiki/Henry_Finch-Hatton,_13th_Earl_of_Winchilsea"
,Earl of Nottingham,Henry Stormont Finch-Hatton,title,1898/09/08,1927/08/14,,
