corresponding_id,alias,real_name,alias_type,start,end,extra,links
6742,Baron Stanhope,Charles Stanhope,title,1786/03/08,1816/12/15,,"https://en.wikipedia.org/wiki/Charles_Stanhope,_3rd_Earl_Stanhope"
6742,Earl Stanhope,Charles Stanhope,title,1786/03/08,1816/12/15,,
1368,Viscount Mahon,Philip Henry Stanhope,title,1786/03/08,1816/12/15,,"https://en.wikipedia.org/wiki/Philip_Henry_Stanhope,_4th_Earl_Stanhope"
1368,Baron Stanhope,Philip Henry Stanhope,title,1816/12/16,1855/03/02,,
1368,Earl Stanhope,Philip Henry Stanhope,title,1816/12/16,1855/03/02,,
1368,Viscount Mahon,Philip Henry Stanhope,title,1816/12/16,1855/03/02,,
2628,Baron Stanhope,Philip Henry Stanhope,title,1855/03/03,1875/12/24,,"https://en.wikipedia.org/wiki/Philip_Stanhope,_5th_Earl_Stanhope"
2628,Earl Stanhope,Philip Henry Stanhope,title,1855/03/05,1875/12/24,,
5032,Viscount Mahon,Arthur Philip Stanhope,title,1855/03/05,1875/12/24,,"https://en.wikipedia.org/wiki/Arthur_Stanhope,_6th_Earl_Stanhope"
5032,Baron Stanhope,Arthur Philip Stanhope,title,1875/12/25,1905/04/19,,
5032,Earl Stanhope,Arthur Philip Stanhope,title,1875/12/25,1905/04/19,,
7228,Viscount Mahon,James Richard Stanhope,title,1880/11/11,1905/04/19,,"https://en.wikipedia.org/wiki/James_Stanhope,_7th_Earl_Stanhope"
7228,Baron Stanhope,James Richard Stanhope,title,1905/04/20,1967/08/15,,
7228,Earl Stanhope,James Richard Stanhope,title,1905/04/20,1967/08/15,,remove to show the difference
