corresponding_id,alias,real_name,alias_type,start,end,extra
6652,Duke of Devonshire,William Cavendish,title,1764/10/02,1811/07/29,
6652,Marquess of Hartington,William Cavendish,title,1764/10/02,1811/07/29,
6652,Baron Clifford,William Cavendish,title,1754/12/24,1811/07/29,
6652,Baron Cavendish of Hardwick,William Cavendish,title,1764/10/02,1811/07/29,
6652,Earl of Devonshire,William Cavendish,title,1764/10/02,1811/07/29,
6482,Duke of Devonshire,William George Spencer Cavendish,title,1811/07/30,1858/01/18,
6482,Marquess of Hartington,William George Spencer Cavendish,title,1811/07/30,1858/01/18,
6482,Baron Clifford,William George Spencer Cavendish,title,1811/07/30,1858/01/18,
6482,Baron Cavendish of Hardwick,William George Spencer Cavendish,title,1811/07/30,1858/01/18,
6482,Earl of Devonshire,William George Spencer Cavendish,title,1811/07/30,1858/01/18,
2568,Duke of Devonshire,William Cavendish,title,1858/01/19,1891/12/21,
2568,Marquess of Hartington,William Cavendish,title,1858/01/19,1891/12/21,
2568,Earl of Burlington,William Cavendish,title,1834/05/04,1891/12/21,
2568,Baron Cavendish of Keighley,William Cavendish,title,1834/05/04,1891/12/21,
2568,Baron Cavendish of Hardwick,William Cavendish,title,1858/01/19,1891/12/21,
2568,Earl of Devonshire,William Cavendish,title,1858/01/19,1891/12/21,
4497,Duke of Devonshire,Spencer Compton Cavendish,title,1891/12/22,1908/03/24,
4497,Marquess of Hartington,Spencer Compton Cavendish,title,1891/12/22,1908/03/24,
4497,Earl of Devonshire,Spencer Compton Cavendish,title,1891/12/22,1908/03/24,
4497,Earl of Burlington,Spencer Compton Cavendish,title,1891/12/22,1908/03/24,
4497,Baron Cavendish of Keighley,Spencer Compton Cavendish,title,1891/12/22,1908/03/24,
4497,Baron Cavendish of Hardwick,Spencer Compton Cavendish,title,1891/12/22,1908/03/24,
6427,Duke of Devonshire,Victor Christian William Cavendish,title,1908/03/25,1938/05/06,
6427,Marquess of Hartington,Victor Christian William Cavendish,title,1908/03/25,1938/05/06,
6427,Earl of Devonshire,Victor Christian William Cavendish,title,1908/03/25,1938/05/06,
6427,Earl of Burlington,Victor Christian William Cavendish,title,1908/03/25,1938/05/06,
6427,Baron Cavendish of Keighley,Victor Christian William Cavendish,title,1908/03/25,1938/05/06,
6427,Baron Cavendish of Hardwick,Victor Christian William Cavendish,title,1908/03/25,1938/05/06,
