corresponding_id,alias,real_name,alias_type,start,end,extra
6722,Marquess Of Lansdowne,William Petty Fitzmaurice,title,1784/12/06,1805/05/07,
6722,Lord Wycombe,William Petty Fitzmaurice,title,1761/05/14,1805/05/07,
6722,Earl Wycombe of Chepping Wycombe,William Petty Fitzmaurice,title,1784/12/06,1805/05/07,
6722,Viscount Calne and Calston,William Petty Fitzmaurice,title,1784/12/06,1805/05/07,
6722,Baron Dunkeron,William Petty Fitzmaurice,title,1761/05/14,1805/05/07,
6722,Earl of Shelburne,William Petty Fitzmaurice,title,1761/05/14,1805/05/07,
6722,Viscount Fitzmaurice,William Petty Fitzmaurice,title,1761/05/14,1805/05/07,
6773,Marquess Of Lansdowne,John Henry Petty,title,1805/05/08,1809/11/15,
6773,Lord Wycombe,John Henry Petty,title,1805/05/08,1809/11/15,
6773,Earl Wycombe of Chepping Wycombe,John Henry Petty,title,1805/05/08,1809/11/15,
6773,Viscount Calne and Calston,John Henry Petty,title,1805/05/08,1809/11/15,
6773,Baron Dunkeron,John Henry Petty,title,1805/05/08,1809/11/15,
6773,Earl of Shelburne,John Henry Petty,title,1805/05/08,1809/11/15,
6773,Viscount Fitzmaurice,John Henry Petty,title,1805/05/08,1809/11/15,
676,Marquess Of Lansdowne,Henry Petty-Fitzmaurice,title,1809/11/16,1863/01/31,
676,Lord Wycombe,Henry Petty-Fitzmaurice,title,1809/11/16,1863/01/31,
676,Earl Wycombe of Chepping Wycombe,Henry Petty-Fitzmaurice,title,1809/11/16,1863/01/31,
676,Viscount Calne and Calston,Henry Petty-Fitzmaurice,title,1809/11/16,1863/01/31,
676,Baron Dunkeron,Henry Petty-Fitzmaurice,title,1809/11/16,1863/01/31,
676,Earl of Shelburne,Henry Petty-Fitzmaurice,title,1809/11/16,1863/01/31,
676,Viscount Fitzmaurice,Henry Petty-Fitzmaurice,title,1809/11/16,1863/01/31,
676,Earl of Kerry,Henry Petty-Fitzmaurice,title,1818/07/04,1863/01/31,
676,Viscount Clanmaurice,Henry Petty-Fitzmaurice,title,1818/07/04,1863/01/31,
676,Baron of Kerry and Lixnaw,Henry Petty-Fitzmaurice,title,1818/07/04,1863/01/31,
3469,Marquess Of Lansdowne,Henry Thomas Petty-Fitzmaurice,title,1863/02/01,1866/07/05,
3469,Lord Wycombe,Henry Thomas Petty-Fitzmaurice,title,1863/02/01,1866/07/05,
3469,Earl Wycombe of Chepping Wycombe,Henry Thomas Petty-Fitzmaurice,title,1863/02/01,1866/07/05,
3469,Viscount Calne and Calston,Henry Thomas Petty-Fitzmaurice,title,1863/02/01,1866/07/05,
3469,Baron Dunkeron,Henry Thomas Petty-Fitzmaurice,title,1863/02/01,1866/07/05,
3469,Earl of Shelburne,Henry Thomas Petty-Fitzmaurice,title,1863/02/01,1866/07/05,
3469,Viscount Fitzmaurice,Henry Thomas Petty-Fitzmaurice,title,1863/02/01,1866/07/05,
3469,Earl of Kerry,Henry Thomas Petty-Fitzmaurice,title,1863/02/01,1866/07/05,
3469,Viscount Clanmaurice,Henry Thomas Petty-Fitzmaurice,title,1863/02/01,1866/07/05,
3469,Baron of Kerry and Lixnaw,Henry Thomas Petty-Fitzmaurice,title,1863/02/01,1866/07/05,
6899,Marquess Of Lansdowne,Henry Charles Keith Petty-Fitzmaurice,title,1866/07/06,1927/06/03,
6899,Lord Wycombe,Henry Charles Keith Petty-Fitzmaurice,title,1866/07/06,1927/06/03,
6899,Earl Wycombe of Chepping Wycombe,Henry Charles Keith Petty-Fitzmaurice,title,1866/07/06,1927/06/03,
6899,Viscount Calne and Calston,Henry Charles Keith Petty-Fitzmaurice,title,1866/07/06,1927/06/03,
6899,Baron Dunkeron,Henry Charles Keith Petty-Fitzmaurice,title,1866/07/06,1927/06/03,
6899,Earl of Shelburne,Henry Charles Keith Petty-Fitzmaurice,title,1866/07/06,1927/06/03,
6899,Viscount Fitzmaurice,Henry Charles Keith Petty-Fitzmaurice,title,1866/07/06,1927/06/03,
6899,Earl of Kerry,Henry Charles Keith Petty-Fitzmaurice,title,1866/07/06,1927/06/03,
6899,Viscount Clanmaurice,Henry Charles Keith Petty-Fitzmaurice,title,1866/07/06,1927/06/03,
6899,Baron of Kerry and Lixnaw,Henry Charles Keith Petty-Fitzmaurice,title,1866/07/06,1927/06/03,
