corresponding_id,alias,real_name,start_search,end_search
4832,Colonel Saunderson,,1886,1906
6054,Colonel Blundell,,1886,1905
4126,Captain Scobell,,1852,1856
5299,Colonel Nolan,,1882,1905
2453,Colonel Sibthorp,,1828,1855
4006,Colonel Dunne,,1847,1865
5398,Colonel Makins,,1874,1892
2603,Captain Pechell,,1835,1850
7861,Captain Pretyman,,1905-02-22,1931-11-26
6297,Colonel Kenyon-Slaney,,1886-07-01,1908-04-24
7970,Colonel Seely,,1908-03-31,1947-11-07
5250,Colonel Seely,,1905-02-11,1905-03-09
NA,Colonel Stuart Knox,Stuart Knox,1904-12-06,1905-01-25
5040,Colonel Verner,,1833,1846
7553,captain donelan,,1846,1910
12919,Captain Boldero,,1832,1850
7789,Colonel Denny,,1895,1905
6009,Admiral Field,,1886,1900
