office_id,alias,corresponding_id,real_name,start,end
12,Attorney-General,6762,Edward Law,1801/02/14,1802/04/15
12,Attorney-General,975,Spencer Perceval,1802/04/15,1806/02/12
12,Attorney-General,1280,Arthur Leary Piggott,1806/02/12,1807/04/01
12,Attorney-General,1236,Vicary Gibbs,1807/04/01,1812/06/26
12,Attorney-General,1540,Thomas Plumer,1812/06/26,1813/05/04
12,Attorney-General,1254,William Garrow,1813/05/04,1817/05/07
12,Attorney-General,1901,Samuel Shepherd,1817/05/07,1819/07/24
12,Attorney-General,1973,Robert Gifford,1819/07/24,1824/01/09
12,Attorney-General,1987,John Singleton Copley,1824/01/09,1826/09/20
12,Attorney-General,1873,Charles Wetherell,1826/09/20,1827/04/27
12,Attorney-General,2148,James Scarlett,1827/04/27,1828/02/19
12,Attorney-General,1873,Charles Wetherell,1828/02/19,1829/06/29
12,Attorney-General,2148,James Scarlett,1829/06/29,1830/11/19
12,Attorney-General,2118,Thomas Denman,1830/11/24,1832/11/26
12,Attorney-General,1774,William Horne,1832/11/26,1834/03/01
12,Attorney-General,2622,John Campbell,1834/03/01,1834/11/14
12,Attorney-General,2777,Fredrick Pollock,1834/12/17,1835/04/08
12,Attorney-General,2622,John Campbell,1835/04/30,1841/07/03
12,Attorney-General,3368,Thomas Wilde,1841/07/03,1841/08/30
12,Attorney-General,2777,Fredrick Pollock,1841/09/06,1844/04/15
12,Attorney-General,3331,William Webb Follett,1844/04/15,1845/06/29
12,Attorney-General,3611,Frederic Thesiger,1845/06/29,1846/06/27
12,Attorney-General,3368,Thomas Wilde,1846/07/07,1846/07/17
12,Attorney-General,2911,John Jervis,1846/07/17,1850/07/11
12,Attorney-General,2881,John Romilly,1850/07/11,1851/03/28
12,Attorney-General,4021,Alexander James Edmund Cockburn,1851/03/28,1852/02/21
12,Attorney-General,3611,Frederic Thesiger,1852/02/27,1852/12/17
12,Attorney-General,4021,Alexander James Edmund Cockburn,1852/12/28,1856/11/15
12,Attorney-General,4117,Richard Bethell,1856/11/15,1858/02/21
12,Attorney-General,3350,Fitzroy Edward Kelly,1858/02/21,1859/06/11
12,Attorney-General,4117,Richard Bethell,1859/06/19,1861/07/04
12,Attorney-General,4192,William Atherton,1861/07/04,1863/10/02
12,Attorney-General,4004,Roundell Palmer,1863/10/02,1866/06/26
12,Attorney-General,4149,Hugh McCalmont Cairns,1866/07/10,1866/10/29
12,Attorney-General,4472,John Rolt,1866/10/29,1867/07/18
12,Attorney-General,5006,John Burgess Karslake,1867/07/18,1868/12/01
12,Attorney-General,4273,Robert Porrett Collier,1868/12/12,1871/11/10
12,Attorney-General,4858,John Duke Coleridge,1871/11/10,1873/11/20
12,Attorney-General,5237,Henry James,1873/11/20,1874/02/17
12,Attorney-General,5006,John Burgess Karslake,1874/02/27,1874/04/20
12,Attorney-General,4869,Richard Baggallay,1874/04/20,1875/11/25
12,Attorney-General,5312,John Holker,1875/11/25,1880/04/21
12,Attorney-General,5237,Henry James,1880/05/03,1885/06/09
12,Attorney-General,5920,Richard Everard Webster,1885/06/27,1886/01/28
12,Attorney-General,5676,Charles Arthur Russell,1886/02/09,1886/07/20
12,Attorney-General,5920,Richard Everard Webster,1886/08/05,1892/08/11
12,Attorney-General,5676,Charles Arthur Russell,1892/08/20,1894/05/03
12,Attorney-General,6215,John Rigby,1894/05/03,1894/10/24
12,Attorney-General,5702,Robert Threshie Reid,1894/10/24,1895/06/21
12,Attorney-General,5920,Richard Everard Webster,1895/07/08,1900/05/07
12,Attorney-General,6055,Robert Bannatyne Finlay,1900/05/07,1905/12/04
12,Attorney-General,7603,John Lawson Walton,1905/12/12,1908/01/28
12,Attorney-General,6188,William Snowdon Robson,1908/01/28,1910/10/07
12,Attorney-General,7318,Rufus Daniel Isaacs,1910/10/07,1913/10/19
