office_id,corresponding_id,alias,real_name,start,end
61,1119,attorney general for ireland,John Stewart,1800/12/09,1803/05/28
61,2235,attorney general for ireland,Standish O'Grady,1803/05/28,1805/10/15
61,1757,attorney general for ireland,William Conyngham Plunket,1805/10/15,1807/05/15
61,12975,attorney general for ireland,William Saurin,1807/05/15,1822/01/15
61,1757,attorney general for ireland,William Conyngham Plunket,1822/01/15,1827/06/18
61,,attorney general for ireland,Henry Joy,1827/06/18,1830/12/23
61,,attorney general for ireland,Edward Pennefather,1830/12/23,1831/01/11
61,12978,attorney general for ireland,Francis Blackburne,1831/01/11,1834/11/17
61,2765,attorney general for ireland,Louis Perrin,1835/04/29,1835/08/31
61,3326,attorney general for ireland,Michael O'Loghlen,1835/08/31,1836/11/10
61,12979,attorney general for ireland,John Richards,1836/11/10,1837/02/03
61,3426,attorney general for ireland,Stephen Woulfe,1837/02/03,1838/07/11
61,3429,attorney general for ireland,Nicholas Ball,1838/07/11,1839/02/23
61,,attorney general for ireland,Maziere Brady,1839/02/23,1840/08/11
61,3594,attorney general for ireland,David Richard Pigot,1840/08/11,1841/09/23
61,12978,attorney general for ireland,Francis Blackburne,1841/09/23,1842/11/01
61,3805,attorney general for ireland,Thomas Berry Cusack Smith,1842/11/01,1846/02/02
61,12981,attorney general for ireland,Richard Wilson Greene,1846/02/02,1846/07/16
61,12980,attorney general for ireland,Richard Moore,1846/07/16,1847/12/21
61,3881,attorney general for ireland,James Henry Monahan,1847/12/21,1850/09/23
61,4097,attorney general for ireland,John Hatchell,1850/09/23,1852/02/01
61,4063,attorney general for ireland,Joseph Napier,1852/02/01,1853/04/01
61,,attorney general for ireland,Abraham Brewster,1853/04/01,1855/03/01
61,3892,attorney general for ireland,William Nicholas Keogh,1855/03/01,1856/03/01
61,4194,attorney general for ireland,John David Fitzgerald,1856/03/01,1858/02/01
61,4119,attorney general for ireland,James Whiteside,1858/02/01,1859/06/01
61,4194,attorney general for ireland,John David Fitzgerald,1859/06/01,1860/02/01
61,4385,attorney general for ireland,Rickard Deasy,1860/02/01,1861
61,4772,attorney general for ireland,Thomas O'Hagan,1861,1865
61,4915,attorney general for ireland,James Anthony Lawson,1865,1866/07/25
61,4993,attorney general for ireland,John Edward Walsh,1866/07/25,1866/11/01
61,4861,attorney general for ireland,Michael Morris,1866/11/01,1867
61,5009,attorney general for ireland,Hedges Eyre Chatterton,1867,1867
61,5020,attorney general for ireland,Robert Richard Warren,1867,1868
61,5095,attorney general for ireland,John Thomas Ball,1868,1868/12/12
61,4898,attorney general for ireland,Edward Sullivan,1868/12/12,1870/01/26
61,4850,attorney general for ireland,Charles Robert Barry,1870/01/26,1872/01/13
61,5151,attorney general for ireland,Richard Dowse,1872/01/13,1872/11/05
61,,attorney general for ireland,Christopher Palles,1872/11/05,1873
61,5435,attorney general for ireland,Hugh Law,1873,1874/03/12
61,5095,attorney general for ireland,John Thomas Ball,1874/03/12,1875/01/21
61,,attorney general for ireland,Henry Wilmot Ormsby,1875/01/21,1875/11/27
61,,attorney general for ireland,George Augustus Chichester May,1875/11/27,1877/02/15
61,5537,attorney general for ireland,Edward Gibson,1877/02/15,1880/05/10
61,5435,attorney general for ireland,Hugh Law,1880/05/10,1881/11/17
61,5729,attorney general for ireland,William Moore Johnson,1881/11/17,1883/01/03
61,5857,attorney general for ireland,Andrew Marshall Porter,1883/01/03,1883/12/19
61,,attorney general for ireland,John Naish,1883/12/19,1885
61,5890,attorney general for ireland,Samuel Walker,1885,1885/07/03
61,5917,attorney general for ireland,Hugh Holmes,1885/07/03,1886/02/01
61,5890,attorney general for ireland,Samuel Walker,1886/02/01,1886/08/01
61,5917,attorney general for ireland,Hugh Holmes,1886/08/01,1887
61,6092,attorney general for ireland,John George Gibson,1887,1888
61,7174,attorney general for ireland,Peter O'Brien,1888,1890
61,6354,attorney general for ireland,Dodgson Hamilton Madden,1890,1892
61,7206,attorney general for ireland,John Atkinson,1892,1892/08/01
61,,attorney general for ireland,Hugh Hyacinth O'Rorke MacDermot,1892/08/01,1895/07/08
61,7206,attorney general for ireland,John Atkinson,1895/07/08,1905/12/04
61,7485,attorney general for ireland,James Henry Mussen Campbell,1905/12/04,1905/12/22
61,8253,attorney general for ireland,Richard Robert Cherry,1905/12/22,1909/12/02
61,7278,attorney general for ireland,Redmond John Barry,1909/12/02,1911/09/26
