office_id,alias,corresponding_id,real_name,start,end
1,Chancellor of the Exchequer,679,William Pitt,1783/12/19,1801/03/14
1,Chancellor of the Exchequer,745,Henry Addington,1801/03/14,1804/05/10
1,Chancellor of the Exchequer,679,William Pitt,1804/05/10,1806/01/23
1,Chancellor of the Exchequer,6762,Edward Law,1806/01/23,1806/02/05
1,Chancellor of the Exchequer,6762,Edward Law,1806/01/23,1806/02/05
1,Chancellor of the Exchequer,676,Henry Petty-Fitzmaurice,1806/02/05,1807/03/26
1,Chancellor of the Exchequer,676,Henry Petty Fitzmaurice,1806/02/05,1807/03/26
1,Chancellor of the Exchequer,975,Spencer Perceval,1807/03/26,1812/05/11
1,Chancellor of the Exchequer,989,Nicholas Vansittart,1812/06/09,1823/01/31
1,Chancellor of the Exchequer,1388,Frederick John Robinson,1823/01/31,1827/04/27
1,Chancellor of the Exchequer,1388,Frederick John Robinson,1823/01/31,1827/04/27
1,Chancellor of the Exchequer,1114,George Canning,1827/04/27,1827/08/08
1,Chancellor of the Exchequer,6825,Charles Abbot,1827/08/08,1827/09/05
1,Chancellor of the Exchequer,6825,Charles Abbot,1827/08/08,1827/09/05
1,Chancellor of the Exchequer,3008,John Charles Herries,1827/09/05,1828/01/26
1,Chancellor of the Exchequer,3008,J. C. Herries,1827/09/05,1828/01/26
1,Chancellor of the Exchequer,1824,Henry Goulburn,1828/01/26,1830/11/22
1,Chancellor of the Exchequer,1234,John Charles Spencer,1830/11/22,1834/11/14
1,Chancellor of the Exchequer,1234,John Charles Spencer,1830/11/22,1834/11/14
1,Chancellor of the Exchequer,2118,Thomas Denman,1834/11/14,1834/12/15
1,Chancellor of the Exchequer,2118,Thomas Denman,1834/11/14,1834/12/15
1,Chancellor of the Exchequer,1664,Robert Peel,1834/12/15,1835/04/08
1,Chancellor of the Exchequer,2286,Thomas Spring-Rice,1835/04/18,1839/08/26
1,Chancellor of the Exchequer,3134,Francis Thornhill Baring,1839/08/26,1841/08/30
1,Chancellor of the Exchequer,1824,Henry Goulburn,1841/09/03,1846/06/27
1,Chancellor of the Exchequer,2432,Charles Wood,1846/07/07,1852/02/21
1,Chancellor of the Exchequer,3523,Benjamin Disraeli,1852/02/27,1852/12/17
1,Chancellor of the Exchequer,3104,William Ewart Gladstone,1852/12/28,1855/02/28
1,Chancellor of the Exchequer,3948,George Cornewall Lewis,1855/02/28,1858/02/21
1,Chancellor of the Exchequer,3523,Benjamin Disraeli,1858/02/26,1859/06/11
1,Chancellor of the Exchequer,3104,Willam Ewart Gladstone,1859/06/18,1866/06/26
1,Chancellor of the Exchequer,3523,Benjamin Disraeli,1866/07/06,1868/02/29
1,Chancellor of the Exchequer,4580,George Ward Hunt,1868/02/29,1868/12/01
1,Chancellor of the Exchequer,4218,Robert Lowe,1868/12/09,1873/08/11
1,Chancellor of the Exchequer,3104,Willam Ewart Gladstone,1873/08/11,1874/02/17
1,Chancellor of the Exchequer,4380,Stafford Henry Northcote,1874/02/21,1880/04/21
1,Chancellor of the Exchequer,3104,Willam Ewart Gladstone,1880/04/28,1882/12/16
1,Chancellor of the Exchequer,4705,Hugh Childers,1882/12/16,1885/06/09
1,Chancellor of the Exchequer,4705,Hugh Culling Eardley Childers,1882/12/16,1885/06/09
1,Chancellor of the Exchequer,4796,Michael Hicks Beach,1885/06/24,1886/01/28
1,Chancellor of the Exchequer,4796,Michael Edward Hicks Beach,1885/06/24,1886/01/28
1,Chancellor of the Exchequer,5172,Willam Vernon Harcourt,1886/02/06,1886/07/20
1,Chancellor of the Exchequer,5172,William George Granville Venables Vernon Harcourt,1886/02/06,1886/07/20
1,Chancellor of the Exchequer,5502,Randolph Henry Spencer-Churchill,1886/08/03,1886/12/22
1,Chancellor of the Exchequer,5502,Randolph Churchill,1886/08/03,1886/12/22
1,Chancellor of the Exchequer,4774,George Joachim Goschen,1887/01/14,1892/08/11
1,Chancellor of the Exchequer,5172,Willam Vernon Harcourt,1892/08/18,1895/06/21
1,Chancellor of the Exchequer,5172,William George Granville Venables Vernon Harcourt,1892/08/18,1895/06/21
1,Chancellor of the Exchequer,4796,Michael Hicks Beach,1895/06/29,1902/08/11
1,Chancellor of the Exchequer,4796,Michael Edward Hicks Beach,1895/06/29,1902/08/11
1,Chancellor of the Exchequer,5485,Charles Ritchie,1902/08/11,1903/10/09
1,Chancellor of the Exchequer,5485,Charles Thomas Ritchie,1902/08/11,1903/10/09
1,Chancellor of the Exchequer,7689,Austen Chamberlain,1903/10/09,1905/12/04
1,Chancellor of the Exchequer,7689,Joseph Austen Chamberlain,1903/10/09,1905/12/04
1,Chancellor of the Exchequer,6265,H. H. Asquith,1905/12/10,1908/04/16
1,Chancellor of the Exchequer,6265,Herbert Henry Asquith,1905/12/10,1908/04/16
1,Chancellor of the Exchequer,6405,David Lloyd George,1908/04/16,1915/05/25
1,Chancellor of the Exchequer,6405,David Lloyd-George,1908/04/16,1915/05/25
