office_id,alias,corresponding_id,real_name,start,end
11,Secretary for Ireland,1284,Robert Stewart,1798/06/14,1801/04/27
11,Secretary for Ireland,1168,Charles Abbot,1801,1802
11,Secretary for Ireland,698,William Wickham,1802,1804
11,Secretary for Ireland,661,Evan Nepean,1804,1805
11,Secretary for Ireland,989,Nicholas Vansittart,1805,1805
11,Secretary for Ireland,1132,Charles Long,1805,1806
11,Secretary for Ireland,1007,William Elliot,1806/03/28,1807
11,Secretary for Ireland,1299,Arthur Wellesley,1807,1809
11,Secretary for Ireland,782,Robert Dundas,1809,1809
11,Secretary for Ireland,1023,William Wellesley-Pole,1809,1812
11,Secretary for Ireland,1664,Robert Peel,1812/08,1818/08
11,Secretary for Ireland,1707,Charles Grant,1818,1821
11,Secretary for Ireland,1824,Henry Goulburn,1821,1827/04
11,Secretary for Ireland,1285,Henry William Lamb,1827/04/29,1828/06/21
11,Secretary for Ireland,2317,Francis Leveson-Gower,1828/06/21,1830/07/30
11,Secretary for Ireland,2213,Henry Hardinge,1830/07/30,1830/11/15
11,Secretary for Ireland,2326,Edward George Geoffrey Smith-Stanley,1830/11/29,1833/03/29
11,Secretary for Ireland,3229,John Cam Hobhouse,1833/03/29,1833/05
11,Secretary for Ireland,1727,Edward John Littleton,1833/05,1834/11/14
11,Secretary for Ireland,2213,Henry Hardinge,1834/12/16,1835/04/08
11,Secretary for Ireland,2466,George William Frederick Howard,1835/04/22,1841/08/30
11,Secretary for Ireland,2454,Edward Granville Eliot,1841/02/06,1845/02/01
11,Secretary for Ireland,2884,Thomas Francis Fremantle,1845/02/01,1846/02/14
11,Secretary for Ireland,3116,Henry Pelham Fiennes Pelham-Clinton,1846/02/14,1846/06
11,Secretary for Ireland,2381,Henry Labouchere,1846/06/06,1847/07/22
11,Secretary for Ireland,3575,William Meredyth Somerville,1847/07/22,1852/02/21
11,Secretary for Ireland,3961,Richard Southwell Bourke,1852/03/01,1852/12/17
11,Secretary for Ireland,2908,John Young,1853/01/06,1855/01/30
11,Secretary for Ireland,3430,Edward Horsman,1855/03/01,1857/05/27
11,Secretary for Ireland,3959,Henry Arthur Herbert,1857/05/27,1858/02/21
11,Secretary for Ireland,3961,Richard Southwell Bourke,1858/03/04,1859/06/11
11,Secretary for Ireland,3781,Edward Cardwell,1859/06/24,1861/07/29
11,Secretary for Ireland,4101,Robert Peel,1861/07/29,1865/12/07
11,Secretary for Ireland,3984,Chichester Samuel Parkinson-Fortescue,1865/12/07,1866/06/26
11,Secretary for Ireland,3961,Richard Southwell Bourke,1866/07/10,1868/09/29
11,Secretary for Ireland,2661,John Wilson-Patten,1868/09/29,1868/12/01
11,Secretary for Ireland,3984,Chichester Samuel Parkinson-Fortescue,1868/12/16,1871/01/12
11,Secretary for Ireland,4497,Spencer Compton Cavendish,1871/01/12,1874/02/17
11,Secretary for Ireland,4796,Michael Edward Hicks Beach,1874/02/27,1878/02/15
11,Secretary for Ireland,4967,James Lowther,1878/02/15,1880/04/21
11,Secretary for Ireland,4728,William Edward Forster,1880/04/30,1882/05/06
11,Secretary for Ireland,4969,Frederick Charles Cavendish,1882/05/06,1882/05/06
11,Secretary for Ireland,4943,George Otto Trevelyan,1882/05/09,1884/10/23
11,Secretary for Ireland,5201,Henry Campbell-Bannerman,1884/10/23,1885/06/09
11,Secretary for Ireland,4876,William Hart Dyke,1885/06/25,1886/01/23
11,Secretary for Ireland,5221,William Henry Smith,1886/01/23,1886/01/28
11,Secretary for Ireland,5872,John Morley,1886/02/06,1886/07/20
11,Secretary for Ireland,4796,Michael Edward Hicks Beach,1886/08/05,1887/03/07
11,Secretary for Ireland,5410,Arthur James Balfour,1887/03/07,1891/11/09
11,Secretary for Ireland,5720,William Lawies Jackson,1891/11/09,1892/08/11
11,Secretary for Ireland,5872,John Morley,1892/08/22,1895/06/21
11,Secretary for Ireland,6079,Gerald William Balfour,1895,1900
11,Secretary for Ireland,6390,George Wyndham,1900/11/09,1905/03/12
11,Secretary for Ireland,5811,Walter Hume Long,1905/03/12,1905/12/04
11,Secretary for Ireland,5795,James Bryce,1905/12/10,1907/01/23
11,Secretary for Ireland,6391,Augustine Birrell,1907/01/23,1916/05/03
