corresponding_id,alias,real_name,alias_type,start,end
2286,Financial Secretary to the Treasury,Thomas Spring Rice,position,1830/11/26,1834/06/06
3134,Financial Secretary to the Treasury,Francis Thornhill Baring,position,1834/06/07,1834/11/14
2884,Financial Secretary to the Treasury,Thomas Francis Fremantle,position,1834/12/20,1835/04
3134,Financial Secretary to the Treasury,Francis Thornhill Baring,position,1835/04/21,1839/08/26
1843,Financial Secretary to the Treasury,Robert Gordon,position,1839/09/06,1841/06/08
,Financial Secretary to the Treasury,Richard More O'Ferrall,position,1841/06/09,1841/08/30
1703,Financial Secretary to the Treasury,George Clerk,position,1841/09/08,1845/02/03
3781,Financial Secretary to the Treasury,Edward Cardwell,position,1845/02/04,1846/06/29
3162,Financial Secretary to the Treasury,John Parker,position,1846/07/07,1849/05/21
3567,Financial Secretary to the Treasury,William Goodenough Hayter,position,1849/05/22,1850/07/08
3948,Financial Secretary to the Treasury,George Cornewall Lewis,position,1850/07/09,1852/03/01
3323,Financial Secretary to the Treasury,George Alexander Hamilton,position,1852/03/02,1852/12/31
4041,Financial Secretary to the Treasury,James Wilson,position,1853/01/05,1858/02/19
3323,Financial Secretary to the Treasury,George Alexander Hamilton,position,1858/03/02,1859/01/20
4380,Financial Secretary to the Treasury,Stafford Henry Northcote,position,1859/01/21,1859/06/23
4315,Financial Secretary to the Treasury,Samuel Laing,position,1859/06/24,1860/11/01
4084,Financial Secretary to the Treasury,Frederick Peel,position,1860/11/02,1865/08/18
,Financial Secretary to the Treasury,Hugh Childers,position,1865/08/19,1866/06/26
4580,Financial Secretary to the Treasury,George Ward Hunt,position,1866/07/14,1868/02/29
,Financial Secretary to the Treasury,George Limbrey Sclater-Booth,position,1868/03/04,1868/12/01
4554,Financial Secretary to the Treasury,Acton Smee Ayrton,position,1868/12/09,1869/11/01
4638,Financial Secretary to the Treasury,James Stansfeld,position,1869/11/02,1871/03/16
4382,Financial Secretary to the Treasury,William Edward Baxter,position,1871/03/17,1873/08/10
4548,Financial Secretary to the Treasury,John George Dodson,position,1873/08/11,1874/02/20
5221,Financial Secretary to the Treasury,William Henry Smith,position,1874/02/21,1877/08/13
4918,Financial Secretary to the Treasury,Frederick Arthur Stanley,position,1877/08/14,1878/04/01
4856,Financial Secretary to the Treasury,Henry John Selwin-Ibbetson,position,1878/04/02,1880/04/21
4969,Financial Secretary to the Treasury,Frederick Charles Cavendish,position,1880/04/28,1882/05/05
5575,Financial Secretary to the Treasury,Leonard Henry Courtney,position,1882/05/06,1884/12/11
4755,Financial Secretary to the Treasury,John Tomlinson Hibbert,position,1884/12/12,1885/06/09
5533,Financial Secretary to the Treasury,Henry Thurstan Holland,position,1885/06/24,1885
5168,Financial Secretary to the Treasury,Matthew White Ridley,position,1885,1886
5720,Financial Secretary to the Treasury,William Lawies Jackson,position,1886,1886/01/28
5814,Financial Secretary to the Treasury,Henry Hartley Fowler,position,1886/02/06,1886/07/20
5720,Financial Secretary to the Treasury,William Lawies Jackson,position,1886/08/03,1891/11/08
4980,Financial Secretary to the Treasury,John Eldon Gorst,position,1891/11/09,1892/08/11
4755,Financial Secretary to the Treasury,John Tomlinson Hibbert,position,1892/08/18,1895/06/22
5304,Financial Secretary to the Treasury,Robert William Hanbury,position,1895/06/29,1900/11/06
7689,Financial Secretary to the Treasury,Joseph Austen Chamberlain,position,1900/11/07,1902/08/10
6025,Financial Secretary to the Treasury,William Hayes Fisher,position,1902/08/11,1903/04/09
5766,Financial Secretary to the Treasury,Arthur Ralph Douglas Elliot-Murray-Kynynmound,position,1903/04/10,1903/10/08
6427,Financial Secretary to the Treasury,Victor Christian William Cavendish,position,1903/10/09,1905/12/05
7806,Financial Secretary to the Treasury,Reginald McKenna,position,1905/12/12,1907/01/23
7907,Financial Secretary to the Treasury,Walter Runciman,position,1907/01/29,1908/04/11
7539,Financial Secretary to the Treasury,Charles Edward Henry Hobhouse,position,1908/04/12,1911
