corresponding_id,alias,real_name,alias_type,start,end,extra
679,First Lord of the Treasury,William Pitt the Younger,office,1783/12/19,1801/03/14,
745,First Lord of the Treasury,Henry Addington,office,1801/03/17,1804/05/10,
679,First Lord of the Treasury,William Pitt the Younger,office,1804/05/11,1806/01/23,
6677,First Lord of the Treasury,William Wyndham Grenville,office,1806/02/11,1807/03/31,
1809,First Lord of the Treasury,William Henry Cavendish Cavendish-Bentinck,office,1807/04/01,1809/10/04,
975,First Lord of the Treasury,Spencer Perceval,office,1809/10/05,1812/05/11,
6767,First Lord of the Treasury,Robert Banks Jenkinson,office,1812/06/09,1827/04/10,
1114,First Lord of the Treasury,George Canning,office,1827/04/11,1827/08/08,
1388,First Lord of the Treasury,Frederick John Robinson,office,1827/08/31,1828/01/22,Could be addressed as F.J.
1299,First Lord of the Treasury,Arthur Wellesley,office,1828/01/23,1830/11/22,
1522,First Lord of the Treasury,Charles Grey,office,1830/11/23,1834/07/16,
1285,First Lord of the Treasury,William Lamb,office,1834/07/17,1834/11/14,
1299,First Lord of the Treasury,Arthur Wellesley,office,1834/11/15,1834/12/10,
1664,First Lord of the Treasury,Robert Peel,office,1834/12/11,1835/04/08,
1285,First Lord of the Treasury,William Lamb,office,1835/04/18,1841/08/30,
1664,First Lord of the Treasury,Robert Peel,office,1841/08/31,1846/06/29,
1885,First Lord of the Treasury,John Russell,office,1846/06/30,1852/02/23,
2326,First Lord of the Treasury,Edward George Geoffrey Smith-Stanley,office,1852/02/24,1852/12/19,"https://en.wikipedia.org/wiki/Edward_Smith-Stanley,_14th_Earl_of_Derby"
6511,First Lord of the Treasury,George Hamilton-Gordon,office,1852/12/19,1855/02/06,
1584,First Lord of the Treasury,Henry John Temple,office,1855/02/07,1858/02/20,
2326,First Lord of the Treasury,Edward George Geoffrey Smith-Stanley,office,1858/02/21,1859/06/12,
1584,First Lord of the Treasury,Henry John Temple,office,1859/06/13,1865/10/18,
1885,First Lord of the Treasury,John Russell,office,1865/10/29,1866/06/28,
2326,First Lord of the Treasury,Edward George Geoffrey Smith-Stanley,office,1866/06/29,1868/02/27,
3523,First Lord of the Treasury,Benjamin Disraeli,office,1868/02/27,1868/12/03,
3104,First Lord of the Treasury,William Ewart Gladstone,office,1868/12/04,1874/02/20,
3523,First Lord of the Treasury,Benjamin Disraeli,office,1874/02/21,1880/04/23,
3104,First Lord of the Treasury,William Ewart Gladstone,office,1880/04/24,1885/06/23,
4380,First Lord of the Treasury,Stafford Henry Northcote,office,1885/06/29,1886/02/01,
3104,First Lord of the Treasury,William Ewart Gladstone,office,1886/02/02,1886/07/25,
4342,First Lord of the Treasury,Robert Arthur Talbot Gascoyne-Cecil,office,1886/08/03,1887/01/14,
5221,First Lord of the Treasury,William Henry Smith,office,1887/01/15,1891/10/06,
5410,First Lord of the Treasury,Arthur James Balfour,office,1891/10/07,1892/08/15,
3104,First Lord of the Treasury,William Ewart Gladstone,office,1892/08/16,1894/03/05,
7306,First Lord of the Treasury,Archibald Philip Primrose,office,1894/03/06,1895/06/25,
5410,First Lord of the Treasury,Arthur James Balfour,office,1895/06/26,1905/12/05,
