office_id,alias,corresponding_id,real_name,start,end
44,Lord Chancellor,6755,Alexander Wedderburn,1793/01/28,1801/04/21
44,Lord Chancellor,6755,Alexander Wedderburn,1793/01/28,1801/04/21
44,Lord Chancellor,6733,John Scott,1801/04/21,1806/02/07
44,Lord Chancellor,6733,John Scott,1801/04/21,1806/02/07
44,Lord Chancellor,1019,Thomas Erskine,1806/02/07,1807/04/01
44,Lord Chancellor,1019,Thomas Erskine,1806/02/07,1807/04/01
44,Lord Chancellor,6733,John Scott,1807/04/01,1827/04/12
44,Lord Chancellor,6733,John Scott,1807/04/01,1827/04/12
44,Lord Chancellor,1987,John Singleton Copley,1827/05/02,1830/11/24
44,Lord Chancellor,1987,John Singleton Copley,1827/05/02,1830/11/24
44,Lord Chancellor,1679,Henry Peter Brougham,1830/11/24,1834/11/21
44,Lord Chancellor,1987,John Singleton Copley,1834/11/21,1835/04/08
44,Lord Chancellor,1987,John Singleton Copley,1834/11/21,1835/04/08
44,Lord Chancellor,N/A,N/A,1835/04/23,1836/01/16
44,Lord Chancellor,2817,Charles Christopher Pepys,1836/01/16,1841/08/30
44,Lord Chancellor,2817,Charles Christopher Pepys,1836/01/16,1841/08/30
44,Lord Chancellor,1987,John Singleton Copley,1841/09/03,1846/06/27
44,Lord Chancellor,1987,John Singleton Copley,1841/09/03,1846/06/27
44,Lord Chancellor,2817,Charles Christopher Pepys,1846/07/06,1850/06/19
44,Lord Chancellor,2817,Charles Christopher Pepys,1846/07/06,1850/06/19
44,Lord Chancellor,N/A,N/A,1850/06/19,1850/07/15
44,Lord Chancellor,3368,Thomas Wilde,1850/07/15,1852/02/21
44,Lord Chancellor,3368,Thomas Wilde,1850/07/15,1852/02/21
44,Lord Chancellor,2547,Edward Burtenshaw Sugden,1852/02/27,1852/12/17
44,Lord Chancellor,3126,Robert Monsey Rolfe,1852/12/28,1858/02/21
44,Lord Chancellor,3126,Robert Monsey Rolfe,1852/12/28,1858/02/21
44,Lord Chancellor,3611,Frederic Thesiger,1858/02/26,1859/06/11
44,Lord Chancellor,3611,Frederic Thesiger,1858/02/26,1859/06/11
44,Lord Chancellor,2622,John Campbell,1859/06/18,1861/06/24
44,Lord Chancellor,2622,John Campbell,1859/06/18,1861/06/24
44,Lord Chancellor,4117,Richard Bethell,1861/06/26,1865/07/07
44,Lord Chancellor,3126,Robert Monsey Rolfe,1865/07/07,1866/06/26
44,Lord Chancellor,3126,Robert Monsey Rolfe,1865/07/07,1866/06/26
44,Lord Chancellor,3611,Frederic Thesiger,1866/07/06,1868/02/29
44,Lord Chancellor,3611,Frederic Thesiger,1866/07/06,1868/02/29
44,Lord Chancellor,4149,Hugh McCalmont Cairns,1868/02/29,1868/12/01
44,Lord Chancellor,4149,Hugh McCalmont Cairns,1868/02/29,1868/12/01
44,Lord Chancellor,4000,William Page Wood,1868/12/09,1872/10/15
44,Lord Chancellor,4000,William Page Wood,1868/12/09,1872/10/15
44,Lord Chancellor,4004,Roundell Palmer,1872/10/15,1874/02/17
44,Lord Chancellor,4149,Hugh McCalmont Cairns,1874/02/21,1880/04/21
44,Lord Chancellor,4149,Hugh Mac-Calmont Cairns,1874/02/21,1880/04/21
44,Lord Chancellor,4004,Roundell Palmer,1880/04/28,1885/06/09
44,Lord Chancellor,4004,Roundell Palmer,1880/04/28,1885/06/09
44,Lord Chancellor,4004,Roundell Palmer,1880/04/28,1885/06/09
44,Lord Chancellor,5579,Hardinge Stanley Giffard,1885/06/24,1886/01/28
44,Lord Chancellor,5579,Hardinge Stanley Giffard,1885/06/24,1886/01/28
44,Lord Chancellor,5529,Farrer Herschell,1886/02/06,1886/07/20
44,Lord Chancellor,5529,Farrer Herschell,1886/02/06,1886/07/20
44,Lord Chancellor,5579,Hardinge Stanley Giffard,1886/08/03,1892/08/11
44,Lord Chancellor,5579,Hardinge Stanley Giffard,1886/08/03,1892/08/11
44,Lord Chancellor,5529,Farrer Herschell,1892/08/18,1895/06/21
44,Lord Chancellor,5529,Farrer Herschell,1892/08/18,1895/06/21
44,Lord Chancellor,5579,Hardinge Stanley Giffard,1895/06/29,1905/12/04
44,Lord Chancellor,5579,Hardinge Stanley Giffard,1895/06/29,1905/12/04
44,Lord Chancellor,5702,Robert Threshie Reid,1905/12/10,1912/06/10
44,Lord Chancellor,5702,Robert Threshie Reid,1905/12/10,1912/06/10
44,Lord Chancellor,5702,Robert Threshie Reid,1905/12/10,1912/06/10
