office_id,alias,corresponding_id,real_name,start,end
37,Lord Privy Seal,N/A,John Fane,1798/02/14,1806/02/05
37,Lord Privy Seal,745,Henry Addington,1806/02/05,1806/10/15
37,Lord Privy Seal,9229,Henry Richard Vassall-Fox,1806/10/15,1807/03/25
37,Lord Privy Seal,N/A,John Fane,1807/03/25,1827/04/30
37,Lord Privy Seal,666,William Henry Cavendish-Scott-Bentinck,1827/04/30,1827/07/16
37,Lord Privy Seal,950,George Howard,1827/07/16,1828/01/26
37,Lord Privy Seal,1875,Edward Law,1828/01/26,1829/06/10
37,Lord Privy Seal,774,James St Clair-Erskine,1829/06/10,1830/11/22
37,Lord Privy Seal,1893,John George Lambton,1830/11/22,1833/04/03
37,Lord Privy Seal,1388,Frederick John Robinson,1833/04/03,1834/06/05
37,Lord Privy Seal,1388,Frederick John Robinson,1833/04/03,1834/06/05
37,Lord Privy Seal,950,George Howard,1834/06/05,1834/07/30
37,Lord Privy Seal,2102,Constantine Henry Phipps,1834/07/30,1834/11/14
37,Lord Privy Seal,646,James Archibald Stuart-Wortley-Mackenzie,1834/12/15,1835/04/08
37,Lord Privy Seal,1261,John William Ponsonby,1835/04/23,1840/01/15
37,Lord Privy Seal,6580,George William Frederick Villiers,1840/01/15,1841/08/30
37,Lord Privy Seal,6580,George William Frederick Villiers,1840/01/15,1841/08/30
37,Lord Privy Seal,667,Richard Plantagnet Temple-Nugent-Brydges-Chandos-Grenville,1841/09/03,1842/02/02
37,Lord Privy Seal,667,Richard Plantagnet Temple-Nugent-Brydges-Chandos-Grenville,1841/09/03,1842/02/02
37,Lord Privy Seal,6566,Walter Francis Montagu Douglas Scott,1842/02/02,1846/01/21
37,Lord Privy Seal,6566,Walter Francis Montagu Douglas Scott,1842/02/02,1846/01/21
37,Lord Privy Seal,1073,Thomas Hamilton,1846/01/21,1846/06/27
37,Lord Privy Seal,1073,Thomas Hamilton,1846/01/21,1846/06/27
37,Lord Privy Seal,1318,Gilbert Elliot-Murray-Kynynmound,1846/07/06,1852/02/21
37,Lord Privy Seal,1966,James Brownlow William Gascoyne Cecil,1852/02/27,1852/12/17
37,Lord Privy Seal,6592,George John Douglas Campbell,1853/01/04,1855/12/07
37,Lord Privy Seal,2172,Dudley Ryder,1855/12/07,1858/02/03
37,Lord Privy Seal,6473,Ulick de Burgh,1858/02/03,1858/02/21
37,Lord Privy Seal,6473,Ulick de Burgh,1858/02/03,1858/02/21
37,Lord Privy Seal,6473,Ulick de Burgh,1858/02/03,1858/02/21
37,Lord Privy Seal,2818,Charles Philip Yorke,1858/02/26,1859/06/11
37,Lord Privy Seal,6592,George John Douglas Campbell,1859/06/18,1866/06/26
37,Lord Privy Seal,3763,James Howard Harris,1866/07/06,1868/12/01
37,Lord Privy Seal,3763,James Howard Harris,1866/07/06,1868/12/01
37,Lord Privy Seal,6903,John Wodehouse,1868/12/09,1870/07/06
37,Lord Privy Seal,6903,John Wodehouse,1868/12/09,1870/07/06
37,Lord Privy Seal,2432,Charles Wood,1870/07/06,1874/02/17
37,Lord Privy Seal,3763,James Howard Harris,1874/02/21,1876/08/12
37,Lord Privy Seal,3523,Benjamin Disraeli,1876/08/12,1878/02/04
37,Lord Privy Seal,2754,Algernon George Percy,1878/02/04,1880/04/21
37,Lord Privy Seal,2754,Algernon George Percy,1878/02/04,1880/04/21
37,Lord Privy Seal,6592,George John Douglas Campbell,1880/04/28,1881/05/02
37,Lord Privy Seal,3984,Chichester Samuel Parkinson-Fortescue,1881/05/02,1885/03/05
37,Lord Privy Seal,7306,Archibald Philip Primrose,1885/03/05,1885/06/09
37,Lord Privy Seal,7306,Archibald Philip Primrose,1885/03/05,1885/06/09
37,Lord Privy Seal,4406,Dudley Francis Stuart Ryder,1885/06/24,1886/01/28
37,Lord Privy Seal,3104,William Ewart Gladstone,1886/02/17,1886/07/20
37,Lord Privy Seal,5324,George Henry Cadogan,1886/08/03,1892/08/11
37,Lord Privy Seal,3104,William Ewart Gladstone,1892/08/20,1894/03/10
37,Lord Privy Seal,5641,Edward Marjoribanks,1894/03/10,1895/06/21
37,Lord Privy Seal,4534,Richard Assheton Cross,1895/06/29,1900/11/12
37,Lord Privy Seal,4342,Robert Arthur Talbot Gascoyne-Cecil,1900/11/12,1902/07/13
37,Lord Privy Seal,5410,Arthur James Balfour,1902/07/14,1903/10/16
37,Lord Privy Seal,5988,James Edward Hubert Gascoyne-Cecil,1903/10/17,1905/12/09
37,Lord Privy Seal,5988,James Edward Hubert Gascoyne-Cecil,1903/10/17,1905/12/09
37,Lord Privy Seal,6939,George Frederick Samuel Robinson,1905/12/10,1908/10/08
37,Lord Privy Seal,7037,Robert Offley Ashburton Crewe-Milnes,1908/10/09,1911/10/09
37,Lord Privy Seal,7037,Robert Offley Ashburton Crewe-Milnes,1908/10/09,1911
