office_id,alias,corresponding_id,real_name,start,end
2,Prime Minister,679,William Pitt,1783/12/19,1801/03/14
2,Prime Minister,745,Henry Addington,1801/03/17,1804/05/10
2,Prime Minister,679,William Pitt,1804/05/10,1806/01/23
2,Prime Minister,6677,William Wyndham Grenville,1806/02/11,1807/03/25
2,Prime Minister,1809,William Henry Cavendish Cavendish-Bentinck,1807/03/31,1809/10/04
2,Prime Minister,975,Spencer Perceval,1809/10/04,1812/05/11
2,Prime Minister,6767,Robert Banks Jenkinson,1812/06/08,1827/04/09
2,Prime Minister,6767,Robert Banks Jenkinson,1812/06/08,1827/04/09
2,Prime Minister,6767,Robert Banks Jenkinson,1812/06/08,1827/04/09
2,Prime Minister,1114,George Canning,1827/04/12,1827/08/08
2,Prime Minister,1388,Frederick John Robinson,1827/08/31,1828/01/08
2,Prime Minister,1388,Frederick John Robinson,1827/08/31,1828/01/08
2,Prime Minister,1299,Arthur Wellesley,1828/01/22,1830/11/16
2,Prime Minister,1299,Arthur Wellesley,1828/01/22,1830/11/16
2,Prime Minister,1522,Charles Grey,1830/11/22,1834/07/09
2,Prime Minister,1522,Charles Grey,1830/11/22,1834/07/09
2,Prime Minister,1522,Charles Grey,1830/11/22,1834/07/09
2,Prime Minister,1522,Charles Grey,1830/11/22,1834/07/09
2,Prime Minister,1285,William Lamb,1834/07/16,1834/11/14
2,Prime Minister,1285,William Lamb,1834/07/16,1834/11/14
2,Prime Minister,1299,Arthur Wellesley,1834/11/17,1834/12/09
2,Prime Minister,1299,Arthur Wellesley,1834/11/17,1834/12/09
2,Prime Minister,1664,Robert Peel,1834/12/10,1835/04/08
2,Prime Minister,1285,William Lamb,1835/04/18,1841/08/30
2,Prime Minister,1285,William Lamb,1835/04/18,1841/08/30
2,Prime Minister,1664,Robert Peel,1841/08/30,1846/06/29
2,Prime Minister,1885,John Russell,1846/06/30,1852/02/21
2,Prime Minister,2326,Edward George Geoffrey Smith-Stanley,1852/02/23,1852/12/17
2,Prime Minister,2326,Edward George Geoffrey Smith-Stanley,1852/02/23,1852/12/17
2,Prime Minister,6511,George Hamilton-Gordon,1852/12/19,1855/01/30
2,Prime Minister,6511,George Hamilton-Gordon,1852/12/19,1855/01/30
2,Prime Minister,1584,Henry John Temple,1855/02/06,1858/02/19
2,Prime Minister,1584,Henry John Temple,1855/02/06,1858/02/19
2,Prime Minister,2326,Edward George Geoffrey Smith-Stanley,1858/02/20,1859/06/11
2,Prime Minister,2326,Edward George Geoffrey Smith-Stanley,1858/02/20,1859/06/11
2,Prime Minister,1584,Henry John Temple,1859/06/12,1865/10/18
2,Prime Minister,1584,Henry John Temple,1859/06/12,1865/10/18
2,Prime Minister,1885,John Russell,1865/10/29,1866/06/26
2,Prime Minister,1885,John Russell,1865/10/29,1866/06/26
2,Prime Minister,2326,Edward George Geoffrey Smith-Stanley,1866/06/28,1868/02/25
2,Prime Minister,2326,Edward George Geoffrey Smith-Stanley,1866/06/28,1868/02/25
2,Prime Minister,3523,Benjamin Disraeli,1868/02/27,1868/12/01
2,Prime Minister,3104,William Ewart Gladstone,1868/12/03,1874/02/17
2,Prime Minister,3523,Benjamin Disraeli,1874/02/20,1880/02/21
2,Prime Minister,3104,William Ewart Gladstone,1880/04/23,1885/06/09
2,Prime Minister,4342,Robert Gascoyne-Cecil,1885/06/23,1886/01/28
2,Prime Minister,4342,Robert Cecil,1885/06/23,1886/01/28
2,Prime Minister,3104,William Ewart Gladstone,1886/02/01,1886/07/20
2,Prime Minister,4342,Robert Gascoyne-Cecil,1886/07/25,1892/08/11
2,Prime Minister,4342,Robert Cecil,1886/07/25,1892/08/11
2,Prime Minister,3104,William Ewart Gladstone,1892/08/15,1894/03/02
2,Prime Minister,7306,Archibald Philip Primrose,1894/03/05,1895/06/22
2,Prime Minister,7306,Archibald Philip Primrose,1894/03/05,1895/06/22
2,Prime Minister,7306,Archibald Philip Primrose,1894/03/05,1895/06/22
2,Prime Minister,7306,Archibald Philip Primrose,1894/03/05,1895/06/22
2,Prime Minister,4342,Robert Gascoyne-Cecil,1895/06/25,1902/07/11
2,Prime Minister,4342,Robert Cecil,1895/06/25,1902/07/11
2,Prime Minister,5410,Arthur James Balfour,1902/07/12,1905/12/04
2,Prime Minister,5201,Henry Campbell-Bannerman,1905/12/05,1908/04/03
2,Prime Minister,6265,H. H. Asquith,1908/04/08,1916/12/05
2,Prime Minister,6265,Herbert Henry Asquith,1908/04/08,1916/12/05
