office_id,alias,corresponding_id,real_name,start,end
25,Secretary at War,1076,William Windham,1794,1801
25,Secretary at War,681,Charles Philip Yorke,1801,1803
25,Secretary at War,662,Charles Bragge,1803,1804
25,Secretary at War,1096,William Dundas,1804,1806
25,Secretary at War,1102,Richard FitzPatrick,1806,1807
25,Secretary at War,,James Murray Pulteney,1807,1809
25,Secretary at War,1080,Granville Leveson-Gower,1809,1809
25,Secretary at War,1584,Henry John Temple,1809,1828
25,Secretary at War,2213,Henry Hardinge,1828,1830
25,Secretary at War,,Francis Leveson-Gower,1830,1830
25,Secretary at War,3101,Charles Watkin Williams-Wynn,1830,1831
25,Secretary at War,,Henry Brooke Parnell,1831,1832
25,Secretary at War,3229,John Cam Hobhouse,1832,1833
25,Secretary at War,,Edward Elice the Elder,1833,1834
25,Secretary at War,3008,John Charles Herries,1834,1835
25,Secretary at War,2516,Henry George Grey,1835,1839
25,Secretary at War,2572,Thomas Babington Macaulay,1839,1841
25,Secretary at War,2213,Henry Hardinge,1841,1844
25,Secretary at War,2884,Thomas Francis Fremantle,1844,1845
25,Secretary at War,3241,Sidney Herbert,1845,1846
25,Secretary at War,3378,Fox Maule-Ramsay,1846,1852
25,Secretary at War,2569,Robert Vernon Smith,1852,1852
25,Secretary at War,3677,William Beresford,1852,1852
25,Secretary at War,3241,Sidney Herbert,1852,1854
25,Secretaries of State for War and Secretaries at War,,Henry Pelham Fiennes Pelham-Clinton,1854,1855
25,Secretaries of State for War and Secretaries at War,3378,Fox Maule-Ramsay,1855,1858
25,Secretaries of State for War and Secretaries at War,2471,Jonathan Peel,1858,1859
25,Secretaries of State for War and Secretaries at War,3241,Sidney Herbert,1859,1861
25,Secretaries of State for War and Secretaries at War,3948,George Cornewall Lewis,1861,1863
