office_id,corresponding_id,alias,real_name,start,end
53,3116,secretary of state for war,Henry Pelham Fiennes Pelham-Clinton,1854/06/12,1855/01/30
53,,secretary of state for war,Fox Maule-Ramsay,1855/02/08,1858/02/21
53,2471,secretary of state for war,Jonathan Peel,1858/02/26,1859/06/11
53,3241,secretary of state for war,Sidney Herbert,1859/06/18,1861/07/22
53,3948,secretary of state for war,George Cornewall Lewis,1861/07/23,1863/04/13
53,6939,secretary of state for war,George Frederick Samuel Robinson,1863/04/28,1866/02/16
53,4497,secretary of state for war,Spencer Compton Cavendish,1866/02/16,1866/06/26
53,2471,secretary of state for war,Jonathan Peel,1866/07/06,1867/03/08
53,3481,secretary of state for war,John Somerset Pakington,1867/03/08,1868/12/01
53,3781,secretary of state for war,Edward Cardwell,1868/12/09,1874/02/17
53,7299,secretary of state for war,Gathorne Gathorne-Hardy,1874/02/21,1878/04/02
53,4918,secretary of state for war,Frederick Arthur Stanley,1878/04/02,1880/04/21
53,4705,secretary of state for war,Hugh Culling Eardley Childers,1880/04/28,1882/12/16
53,4497,secretary of state for war,Spencer Compton Cavendish,1882/12/16,1885/06/09
53,5221,secretary of state for war,William Henry Smith,1885/06/24,1886/01/21
53,7299,secretary of state for war,Gathorne Gathorne-Hardy,1886/01/21,1886/02/06
53,5201,secretary of state for war,Henry Campbell-Bannerman,1886/02/06,1886/07/20
53,5221,secretary of state for war,William Henry Smith,1886/08/03,1887/01/14
53,5433,secretary of state for war,Edward Stanhope,1887/01/14,1892/08/11
53,5201,secretary of state for war,Henry Campbell-Bannerman,1892/08/18,1895/06/21
53,6899,secretary of state for war,Henry Charles Keith Petty-Fitzmaurice,1895/07/04,1900/11/12
53,5790,secretary of state for war,William St John Fremantle Brodrick,1900/11/12,1903/10/06
53,7537,secretary of state for war,Hugh Oakeley Arnold-Forster,1903/10/06,1905/12/04
53,6041,secretary of state for war,Richard Burdon Haldane,1905/12/10,1912/06/12
