office_id,alias,corresponding_id,real_name,start,end
,Solicitor General for England and Wales,619,William Grant,1799,1801
,Solicitor General for England and Wales,975,Spencer Perceval,1801,1802
,Solicitor General for England and Wales,955,Thomas Manners-Sutton,1802,1805
,Solicitor General for England and Wales,1236,Vicary Gibbs,1805,1806
,Solicitor General for England and Wales,1298,Samuel Romilly,1806,1807
,Solicitor General for England and Wales,1540,Thomas Plumer,1807,1812
,Solicitor General for England and Wales,1254,William Garrow,1812,1813
,Solicitor General for England and Wales,944,Robert Dallas,1813,1813
,Solicitor General for England and Wales,1901,Samuel Shepherd,1813,1817
,Solicitor General for England and Wales,1973,Robert Gifford,1817,1819
,Solicitor General for England and Wales,1987,John Singleton Copley,1819,1824
,Solicitor General for England and Wales,1873,Charles Wetherell,1824,1826
,Solicitor General for England and Wales,2354,Nicholas Conyngham Tindal,1826,1829
,Solicitor General for England and Wales,2547,Edward Burtenshaw Sugden,1829,1830
,Solicitor General for England and Wales,1774,William Horne,1830,1832
,Solicitor General for England and Wales,2622,John Campbell,1832,1834
,Solicitor General for England and Wales,2817,Charles Christopher Pepys,1834,1834
,Solicitor General for England and Wales,3126,Robert Monsey Rolfe,1834,1834
,Solicitor General for England and Wales,3331,William Webb Follett,1834,1835
,Solicitor General for England and Wales,3126,Robert Monsey Rolfe,1835,1839
,Solicitor General for England and Wales,3368,Thomas Wilde,1839,1841
,Solicitor General for England and Wales,3331,William Webb Follett,1841,1844
,Solicitor General for England and Wales,,Frederic Thesiger,1844,1845
,Solicitor General for England and Wales,,Fitzroy Edward Kelly,1845,1846
,Solicitor General for England and Wales,2911,John Jervis,1846,1846
,Solicitor General for England and Wales,3613,David Dundas,1846,1848
,Solicitor General for England and Wales,2881,John Romilly,1848,1850
,Solicitor General for England and Wales,4021,Alexander James Edmund Cockburn,1850,1851
,Solicitor General for England and Wales,4000,William Page Wood,1851,1852
,Solicitor General for England and Wales,,Fitzroy Edward Kelly,1852,1852
,Solicitor General for England and Wales,4117,Richard Bethell,1852,1856
,Solicitor General for England and Wales,3339,James Archibald Stuart-Wortley,1856,1857
,Solicitor General for England and Wales,4279,Henry Singer Keating,1857,1858
,Solicitor General for England and Wales,4149,Hugh McCalmont Cairns,1859,1859
,Solicitor General for England and Wales,4279,Henry Singer Keating,1859,1861
,Solicitor General for England and Wales,4004,Roundell Palmer,1861,1863
,Solicitor General for England and Wales,4273,Robert Porrett Collier,1863,1866
,Solicitor General for England and Wales,4478,William Bovill,1866,1866
,Solicitor General for England and Wales,5006,John Burgess Karslake,1866,1867
,Solicitor General for England and Wales,4613,Charles Jasper Selwyn,1867,1868
,Solicitor General for England and Wales,,William Barliol Brett,1868,1868
,Solicitor General for England and Wales,4869,Richard Baggallay,1868,1868
,Solicitor General for England and Wales,4858,John Duke Coleridge,1868,1871
,Solicitor General for England and Wales,5094,George Jessel,1871,1873
,Solicitor General for England and Wales,5237,Henry James,1873,1873
,Solicitor General for England and Wales,5172,William George Granville Venables Vernon Harcourt,1873,1874
,Solicitor General for England and Wales,4869,Richard Baggallay,1874,1874
,Solicitor General for England and Wales,5312,John Holker,1874,1875
,Solicitor General for England and Wales,5579,Hardinge Stanley GIffard,1875,1880
,Solicitor General for England and Wales,5529,Farrer Herschell,1880,1885
,Solicitor General for England and Wales,4980,John Eldon Gorst,1885,1886
,Solicitor General for England and Wales,5657,Horace Davey,1886,1886
,Solicitor General for England and Wales,5627,Edward George Clarke,1886,1892
,Solicitor General for England and Wales,6215,John Rigby,1892,1894
,Solicitor General for England and Wales,5702,Robert Threshie Reid,1894,1894
,Solicitor General for England and Wales,6224,Frank Lockwood,1894,1895
,Solicitor General for England and Wales,6055,Robert Bannatyne Finlay,1895,1900
,Solicitor General for England and Wales,7486,Edward Henry Carson,1900/05/07,1905/12/04
,Solicitor General for England and Wales,6188,William Snowdon Robson,1905/12/12,1908/01/28
,Solicitor General for England and Wales,6398,Samuel Thomas Evans,1908/01/28,1910/03/06
,Solicitor General for England and Wales,,Rufus Isaacs,1908/03/06,1910/10/07
,Solicitor General for England and Wales,8362,John Allsebrook Simon,1910/10/07,1913/10/19
