corresponding_id,alias,real_name,alias_type,start,end
,Solicitor General for Scotland,Robert Blair,position,1789,1806
,Solicitor General for Scotland,John Clerk,position,1806/03/11,1807
1618,Solicitor General for Scotland,David Boyle,position,1807,1811
,Solicitor General for Scotland,David Monypenny,position,1811,1813
1969,Solicitor General for Scotland,Alexander Maconochie,position,1813,1816/07
,Solicitor General for Scotland,James Wedderburn,position,1816/07,1822/11
3840,Solicitor General for Scotland,John Hope,position,1822/11/08,1830/11
,Solicitor General for Scotland,Henry Thomas Cockburn,position,1830/11,1834
,Solicitor General for Scotland,Andrew Skene,position,1834,1834
3814,Solicitor General for Scotland,Duncan McNeill,position,1834,1835
,Solicitor General for Scotland,John Cunninghame,position,1835,1837
,Solicitor General for Scotland,Andrew Rutherford,position,1837,1839
,Solicitor General for Scotland,James Ivory,position,1839,1840
3845,Solicitor General for Scotland,Thomas Maitland,position,1840,1841
3814,Solicitor General for Scotland,Duncan McNeill,position,1841,1842
,Solicitor General for Scotland,Adam Anderson,position,1842,1846
3845,Solicitor General for Scotland,Thomas Maitland,position,1846,1850
4120,Solicitor General for Scotland,James Moncreiff,position,1850,1851
,Solicitor General for Scotland,John Cowan,position,1851,1851
,Solicitor General for Scotland,George Deas,position,1851,1852
4585,Solicitor General for Scotland,John Inglis,position,1852,1852
,Solicitor General for Scotland,Charles Neaves,position,1852,1853
,Solicitor General for Scotland,Robert Handyside,position,1853,1853
,Solicitor General for Scotland,James Crauford,position,1853,1855
,Solicitor General for Scotland,Thomas Mackenzie,position,1855,1855
9999,Solicitor General for Scotland,Edward Francis Maitland,position,1855,1858
4597,Solicitor General for Scotland,Charles Baillie,position,1858,1858
4611,Solicitor General for Scotland,David Mure,position,1858,1859
4990,Solicitor General for Scotland,George Patton,position,1859,1859
9999,Solicitor General for Scotland,Edward Francis Maitland,position,1859,1862
4957,Solicitor General for Scotland,George Young,position,1862,1866
,Solicitor General for Scotland,Edward Stratheard Gordon,position,1866,1867
,Solicitor General for Scotland,John Millar,position,1867,1868
4957,Solicitor General for Scotland,George Young,position,1868,1869
,Solicitor General for Scotland,Andrew Rutherfurd-Clark,position,1869,1874
,Solicitor General for Scotland,John Millar,position,1874,1874
4941,Solicitor General for Scotland,William Watson,position,1874,1876
6013,Solicitor General for Scotland,John Hay Athole Macdonald,position,1876,1880
5844,Solicitor General for Scotland,John Blair Balfour,position,1880,1881
5853,Solicitor General for Scotland,Alexander Asher,position,1881,1885
5959,Solicitor General for Scotland,James Patrick Bannerman Robertson,position,1885,1886
5853,Solicitor General for Scotland,Alexander Asher,position,1886,1886
5959,Solicitor General for Scotland,James Patrick Bannerman Robertson,position,1886,1888
6380,Solicitor General for Scotland,Moir Tod Stormonth Darling,position,1888,1890
6414,Solicitor General for Scotland,Charles John Pearson,position,1890,1891
6432,Solicitor General for Scotland,Andrew Graham Murray,position,1891,1892
5853,Solicitor General for Scotland,Alexander Asher,position,1892,1894
7261,Solicitor General for Scotland,Thomas Shaw,position,1894,1895
6432,Solicitor General for Scotland,Andrew Graham Murray,position,1895,1896
7953,Solicitor General for Scotland,Charles Scott Dickson,position,1896,1903
,Solicitor General for Scotland,David Dundas,position,1903,1905
,Solicitor General for Scotland,Edward Theodore Salvesen,position,1905,1905/10
7462,Solicitor General for Scotland,James Avon Clyde,position,1905/10,1905/12
7325,Solicitor General for Scotland,Alexander Ure,position,1905/12,1909/02
7899,Solicitor General for Scotland,Arthur Dewar,position,1909/02,1910/04
8498,Solicitor General for Scotland,William Hunter,position,1910/04,1911/12
