office_id,alias,corresponding_id,real_name,start,end
3,Speaker of the House of Commons,745,Henry Addington,1789/06/08,1801/02/10
3,Speaker of the House of Commons,6761,John Freeman-Ritford,1801/02/11,1802/02/09
3,Speaker of the House of Commons,1168,Charles Abbot,1802/02/10,1817/06/02
3,Speaker of the House of Commons,1461,Charles Manners-Sutton,1817/06/03,1835/02/19
3,Speaker of the House of Commons,1741,James Abercromby,1835/02/19,1839/05/27
3,Speaker of the House of Commons,3007,Charles Shaw-Lefevre,1839/05/27,1857/04/30
3,Speaker of the House of Commons,2345,John Evelyn Denison,1857/04/30,1872/02/09
3,Speaker of the House of Commons,4235,Henry Bouverie William Brand,1872/02/09,1884/02/26
3,Speaker of the House of Commons,4946,Arthur Wellesley Peel,1884/02/26,1895/04/10
3,Speaker of the House of Commons,6252,William Court Gully,1895/04/10,1905/06/08
3,Speaker of the House of Commons,5885,James William Lowther,1905/06/08,1921/04/28
