corresponding_id,alias,real_name,alias_type,start,end,
2156,Under-Secretary of State,George Lamb,title,1830,1834/1/2,Full title: Under-Secretary of State for the Home Department
2269,Under-Secretary of State,Horace Twiss,title,1828,1830,Full title: Under-Secretary of State for War and the Colonies
3568,Under-Secretary of State,George William Hope,title,1841,1845,Full title: Under-Secretary of State for War and the Colonies
2616,Under-Secretary of State,Edward Adolphus Seymour,title,1841,1841,"Full title: Under-Secretary of State for the Home Department, also known as 12th Duke of Somerset"
3437,Under-Secretary of State,Charles John Canning,title,1841,1846,Full title: Under-Secretary of State for Foreign Affairs
3048,Under-Secretary of State,Benjamin Hawes,title,1846,1847,Full title: Under-Secretary of State for War and the Colonies
,Under-Secretary of State,George Smythe,title,1846/1/27,1846/6/29,Full title: Under-Secretary of State for Foreign Affairs
,Under-Secretary of State,John Otway O'Conner Cuffe,title,1852/3/2,1852/12/17,Full title: Under-Secretary of State for War and the Colonies
,Under-Secretary of State,William George Hylton Jolliffe,title,1852/2/27,1852/12/17,"Full title: Under-Secretary of State for the Home Department, also known as 1st Baron Hylton"
4079,Under-Secretary of State,Edward Henry Stanley,title,1852,1852,Full title: Under-Secretary of State for Foreign Affairs
4174,Under-Secretary of State,John Ball,title,1855/2/8,1857/6/1,"Full title: Under-Secretary of State for the Colonies, not to be confused with Under-Secretary of State for War and the Colonies"
3346,Under-Secretary of State,William Francis Cowper-Temple,title,1855,1855,"Full title: Under-Secretary of State for the Home Department, also known as 1st Baron Mount Temple"
4294,Under-Secretary of State,Arthur John Otway,title,1868/12/12,1871/1/9,Full title: Under-Secretary of State for Foreign Affairs
4300,Under-Secretary of State,George Henry Charles Byng,title,1871/1/9,1874/2/17,"Full title: Under-Secretary of State for Foreign Affairs, also known as 3rd Earl of Straffort"
5021,Under-Secretary of State,Henry Selfe Page Winterbotham,title,1870,1873/12/13,Full title: Under-Secretary of State for the Home Department
5168,Under-Secretary of State,Matthew White Ridley,title,1878,1880,"Full title: Under-Secretary of State for the Home Department, also known as 1st Viscount Ridley"
5814,Under-Secretary of State,Henry Hartley Fowler,title,1884,1885,"Full title: Under-Secretary of State for the Home Department, also known as 1st Viscount Wolverhampton"
,Under-Secretary of State,Adelbert Wellington Brownlow-Cust,title,1890/1/1,1892/8/11,"Full title: Under-Secretary of State for War, not to be confused with Under-Secretary of State for War and the Colonies, also known as 3rd Earl Brownlow"
5880,Under-Secretary of State,Sydney Charles Buxton,title,1892,1895,"Full title: Under-Secretary of State for the Colonies, not to be confused with Under-Secretary of State for War and the Colonies, also known as 1st Earl Buxton"
5635,Under-Secretary of State,George William Erskine Russell,title,1892/8/19,1894/6/21,"Full title: Under-Secretary of State for India, Same person as below"
5635,Under-Secretary of State,George William Erskine Russell,title,1894/3/12,1895/6/21,"Full title: Under-Secretary of State for the Home Department, Same person as above"
5790,Under-Secretary of State,William St John Fremantle Brodrick,title,1895,1898,"Full title: Under-Secretary of State for War, not to be confused with Under-Secretary of State for War and the Colonies, also known as 1st Earl of Midleton, same person as below"
5790,Under-Secretary of State,William St John Fremantle Brodrick,title,1898,1900,"Full title: Under-Secretary of State for Foreign Affairs, same person as above"
6317,Under-Secretary of State,George Nathaniel Curzon,title,1891/11/9,1892/8/11,"Full title: Under-Secretary of State for India, also known as 1st Marquess Curzon of Kedleston, Same person as below"
6317,Under-Secretary of State,George Nathaniel Curzon,title,1895/6/20,1898/10/15,"Full title: Under-Secretary of State for Foreign Affairs, same person as above"
