corresponding_id,alias,real_name,alias_type,start,end,extra
1080,Earl Granville,Granville Leveson-Gower,title,1833/05/10,1846/01/08,
1080,Viscount Granville,Granville Leveson-Gower,title,1815/08/12,1846/01/08,
1080,Viscount Granville of Stone Park,Granville Leveson-Gower,title,1814/08/12,1846/01/08,
1080,Baron Leveson of Stone,Granville Leveson-Gower,title,1814/08/12,1846/01/08,
3445,Earl Granville,Granville George Leveson-Gower,title,1846/01/09,1891/03/31,
3445,Viscount Granville of Stone Park,Granville George Leveson-Gower,title,1846/01/09,1891/03/31,
3445,Baron Leveson of Stone,Granville George Leveson-Gower,title,1846/01/09,1891/03/31,
7086,Earl Granville,Granville George Leveson-Gower,title,1891/04/01,1939/07/21,
7086,Viscount Granville of Stone Park,Granville George Leveson-Gower,title,1891/04/01,1939/07/21,
7086,Baron Leveson of Stone,Granville George Leveson-Gower,title,1891/04/01,1939/07/21,
