corresponding_id,alias,real_name,alias_type,start,end,extra
6687,Earl of Carnarvon,Henry Herbert,title,1793/07/03,1811/06/03,
6687,Lord Porchester,Henry Herbert,title,1780/10/17,1793/07/02,
734,Earl of Carnarvon,Henry George Herbert,title,1811/06/04,1833/04/16,
734,Lord Porchester,Henry George Herbert,title,1793/07/03,1811/06/03,
2750,Earl of Carnarvon,Henry John George Herbert,title,1833/04/17,1849/12/10,
2750,Lord Porchester,Henry John George Herbert,title,1811/06/04,1833/4/16,
,Earl of Carnarvon,Henry Howard Molyneux Herbert,title,1849/12/11,1890/06/29,
,Lord Porchester,Henry Howard Molyneux Herbert,title,1833/4/17,1849/12/10,
7077,Earl of Carnarvon,George Edward Stanhope Molyneux Herbert,title,1890/06/30,1923/04/05,
7077,Lord Porchester,George Edward Stanhope Molyneux Herbert,title,1849/12/11,1890/06/29,
