corresponding_id,alias,real_name,alias_type,start,end,link
,Earl of Radnor,Jacob Pleydell-Bouverie,title,1776/01/29,1828/01/27,"https://en.wikipedia.org/wiki/Jacob_Pleydell-Bouverie,_2nd_Earl_of_Radnor"
1045,Viscount Folkestone,William Pleydell-Bouverie,title,1800,1828/01/27,"https://en.wikipedia.org/wiki/William_Pleydell-Bouverie,_3rd_Earl_of_Radnor"
1045,Earl of Radnor,William Pleydell-Bouverie,title,1828/01/28,1869/04/09,
,Viscount Folkestone,Jacob Pleydell-Bouverie,title,1828/01/28,1869/04/09,"https://en.wikipedia.org/wiki/Jacob_Pleydell-Bouverie,_4th_Earl_of_Radnor"
,Earl of Radnor,Jacob Pleydell-Bouverie,title,1869/04/10,1889/03/11,
5499,Viscount Folkestone,William Pleydell-Bouverie,title,1869/04/10,1889/03/11,"https://en.wikipedia.org/wiki/William_Pleydell-Bouverie,_5th_Earl_of_Radnor"
5499,Earl of Radnor,William Pleydell-Bouverie,title,1889/03/12,1900/06/03,
7160,Viscount Folkestone,Jacob Pleydell-Bouverie,title,1889/03/12,1900/06/03,"https://en.wikipedia.org/wiki/Jacob_Pleydell-Bouverie,_6th_Earl_of_Radnor"
7160,Earl of Radnor,Jacob Pleydell-Bouverie,title,1900/06/04,1930/06/26,
,Viscount Folkestone,William Pleydell-Bouverie,title,1900/06/04,1930/06/26,"https://en.wikipedia.org/wiki/William_Pleydell-Bouverie,_7th_Earl_of_Radnor"
