corresponding_id,alias,alias_type,real_name,start,end,extra
,Marquess of Waterford,title,George Pippy Beresford,1789,1800/12/03,We need to give these men numbers or we won't be able to identify them. Other than the one Earl the rest are all not present in the mps.csv
,Earl of Tryone,title,George Pippy Beresford,1763/04/05,1800/12/03,
,Baron La Poer,title,George Pippy Beresford,1769,1800/12/03,
,Baron Tyrone,title,George Pippy Beresford,1786,1800/12/03,
,Marquess of Waterford,title,Henry de La Poer Beresford,1800/12/04,1826/07/06,
,Earl of Tryone,title,Henry de La Poer Beresford,1800/12/04,1826/07/06,
,Baron La Poer,title,Henry de La Poer Beresford,1800/12/04,1826/07/06,
,Baron Tyrone,title,Henry de La Poer Beresford,1800/12/04,1826/07/06,
,Marquess of Waterford,title,Henry de La Poer Beresford,1826/07/07,1859/03/29,
,Earl of Tryone,title,Henry de La Poer Beresford,1826/07/07,1859/03/29,
,Baron La Poer,title,Henry de La Poer Beresford,1826/07/07,1859/03/29,
,Baron Tyrone,title,Henry de La Poer Beresford,1826/07/07,1859/03/29,
,Marquess of Waterford,title,John de la Poer Beresford,1859/03/30,1866/11/06,
,Earl of Tryone,title,John de la Poer Beresford,1859/03/30,1866/11/06,
,Baron La Poer,title,John de la Poer Beresford,1859/03/30,1866/11/06,
,Baron Tyrone,title,John de la Poer Beresford,1859/03/30,1866/11/06,
4948,Marquess of Waterford,title,John Henry de la Poer Beresford,1866/11/07,1895/10/23,
4948,Earl of Tryone,title,John Henry de la Poer Beresford,1866/11/07,1895/10/23,
4948,Baron La Poer,title,John Henry de la Poer Beresford,1866/11/07,1895/10/23,
4948,Baron Tyrone,title,John Henry de la Poer Beresford,1866/11/07,1895/10/23,
,Marquess of Waterford,title,Henry de La Poer Beresford,1895/10/24,1911/12/01,
,Earl of Tryone,title,Henry de La Poer Beresford,1895/10/24,1911/12/01,
,Baron La Poer,title,Henry de La Poer Beresford,1895/10/24,1911/12/01,
,Baron Tyrone,title,Henry de La Poer Beresford,1895/10/24,1911/12/01,
