corresponding_id,alias,real_name,alias_type,start,end,extra,The first Deputy Speaker is also identified as Chairman of Ways and Means
,Deputy Speaker of the House of Commons,Alexander Cray Brant,office,1826,1831,"https://en.wikipedia.org/wiki/Sir_Alexander_Grant,_8th_Baronet",
2540,Deputy Speaker of the House of Commons,Ralph Bernal,office,1831,1841,https://en.wikipedia.org/wiki/Ralph_Bernal,
3051,Deputy Speaker of the House of Commons,Thomas Greene,office,1841,1847,https://en.wikipedia.org/wiki/Thomas_Greene_(MP),
2540,Deputy Speaker of the House of Commons,Ralph Bernal,office,1847,1852,,
2661,Deputy Speaker of the House of Commons,John Wilson-Patten,office,1852,1853,"https://en.wikipedia.org/wiki/John_Wilson-Patten,_1st_Baron_Winmarleigh",
3822,Deputy Speaker of the House of Commons,Edward Pleydell-Bouverie,office,1853,1855,https://en.wikipedia.org/wiki/Edward_Pleydell-Bouverie,
2822,Deputy Speaker of the House of Commons,Henry FitzRoy,office,1855,1859,https://en.wikipedia.org/wiki/Henry_FitzRoy_(politician),
,Deputy Speaker of the House of Commons,William Nathaniel Massey,office,1859,1864,https://en.wikipedia.org/wiki/William_Nathaniel_Massey,
4548,Deputy Speaker of the House of Commons,John George Dodson,office,1865,1872,"https://en.wikipedia.org/wiki/John_George_Dodson,_1st_Baron_Monk_Bretton",
4051,Deputy Speaker of the House of Commons,John Bonham-Carter,office,1872,1874,https://en.wikipedia.org/wiki/John_Bonham-Carter_(1817%E2%80%931884),
5073,Deputy Speaker of the House of Commons,Henry Cecil Raikes,office,1874,1880,https://en.wikipedia.org/wiki/Henry_Cecil_Raikes,
5236,Deputy Speaker of the House of Commons,Lyon Playfair,office,1880,1883,"https://en.wikipedia.org/wiki/Lyon_Playfair,_1st_Baron_Playfair",
4294,Deputy Speaker of the House of Commons,Arthur John Otway,office,1883,1885,https://en.wikipedia.org/wiki/Arthur_Otway,
5575,Deputy Speaker of the House of Commons,Leonard Henry Courtney,office,1886,1893,"https://en.wikipedia.org/wiki/Leonard_Courtney,_1st_Baron_Courtney_of_Penwith",
5693,Deputy Speaker of the House of Commons,John William Mellor,office,1893,1895,https://en.wikipedia.org/wiki/John_William_Mellor,
5885,Deputy Speaker of the House of Commons,James William Lowther,office,1895,1905,"https://en.wikipedia.org/wiki/James_Lowther,_1st_Viscount_Ullswater",
7671,Deputy Speaker of the House of Commons,John Grant Lawson,office,1905,1906,"https://en.wikipedia.org/wiki/Sir_John_Lawson,_1st_Baronet,_of_Knavesmire_Lodge",
7281,Deputy Speaker of the House of Commons,Alfred Emmott,office,1906,1911,"https://en.wikipedia.org/wiki/Alfred_Emmott,_1st_Baron_Emmott",
