corresponding_id,alias,real_name,start,end,extra,links
1679,lord brougham,Henry Peter Brougham,1830/01/01,1868/05/07,1st Baron Brougham and Vaux,"https://en.wikipedia.org/wiki/Henry_Brougham,_1st_Baron_Brougham_and_Vaux"
3173,lord brougham,William Brougham,1868/05/07,1886/01/03,2nd Baron Brougham and Vaux,"https://en.wikipedia.org/wiki/William_Brougham,_2nd_Baron_Brougham_and_Vaux"
7034,lord brougham,Henry Charles Brougham,1886/01/03,1927/05/24,3rd Baron Brougham and Vaux,"https://en.wikipedia.org/wiki/Henry_Brougham,_3rd_Baron_Brougham_and_Vaux"
6687,earl of carnarvon,Henry Herbert,1793/01/01,1811/06/03,1st Earl of Carnarvon,"https://en.wikipedia.org/wiki/Henry_Herbert,_1st_Earl_of_Carnarvon"
734,earl of carnarvon,Henry George Herbert,1811/06/03,1833/04/16,2nd Earl of Carnarvon,"https://en.wikipedia.org/wiki/Henry_Herbert,_2nd_Earl_of_Carnarvon"
2750,earl of carnarvon,Henry John George Herbert,1833/04/16,1849/12/10,3rd Earl of Carnarvon,"https://en.wikipedia.org/wiki/Henry_Herbert,_3rd_Earl_of_Carnarvon"
6605,earl of carnarvon,Henry Howard Molyneux Herbert,1849/12/10,1890/06/29,4th Earl of Carnarvon,"https://en.wikipedia.org/wiki/Henry_Herbert,_4th_Earl_of_Carnarvon"
7077,earl of carnarvon,George Edward Stanhope Molyneux Herbert,1890/06/29,1923/04/05,5th Earl of Carnarvon,"https://en.wikipedia.org/wiki/George_Herbert,_5th_Earl_of_Carnarvon"
5201,sir h campbell bannerman,Henry Campbell-Bannerman,1836/09/07,1908/04/22,,https://en.wikipedia.org/wiki/Henry_Campbell-Bannerman
1359,lord castlereagh,Robert Stewart,1769/06/18,1822/12/31,"2nd Marquess of Londonderry, Secretary of State for Foreign Affairs","https://en.wikipedia.org/wiki/Robert_Stewart,_Viscount_Castlereagh"
,lord elcho,Francis Wemyss Charteris,1787/04/29,1808/01/20, 6th Earl of Wemyss,"https://en.wikipedia.org/wiki/David_Wemyss,_Lord_Elcho"
3673,lord elcho,Francis Richard Charteris,1853,1883/01/01,10th Earl of Wemyss,"https://en.wikipedia.org/wiki/Francis_Charteris,_10th_Earl_of_Wemyss"
5871,lord elcho,Hugo Richard Charteris,1883/01/01,1914/06/30,11th Earl of Wemyss,"https://en.wikipedia.org/wiki/Hugo_Charteris,_11th_Earl_of_Wemyss"
1987,lord lyndhurst,John Singleton Copley,1772/05/21,1863/10/12,Lord High Chancellor of Great Britain,"https://en.wikipedia.org/wiki/John_Copley,_1st_Baron_Lyndhurst"
2286,lord monteagle,Thomas Spring Rice,1839/01/01,1866/02/07,1st Baron Monteagle of Brandon,"https://en.wikipedia.org/wiki/Thomas_Spring_Rice,_1st_Baron_Monteagle_of_Brandon"
,lord monteagle,Thomas Spring Rice,1866/02/07,1926/12/24,2nd Baron Monteagle of Brandon,"https://en.wikipedia.org/wiki/Thomas_Spring_Rice,_2nd_Baron_Monteagle_of_Brandon"
6473,marquess of clanricarde,Ulick John de Burgh,1825/10/08,1874/04/10,1st Marquess of Clanricarde,"https://en.wikipedia.org/wiki/Ulick_de_Burgh,_1st_Marquess_of_Clanricarde"
5022,marquess of clanricarde,Hubert George de Burgh-Canning,1874/04/10,1916/04/12,2nd Marquess of Clanricarde,"https://en.wikipedia.org/wiki/Hubert_de_Burgh-Canning,_2nd_Marquess_of_Clanricarde"
,earl of camperdown,Robert Dundas Haldane-Duncan,1831,1859,1st Earl of Camperdown,https://en.wikipedia.org/wiki/Earl_of_Camperdown
,earl of camperdown,Adam Haldane-Duncan,1859,1867/01/30,2nd Earl of Camperdown,"https://en.wikipedia.org/wiki/Adam_Haldane-Duncan,_2nd_Earl_of_Camperdown"
6905,earl of camperdown,Robert Adam Philips Haldane Haldane-Duncan,1867/01/30,1918/06/05,3rd Earl of Camperdown,"https://en.wikipedia.org/wiki/Robert_Haldane-Duncan,_3rd_Earl_of_Camperdown"
,duke of richmond,Charles Lennox,1750/08/08,1806/12/29,3rd Duke of Richmond,"https://en.wikipedia.org/wiki/Charles_Lennox,_3rd_Duke_of_Richmond"
1094,duke of richmond,Charles Lennox,1806/12/29,1819/08/28,4th Duke of Richmond,"https://en.wikipedia.org/wiki/Charles_Lennox,_4th_Duke_of_Richmond"
1747,duke of richmond,Charles Gordon-Lennox,1819/08/28,1860/10/21,5th Duke of Richmond,"https://en.wikipedia.org/wiki/Charles_Gordon-Lennox,_5th_Duke_of_Richmond"
,duke of richmond,Charles Gordon-Lennox,1860/10/21,1903/09/27,6th Duke of Richmond,"https://en.wikipedia.org/wiki/Charles_Gordon-Lennox,_6th_Duke_of_Richmond"
,duke of richmond,Charles Henry Gordon-Lennox,1903/09/27,1928/01/18,7th Duke of Richmond,"https://en.wikipedia.org/wiki/Charles_Gordon-Lennox,_7th_Duke_of_Richmond"
5299,colonel nolan,John Philip Nolan,1838,1912/01/30,an Irish nationalist landowner and Member of Parliament,https://en.wikipedia.org/wiki/John_Philip_Nolan
