corresponding_id,alias,real_name,start,end,details,links,,Color Code
,earl of lytton,Edward Robert Lytton Bulwer-Lytton,1905/03/04,1905/03/05,"Died in office, also worked as Ambassador to France from 1887-death. ",,,ONLY 20th Century Work after 1910
,lord panmure/Under-Secretary,Fox Maule,1905/01/08,1905/01/14,Under-Secretary,,,Some 20th Century Work after 1910
,VP of the Board of Trade,Fox Maule,1905/01/14,1905/01/14,VP of the Board of Trade,,,
,Secretary at War ,Fox Maule,1905/01/19,1905/01/25,,,,
,lord althorp,John Spencer,1830/11/20,1834/11/14,Chancellor of the Exchequer,,,
,Major Seely,Major-General John Seely,1900/05/23,1906/03/22,,,,
,Major Seely,Major-General John Seely,1904/04/06,1906/04/22,,,,
,Major Seely,Major-General John Seely,1906/01/12,1910/01/15,,,,
,Under-Secretary of State,Major-General John Seely,1905/03/22,1905/03/25,,,,
,baron h de worms,Henry De Worms,1905/02/27,1905/03/02,Parliamentary Secretary,,,
,baron h de worms,Henry De Worms,1905/03/02,1905/03/06,Under-Secretary,,,
,lord reay,Donald Mackay,1905/02/18,1905/04/04,died in office,,,
,Governer of Bombay,Donald Mackay,1905/02/27,1905/03/04,,,,
,Under-Secretary of State for India,Donald Mackay,1894/03/11,1895/06/21,,,,
,colonel milward,Victor Milward,1895/07/13,1901/05/31,,,,
,lord wodehouse,John Wodehouse,1892/08/18,1894/03/05,,,,
,Secretary of State for India,John Wodehouse,1892/08/18,1894/03/10,,,,
,Chancellor of the Duchy of Lancaster,John Wodehouse,1882/07/25,1882/12/18,,,,
,Secretary of State for the Colonies,John Wodehouse,1880/04/21,1882/12/16,,,,
,Lord Keeper of the Privy Seal,John Wodehouse,1868/12/09,1870/07/06,,,,
,Lord Lieutenant of Ireland,John Wodehouse,1864/11/01,1866/07/13,,,,
,Parliamentary Under-Secretary of State for India,John Wodehouse,1864/04/25,1864/11/16,,,,
,Parliamentary Under-Secretary of State for Foreign Affairs,John Wodehouse,1859/06/19,1861/08/15,,,,
,Member of the House of Lords Lord Temporal,John Wodehouse,1847/01/08,1902/04/08,,,,
,lord cranborne,Viscount Cranborne/ James Gascoyne-Cecil,1905/03/17,1947/04/04,,,,
,Under-Secretary,Viscount Cranborne/ James Gascoyne-Cecil,1905/03/14,1905/03/17,,,,
,duke of northumberland,Earl Percy,1905/03/13,1918/05/14,,,,
,Lord Lovaine,Earl Percy,1905/03/01,1918/05/14,,,,
