corresponding_id,alias,real_name,alias_type,start,end,extra
4783,Parliamentary Secretary to the Board of Trade,George John Shaw-Lefevre,position,1868,1871,"https://en.wikipedia.org/wiki/George_Shaw_Lefevre,_1st_Baron_Eversley"
,Parliamentary Secretary to the Board of Trade,Arthur Wellesley Peel,position,1871,1874,"https://en.wikipedia.org/wiki/Arthur_Peel,_1st_Viscount_Peel"
4700,Parliamentary Secretary to the Board of Trade,George Augustus Frederick Cavendish-Bentinck,position,1874,1875,https://en.wikipedia.org/wiki/George_Cavendish-Bentinck
5433,Parliamentary Secretary to the Board of Trade,Edward Stanhope,position,1875,1878,https://en.wikipedia.org/wiki/Edward_Stanhope
5132,Parliamentary Secretary to the Board of Trade,John Gilbert Talbot,position,1878,1880,https://en.wikipedia.org/wiki/John_Gilbert_Talbot
,Parliamentary Secretary to the Board of Trade,Evelyn Ashley,position,1880,1882,https://en.wikipedia.org/wiki/Evelyn_Ashley
5119,Parliamentary Secretary to the Board of Trade,John Holms,position,1882,1885,https://en.wikipedia.org/wiki/John_Holms
5697,Parliamentary Secretary to the Board of Trade,Henry de Worms,position,1885,1888,"https://en.wikipedia.org/wiki/Henry_de_Worms,_1st_Baron_Pirbright"
9997,Parliamentary Secretary to the Board of Trade,William Hillier Onslow,position,1888,1889,"https://en.wikipedia.org/wiki/William_Onslow,_4th_Earl_of_Onslow"
9998,Parliamentary Secretary to the Board of Trade,Alexander Hugh Bruce,position,1889,1892,"https://en.wikipedia.org/wiki/Alexander_Bruce,_6th_Lord_Balfour_of_Burleigh"
5445,Parliamentary Secretary to the Board of Trade,Thomas Burt,position,1892,1895,https://en.wikipedia.org/wiki/Thomas_Burt
7044,Parliamentary Secretary to the Board of Trade,William Humble Ward,position,1895,1902,"https://en.wikipedia.org/wiki/William_Ward,_2nd_Earl_of_Dudley"
7952,Parliamentary Secretary to the Board of Trade,Andrew Bonar Law,position,1902,1905,https://en.wikipedia.org/wiki/Bonar_Law
,Parliamentary Secretary to the Board of Trade,Hudson Eubanke Kearley,position,1905,1909,"https://en.wikipedia.org/wiki/Hudson_Kearley,_1st_Viscount_Devonport"
7704,Parliamentary Secretary to the Board of Trade,Harold John Tennant,position,1909,1911,https://en.wikipedia.org/wiki/Harold_Tennant
