corresponding_id,alias,real_name,alias_type,start,end,links
,Postmaster General,William Eden,position,1798,1804,"https://en.wikipedia.org/wiki/William_Eden,_1st_Baron_Auckland"
,Postmaster General,James Graham,position,1804,1806,"https://en.wikipedia.org/wiki/James_Graham,_3rd_Duke_of_Montrose"
6729,Postmaster General,John Joshua Proby,position,1806,1807,"https://en.wikipedia.org/wiki/John_Proby,_1st_Earl_of_Carysfort"
6719,Postmaster General,Thomas Pelham,position,1807,1826,"https://en.wikipedia.org/wiki/Thomas_Pelham,_2nd_Earl_of_Chichester"
,Postmaster General,Charles Spencer,position,1801,1806,https://en.wikipedia.org/wiki/Lord_Charles_Spencer
6690,Postmaster General,Robert Hobart,position,1806,1807,"https://en.wikipedia.org/wiki/Robert_Hobart,_4th_Earl_of_Buckinghamshire"
,Postmaster General,John Montagu,position,1807,1807,"https://en.wikipedia.org/wiki/John_Montagu,_5th_Earl_of_Sandwich"
6807,Postmaster General,Richard Le Poer Trench,position,1814,1816,"https://en.wikipedia.org/wiki/Richard_Trench,_2nd_Earl_of_Clancarty"
,Postmaster General,James Cecil,position,1816,1823,"https://en.wikipedia.org/wiki/James_Cecil,_1st_Marquess_of_Salisbury"
857,Postmaster General,Frederick Montagu,position,1826,1827,https://en.wikipedia.org/wiki/Lord_Frederick_Montagu
,Postmaster General,William Montagu,position,1827,1830,"https://en.wikipedia.org/wiki/William_Montagu,_5th_Duke_of_Manchester"
6505,Postmaster General,Charles Gordon-Lennox,position,1830,1834,"https://en.wikipedia.org/wiki/Charles_Gordon-Lennox,_5th_Duke_of_Richmond"
2121,Postmaster General,Francis Nathaniel Conyngham,position,1834,1834,"https://en.wikipedia.org/wiki/Francis_Conyngham,_2nd_Marquess_Conyngham"
2047,Postmaster General,Thomas William Anson,position,1835,1841,"https://en.wikipedia.org/wiki/Thomas_Anson,_1st_Earl_of_Lichfield"
1652,Postmaster General,William Lowther,position,1841,1845,"https://en.wikipedia.org/wiki/William_Lowther,_2nd_Earl_of_Lonsdale"
2454,Postmaster General,Edward Granville Eliot,position,1845,1846,"https://en.wikipedia.org/wiki/Edward_Eliot,_3rd_Earl_of_St_Germans"
6473,Postmaster General,Ulick John de Burgh,position,1846,1852,"https://en.wikipedia.org/wiki/Ulick_de_Burgh,_1st_Marquess_of_Clanricarde"
2818,Postmaster General,Charles Philip Yorke,position,1852,1852,"https://en.wikipedia.org/wiki/Charles_Yorke,_4th_Earl_of_Hardwicke"
3437,Postmaster General,Charles John Canning,position,1853,1855,"https://en.wikipedia.org/wiki/Charles_Canning,_1st_Earl_Canning"
6592,Postmaster General,George John Douglas Campbell,position,1855,1858,"https://en.wikipedia.org/wiki/George_Campbell,_8th_Duke_of_Argyll"
6452,Postmaster General,Charles Abbot,position,1858,1859,"https://en.wikipedia.org/wiki/Charles_Abbot,_2nd_Baron_Colchester"
3733,Postmaster General,James Bruce,position,1859,1860,"https://en.wikipedia.org/wiki/James_Bruce,_8th_Earl_of_Elgin"
2738,Postmaster General,Edward John Stanley,position,1860,1866,"https://en.wikipedia.org/wiki/Edward_Stanley,_2nd_Baron_Stanley_of_Alderley"
2365,Postmaster General,James Graham,position,1866,1868,"https://en.wikipedia.org/wiki/James_Graham,_4th_Duke_of_Montrose"
4497,Postmaster General,Spencer Compton Cavendish,position,1868,1871,"https://en.wikipedia.org/wiki/Spencer_Cavendish,_8th_Duke_of_Devonshire"
3977,Postmaster General,William Monsell,position,1871,1873,"https://en.wikipedia.org/wiki/William_Monsell,_1st_Baron_Emly"
5236,Postmaster General,Lyon Playfair,position,1873,1874,"https://en.wikipedia.org/wiki/Lyon_Playfair,_1st_Baron_Playfair"
3706,Postmaster General,John James Robert Manners,position,1874,1880,"https://en.wikipedia.org/wiki/John_Manners,_7th_Duke_of_Rutland"
4822,Postmaster General,Henry Fawcett,position,1880,1884,https://en.wikipedia.org/wiki/Henry_Fawcett
4541,Postmaster General,George Grenfell Glyn,position,1884,1884,"https://en.wikipedia.org/wiki/George_Glyn,_2nd_Baron_Wolverton"
5073,Postmaster General,Henry Cecil Raikes,position,1886,1891,https://en.wikipedia.org/wiki/Henry_Cecil_Raikes
3706,Postmaster General,John James Robert Manners,position,1885,1886,"https://en.wikipedia.org/wiki/John_Manners,_7th_Duke_of_Rutland"
4783,Postmaster General,George John Shaw-Lefevre,position,1884,1885,https://en.wikipedia.org/wiki/George_John_Shaw-Lefevre
4369,Postmaster General,James Fergusson,position,1890,1892,"https://en.wikipedia.org/wiki/Sir_James_Fergusson,_6th_Baronet"
5837,Postmaster General,Arnold Morley,position,1892,1895,https://en.wikipedia.org/wiki/Arnold_Morley
,Postmaster General,Henry Fitzalan-Howard,position,1895,1900,"https://en.wikipedia.org/wiki/Henry_Fitzalan-Howard,_15th_Duke_of_Norfolk"
5600,Postmaster General,Charles Stewart Vane Tempest-Stewart,position,1900/11/02,1902/08/07,"https://en.wikipedia.org/wiki/Charles_Vane-Tempest-Stewart,_6th_Marquess_of_Londonderry"
7689,Postmaster General,Austen Chamberlain,position,1902/08/08,1903/10/05,https://en.wikipedia.org/wiki/Austen_Chamberlain
7255,Postmaster General,Edward George Villiers Stanley,position,1903/10/06,1905/12/09,"https://en.wikipedia.org/wiki/Edward_Stanley,_17th_Earl_of_Derby"
5880,Postmaster General,Sydney Charles Buxton,position,1905/12/10,1910/02/13,"https://en.wikipedia.org/wiki/Sydney_Buxton,_1st_Earl_Buxton"
