corresponding_id,alias,real_name,start,end,extra,links
975,solicitor general,Spencer Perceval,1801,1802,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
955,solicitor general,Thomas Manners-Sutton,1802,1805,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
1236,solicitor general,Vicary Gibbs,1805,1806,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
1298,solicitor general,Samuel Romilly,1806,1807,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
1540,solicitor general,Thomas Plumer,1807,1812,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
1254,solicitor general,William Garrow,1812,1813,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
944,solicitor general,Robert Dallas,1813,1813,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
1901,solicitor general,Samuel Shepherd,1813,1817,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
1973,solicitor general,Robert Gifford,1817,1819,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
1987,solicitor general,John Singleton Copley,1819,1824,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
1873,solicitor general,Charles Wetherell,1824,1826,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
2354,solicitor general,Nicholas Conyngham Tindal,1826,1829,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
2547,solicitor general,Edward Burtenshaw Sugden,1829,1830,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
1774,solicitor general,William Horne,1830,1832,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
2622,solicitor general,John Campbell,1832,1834,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
2817,solicitor general,Charles Christopher Pepys,1834,1834,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
3126,solicitor general,Robert Monsey Rolfe,1834,1834,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
3331,solicitor general,William Webb Follett,1834,1835,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
3126,solicitor general,Robert Monsey Rolfe,1835,1839,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
12921,solicitor general,Thomas Wilde,1839,1841,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
3331,solicitor general,William Webb Follett,1841,1844,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
3611,solicitor general,Frederic Thesiger,1844,1845,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
3350,solicitor general,Fitzroy Kelly,1845,1846,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
2911,solicitor general,John Jervis,1846,1846,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
3613,solicitor general,David Dundas,1846,1848,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
2881,solicitor general,John Romilly,1848,1850,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
4021,solicitor general,Alexander James Edmund Cockburn,1850,1851,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
4000,solicitor general,William Page Wood,1851,1852,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
3350,solicitor general,Fitzroy Kelly,1852,1852,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
4117,solicitor general,Richard Bethell,1852,1856,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
3339,solicitor general,James Archibald Stuart-Wortley,1856,1857,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
4279,solicitor general,Henry Singer Keating,1857,1858,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
4149,solicitor general,Hugh McCalmont Cairns,1858,1859,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
4279,solicitor general,Henry Singer Keating,1859,1859,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
4192,solicitor general,William Atherton,1859,1861,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
4004,solicitor general,Roundell Palmer,1861,1863,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
4273,solicitor general,Robert Porrett Collier,1863,1866,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
4478,solicitor general,William Bovill,1866,1866,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
5006,solicitor general,John Burgess Karslake,1866,1867,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
4613,solicitor general,Charles Jasper Selwyn,1867,1868,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
4981,solicitor general,William Baliol Brett,1868,1868,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
4869,solicitor general,Richard Baggallay,1868,1868,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
4858,solicitor general,John Duke Coleridge,1868,1871,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
5094,solicitor general,George Jessel,1871,1873,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
5237,solicitor general,Henry James,1873,1873,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
5172,solicitor general,William George Granville Venables Vernon Harcourt,1873,1874,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
4869,solicitor general,Richard Baggallay,1874,1874,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
5312,solicitor general,John Holker,1874,1875,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
5579,solicitor general,Hardinge Stanley Giffard,1875,1880,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
5529,solicitor general,Farrer Herschell,1880,1885,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
4980,solicitor general,John Eldon Gorst,1866,1885,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
5657,solicitor general,Horace Davey,1866,1866,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
5627,solicitor general,Edward George Clarke,1866,1892,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
6215,solicitor general,John Rigby,1892,1894,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
5702,solicitor general,Robert Threshie Reid,1894,1894,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
6224,solicitor general,Frank Lockwood,1894,1895,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
6055,solicitor general,Robert Bannatyne Finlay,1895,1900,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
7486,solicitor general,Edward Henry Carson,1900/05/07,1905/12/04,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
6188,solicitor general,William Snowdon Robson,1905/12/12,1908/01/28,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
6398,solicitor general,Samuel Thomas Evans,1908/01/28,1910/03/06,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
7318,solicitor general,Rufus Daniel Isaacs,1908/03/06,1910/10/07,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
8362,solicitor general,John Allsebrook Simon,1910/10/07,1913/10/19,,https://en.wikipedia.org/wiki/Solicitor_General_for_England_and_Wales
