corresponding_id,alias,real_name,alias_type,start,end,extra
,Solicitor General for Scotland,Robert Blair,position,1789,1806,"https://en.wikipedia.org/wiki/Robert_Blair,_Lord_Avontoun"
,Solicitor General for Scotland,John Clerk,position,1806/03/11,1807,"https://en.wikipedia.org/wiki/John_Clerk,_Lord_Eldin"
1618,Solicitor General for Scotland,David Boyle,position,1807,1811,"https://en.wikipedia.org/wiki/David_Boyle,_Lord_Boyle"
,Solicitor General for Scotland,David Monypenny,position,1811,1813,"https://en.wikipedia.org/wiki/David_Monypenny,_Lord_Pitmilly"
1969,Solicitor General for Scotland,Alexander Maconochie,position,1813,1816/07,"https://en.wikipedia.org/wiki/Alexander_Maconochie,_Lord_Meadowbank"
,Solicitor General for Scotland,James Wedderburn,position,1816/07,1822/11,https://en.wikipedia.org/wiki/James_Wedderburn_(judge)
3840,Solicitor General for Scotland,John Hope,position,1822/11/08,1830/11,"https://en.wikipedia.org/wiki/John_Hope,_Lord_Hope"
,Solicitor General for Scotland,Henry Thomas Cockburn,position,1830/11,1834,"https://en.wikipedia.org/wiki/Henry_Cockburn,_Lord_Cockburn"
,Solicitor General for Scotland,Andrew Skene,position,1834,1834,https://en.wikipedia.org/wiki/Andrew_Skene
3814,Solicitor General for Scotland,Duncan McNeill,position,1834,1835,"https://en.wikipedia.org/wiki/Duncan_McNeill,_1st_Baron_Colonsay"
,Solicitor General for Scotland,John Cunninghame,position,1835,1837,"https://en.wikipedia.org/wiki/John_Cunninghame,_Lord_Cunninghame"
,Solicitor General for Scotland,Andrew Rutherford,position,1837,1839,"https://en.wikipedia.org/wiki/Andrew_Rutherfurd,_Lord_Rutherfurd"
,Solicitor General for Scotland,James Ivory,position,1839,1840,"https://en.wikipedia.org/wiki/James_Ivory,_Lord_Ivory"
3845,Solicitor General for Scotland,Thomas Maitland,position,1840,1841,"https://en.wikipedia.org/wiki/Thomas_Maitland,_Lord_Dundrennan"
3814,Solicitor General for Scotland,Duncan McNeill,position,1841,1842,"https://en.wikipedia.org/wiki/Duncan_McNeill,_1st_Baron_Colonsay"
,Solicitor General for Scotland,Adam Anderson,position,1842,1846,"https://en.wikipedia.org/wiki/Adam_Anderson,_Lord_Anderson"
3845,Solicitor General for Scotland,Thomas Maitland,position,1846,1850,"https://en.wikipedia.org/wiki/Thomas_Maitland,_Lord_Dundrennan"
4120,Solicitor General for Scotland,James Moncreiff,position,1850,1851,"https://en.wikipedia.org/wiki/James_Moncreiff,_1st_Baron_Moncreiff"
,Solicitor General for Scotland,John Cowan,position,1851,1851,"https://en.wikipedia.org/wiki/John_Cowan,_Lord_Cowan"
,Solicitor General for Scotland,George Deas,position,1851,1852,"https://en.wikipedia.org/wiki/George_Deas,_Lord_Deas"
4585,Solicitor General for Scotland,John Inglis,position,1852,1852,"https://en.wikipedia.org/wiki/John_Inglis,_Lord_Glencorse"
