corresponding_ID,alias_name,real_name,start,end,extra,links
,solicitor general for ireland,William Cusack-Smith ,1800/12/06,1801/12/17,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
,solicitor general for ireland,James McClelland ,1801/12/17,1803/10/22,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
1757,solicitor general for ireland,William Conyngham Plunket,1803/10/22,1805/10/15,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
,solicitor general for ireland,Charles Kendal Bushe ,1805/10/15,1822/02/14,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
,solicitor general for ireland,Henry Joy ,1822/02/20,1827/06/18,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
2350,solicitor general for ireland,John Doherty ,1827/06/18,1830/12/23,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
2720,solicitor general for ireland,Philip Cecil Crampton ,1830/12/23,1834/10/21,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
3326,solicitor general for ireland,Michael O'Loghlen ,1834/10/21,1835/01/27,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
,solicitor general for ireland,Edward Pennefather ,1835/01/27,1835/04/29,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
3326,solicitor general for ireland,Michael O'Loghlen ,1835/04/29,1835/09/21,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
,solicitor general for ireland,John Richards ,1835/09/21,1836/11/10,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
3426,solicitor general for ireland,Stephen Woulfe ,1836/11/10,1837/02/03,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
,solicitor general for ireland,Maziere Brady ,1837/02/03,1839/02/01,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
3594,solicitor general for ireland,David Richard Pigot ,1839/02/11,1840/08/14,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
,solicitor general for ireland,Richard Moore ,1840/08/14,1841/09/21,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
,solicitor general for ireland,Edward Pennefather  ,1841/09/21,1841/11/10,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
3285,solicitor general for ireland,Joseph Devonsher Jackson ,1841/11/10,1842/09/09,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
3805,solicitor general for ireland,Thomas Berry Cusack-Smithv,1842/09/21,1842/11/01,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
,solicitor general for ireland,Richard Wilson Greene ,1842/11/01,1846/02/02,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
,solicitor general for ireland,Abraham Brewster ,1846/02/02,1846/06/01,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
3881,solicitor general for ireland,James Henry Monahan ,1846/07/16,1847/12/24,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
4097,solicitor general for ireland,John Hatchell ,1847/12/24,1850/09/23,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
4407,solicitor general for ireland,Henry George Hughes ,1850/09/26,1852/02/01,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
4119,solicitor general for ireland,James Whiteside ,1852/02/01,1852/12/01,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
3892,solicitor general for ireland,William Keogh ,1853/04/01,1855/03/01,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
2491,solicitor general for ireland,John FitzGerald ,1855/03/01,1856/03/01,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
,solicitor general for ireland,Jonathan Christian,1856/03/01,1858/02/01,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
4407,solicitor general for ireland,Henry George Hughes ,1858/02/01,1858,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
,solicitor general for ireland,Edmund Hayes,1858,1859/06/01,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
4313,solicitor general for ireland,John George,1859/06/01,1859,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
4385,solicitor general for ireland,Rickard Deasy,1859,1860/02/01,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
4772,solicitor general for ireland,Thomas O'Hagan,1860/02/01,1861,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
4915,solicitor general for ireland,James Anthony Lawson,1861,1865,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
4898,solicitor general for ireland,Edward Sullivan,1865,1866/06/01,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
4861,solicitor general for ireland,Michael Morris ,1866/08/03,1866/11/01,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
5009,solicitor general for ireland,Hedges Eyre Chatterton ,1866/11/08,1867,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
5020,solicitor general for ireland,Robert Richard Warren,1867,1867,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
,solicitor general for ireland,Michael Harrison,1867,1868,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
5095,solicitor general for ireland,John Thomas Ball,1868,1868,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
,solicitor general for ireland,Henry Wilmot Ormsby,1868,1868,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
4850,solicitor general for ireland,Charles Robert Barry ,1868/12/12,1870/01/26,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
5151,solicitor general for ireland,Richard Dowse,1870/02/14,1872/01/13,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
,solicitor general for ireland,Christopher Palles,1872/02/06,1872/11/05,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
5435,solicitor general for ireland,Hugh Law,1872/11/18,1874/02/01,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
,solicitor general for ireland,Henry Wilmot Ormsby,1874/03/12,1875/01/21,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
5262,solicitor general for ireland,David Robert Plunket,1875/01/29,1905/02/19,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
,solicitor general for ireland,Gerald FitzGibbon,1877/03/03,1905/02/20,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
5917,solicitor general for ireland,Hugh Holmes ,1878/12/14,1880/04/01,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
5729,solicitor general for ireland,William Moore Johnson ,1880/05/24,1881/11/17,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
5857,solicitor general for ireland,Andrew Marshall Porter,1881/11/18,1883/01/03,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
,solicitor general for ireland,John Naish,1883/01/09,1883/12/19,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
5890,solicitor general for ireland,Samuel Walker,1883/12/19,1905/02/27,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
,solicitor general for ireland,Hugh Hyacinth O'Rorke MacDermot,1905/02/27,1885/06/01,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
,solicitor general for ireland,John Monroe ,1885/07/03,1885/11/01,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
6092,solicitor general for ireland,John George Gibson,1905/02/27,1886/01/01,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
,solicitor general for ireland,Hugh Hyacinth O'Rorke MacDermot,1886/02/01,1886/07/01,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
6092,solicitor general for ireland,John George Gibson,1886/08/01,1905/03/01,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
7174,solicitor general for ireland,Peter O'Brien,1905/03/01,1905/03/02,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
6354,solicitor general for ireland,Dodgson Hamilton Madden,1905/03/02,1905/03/04,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
7206,solicitor general for ireland,John Atkinson,1905/03/04,1905/03/06,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
7486,solicitor general for ireland,Edward Henry Carson,1892/06/01,1892/08/01,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
7222,solicitor general for ireland,Charles Hare Hemphill,1892/08/01,1905/03/09,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
7563,solicitor general for ireland,William Kenny ,1895/08/28,1905/03/12,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
7523,solicitor general for ireland,Dunbar Plunket Barton,1905/03/12,1905/03/14,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
,solicitor general for ireland,George Wright,1905/03/14,1905/03/17,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
7485,solicitor general for ireland,James Henry Mussen Campbell,1903/07/08,1905/03/19,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
7278,solicitor general for ireland,Redmond John Barry,1905/12/20,1909/12/02,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
,solicitor general for ireland,Charles Andrew O'Connor,1909/12/02,1911/09/26,,https://en.wikipedia.org/wiki/Solicitor-General_for_Ireland
