corresponding_id,alias,real_name,alias_type,start,end,link
1198,Treasurer of the Household,James George Stopford,position,1793,1806,"https://en.wikipedia.org/wiki/James_Stopford,_3rd_Earl_of_Courtown"
1216,Treasurer of the Household,Charles Augustus Bennet,position,1806,1807,"https://en.wikipedia.org/wiki/Charles_Bennet,_5th_Earl_of_Tankerville"
1198,Treasurer of the Household,James George Stopford,position,1807,1812,
1439,Treasurer of the Household,Robert Jocelyn,position,1812,1812,"https://en.wikipedia.org/wiki/Robert_Jocelyn,_3rd_Earl_of_Roden"
1524,Treasurer of the Household,William Charles Augustus Cavendish-Bentinck,position,1812,1826,https://en.wikipedia.org/wiki/Lord_Charles_Bentinck
1315,Treasurer of the Household,William Henry Fremantle,position,1826,1837,https://en.wikipedia.org/wiki/William_Fremantle_(politician)
,Treasurer of the Household,Henry Charles Howard,position,1837,1841,"https://en.wikipedia.org/wiki/Henry_Howard,_13th_Duke_of_Norfolk"
2726,Treasurer of the Household,George Stevens Byng,position,1841,1841,"https://en.wikipedia.org/wiki/George_Byng,_2nd_Earl_of_Strafford"
2889,Treasurer of the Household,Frederick William Hervey,position,1841,1846,"https://en.wikipedia.org/wiki/Frederick_Hervey,_2nd_Marquess_of_Bristol"
2322,Treasurer of the Household,Robert Grosvenor,position,1846,1847,"https://en.wikipedia.org/wiki/Robert_Grosvenor,_1st_Baron_Ebury"
,Treasurer of the Household,Arthur Marcus Cecil Sandys,position,1847,1852,"https://en.wikipedia.org/wiki/Marcus_Sandys,_3rd_Baron_Sandys"
3404,Treasurer of the Household,Claud Hamilton,position,1852,1852,https://en.wikipedia.org/wiki/Lord_Claud_Hamilton_(1813%E2%80%931884)
4017,Treasurer of the Household,George Augustus Constantine Phipps,position,1853,1858,"https://en.wikipedia.org/wiki/George_Phipps,_2nd_Marquess_of_Normanby"
3404,Treasurer of the Household,Claud Hamilton,position,1858,1859,
4265,Treasurer of the Household,William Coutts Keppel,position,1859,1866,"https://en.wikipedia.org/wiki/William_Keppel,_7th_Earl_of_Albemarle"
4878,Treasurer of the Household,Otho Augustus FitzGerald,position,1866,1866,https://en.wikipedia.org/wiki/Lord_Otho_FitzGerald
,Treasurer of the Household,William Alleyne Cecil,position,1866,1867,"https://en.wikipedia.org/wiki/William_Cecil,_3rd_Marquess_of_Exeter"
4348,Treasurer of the Household,Percy Egerton Herbert,position,1867,1868,https://en.wikipedia.org/wiki/Percy_Egerton_Herbert
,Treasurer of the Household,George Fleming Warren,position,1868,1872,"https://en.wikipedia.org/wiki/George_Warren,_2nd_Baron_de_Tabley"
,Treasurer of the Household,Augustus Frederick George Warwick Bampfylde,position,1872,1874,"https://en.wikipedia.org/wiki/Augustus_Bampfylde,_2nd_Baron_Poltimore"
4591,Treasurer of the Household,William John Monson,position,1874,1874,"https://en.wikipedia.org/wiki/William_Monson,_1st_Viscount_Oxenbridge"
5169,Treasurer of the Household,Henry George Percy,position,1874,1875,"https://en.wikipedia.org/wiki/Henry_Percy,_7th_Duke_of_Northumberland"
4690,Treasurer of the Household,Henry Frederick Thynne,position,1875,1880,https://en.wikipedia.org/wiki/Lord_Henry_Thynne
6952,Treasurer of the Household,Gavin Campbell,position,1880,1885,"https://en.wikipedia.org/wiki/Gavin_Campbell,_1st_Marquess_of_Breadalbane"
5499,Treasurer of the Household,William Pleydell-Bouverie,position,1885,1886,"https://en.wikipedia.org/wiki/William_Pleydell-Bouverie,_5th_Earl_of_Radnor"
6881,Treasurer of the Household,Victor Alexander Bruce,position,1886,1886,"https://en.wikipedia.org/wiki/Victor_Bruce,_9th_Earl_of_Elgin"
5499,Treasurer of the Household,William Pleydell-Bouverie,position,1886,1891,
6367,Treasurer of the Household,Walter Charles Gordon-Lennox,position,1891,1892,https://en.wikipedia.org/wiki/Lord_Walter_Gordon-Lennox
7060,Treasurer of the Household,Edwyn Francis Scudamore-Stanhope,position,1892,1894,"https://en.wikipedia.org/wiki/Edwyn_Scudamore-Stanhope,_10th_Earl_of_Chesterfield"
6429,Treasurer of the Household,Arthur George Brand,position,1894,1895,https://en.wikipedia.org/wiki/Arthur_Brand
6357,Treasurer of the Household,George Godolphin Osborne,position,1895,1896,"https://en.wikipedia.org/wiki/George_Osborne,_10th_Duke_of_Leeds"
6223,Treasurer of the Household,Richard George Penn Curzon,position,1896,1900,"https://en.wikipedia.org/wiki/Richard_Curzon,_4th_Earl_Howe"
6427,Treasurer of the Household,Victor Christian William Cavendish,position,1900,1903,"https://en.wikipedia.org/wiki/Victor_Cavendish,_9th_Duke_of_Devonshire"
7314,Treasurer of the Household,James Albert Edward Hamilton,position,1903,1905,"https://en.wikipedia.org/wiki/James_Hamilton,_3rd_Duke_of_Abercorn"
7657,Treasurer of the Household,Edward Strachey,position,1905,1909,"https://en.wikipedia.org/wiki/Edward_Strachey,_1st_Baron_Strachie"
