corresponding_id,alias,real_name,alias_type,start,end,extra
,Bishop of Exeter,Henry Reginald Courtenay,ordinary,1797,1803,
,Bishop of Exeter,John Fisher,ordinary,1803,1807,
,Bishop of Exeter,George Pelham,ordinary,1807,1820,
,Bishop of Exeter,William Carey,ordinary,1820,1830,
,Bishop of Exeter,Christopher Bethell,ordinary,1830,1830,
,Bishop of Exeter,Henry Phillpotts,ordinary,1831,1869,
,Bishop of Exeter,Frederick Temple,ordinary,1869,1885,
,Bishop of Exeter,Edward Henry Bickersteth,ordinary,1885,1900,
,Bishop of Exeter,Herbert Edward Ryle,ordinary,1901,1903,
,Bishop of Exeter,Archibald Robertson,ordinary,1903,1916,
