non_mps
Archbishop of Dublin
Archbishop of York
Bishop of Exeter
Bishop of Limerick
Bishop of Lincoln
Bishop of London
Bishop of Oxford
Bishop of St Davids
Bishop of Winchester
A Right Rev. Prelate
Robert Fowler
Charles Agar
Euseby Cleaver
John George de la Poer Beresford
William Magee
Richard Whately
Richard Chenevix Trench
William Conyngham Plunket
Joseph Ferguson Peacocke
William Markham
Edward Venables-Vernon-Harcourt
Thomas Musgrave
Charles Longley
William Thomson
William Connor Magee
William Dalrymple Maclagan
William Cosmo Gordon Lang
Henry Reginald Courtenay
John Fisher
George Pelham
William Carey
Christopher Bethell
Henry Phillpotts
Frederick Temple
Edward Henry Bickersteth
Herbert Edward Ryle
Archibald Robertson
John Young
Charles Tuohy
John Ryan
George Butler
Edward Thomas O'Dwyer
George Pretyman Tomline
John Kaye
John Jackson
Christopher Wordsworth
Edward King
Beilby Porteus
John Randolph
William Howley
Charles James Blomfield
Archibald Campbell Tait
Mandell Creighton
Arthur Foley Winnington-Ingram
Charles Moss
William Jackson
Edward Legge
Charles Lloyd
Richard Bagot
Samuel Wilburforce
John Mackarness
William Stubbs
William Stuart
George Murray
Thomas Burgess
John Banks Jenkinson
Connop Thirlwall
William Basil Jones
John Owen
Brownlow North
Charles Richard Sumner
Samuel Wilberforce
Edward harold Browne
Anthony Wilson Thorold
Randall Thomas Davidson
