office_id,corresponding_id,official_post,real_name,honorary_title,party,started_service,ended_service,editing_issues,details,links
61,1119,attorney general for ireland,John Stewart,N/A,Conservative,1800/12/09,1803/05/28,,,"https://en.wikipedia.org/wiki/Sir_John_Stewart,_1st_Baronet,_of_Athenree"
61,,attorney general for ireland,Standish O'Grady,Viscount Guillamore,N/A,1803/05/28,1805/10/15,,,"https://en.wikipedia.org/wiki/Standish_O%27Grady,_1st_Viscount_Guillamore"
61,1757,attorney general for ireland,William Conyngham Plunket,The Lord Plunket,Whig,1805/10/15,1807/05/15,,,"https://en.wikipedia.org/wiki/William_Plunket,_1st_Baron_Plunket"
61,,attorney general for ireland,William Saurin,N/A,N/A,1807/05/15,1822/01/15,,,https://en.wikipedia.org/wiki/William_Saurin
61,1757,attorney general for ireland,William Conyngham Plunket,The Lord Plunket,Whig,1822/01/15,1827/06/18,,,"https://en.wikipedia.org/wiki/William_Plunket,_1st_Baron_Plunket"
61,,attorney general for ireland,Henry Joy,N/A,N/A,1827/06/18,1830/12/23,,,https://en.wikipedia.org/wiki/Henry_Joy_(judge)
61,,attorney general for ireland,Edward Pennefather,N/A,N/A,1830/12/23,1831/01/11,,,https://en.wikipedia.org/wiki/Edward_Pennefather
61,,attorney general for ireland,Francis Blackburne,The Right Honourable ,Tory,1831/01/11,1834/11/17,,,https://en.wikipedia.org/wiki/Francis_Blackburne
61,2765,attorney general for ireland,Louis Perrin,N/A,Whig,1835/04/29,1835/08/31,,,https://en.wikipedia.org/wiki/Louis_Perrin
61,3326,attorney general for ireland,Michael O'Loghlen,N/A,N/A,1835/08/31,1836/11/10,,,https://en.wikipedia.org/wiki/Michael_O%27Loghlen
61,,attorney general for ireland,John Richards,N/A,N/A,1836/11/10,1837/02/03,,,https://en.wikipedia.org/wiki/John_Richards_(Attorney_General)
61,3426,attorney general for ireland,Stephen Woulfe,N/A,Whig,1837/02/03,1838/07/11,,,https://en.wikipedia.org/wiki/Stephen_Woulfe
61,3429,attorney general for ireland,Nicholas Ball,N/A,Liberal,1838/07/11,1839/02/23,,,https://en.wikipedia.org/wiki/Nicholas_Ball_(lawyer)
61,,attorney general for ireland,Maziere Brady,N/A,Liberal,1839/02/23,1840/08/11,,,https://en.wikipedia.org/wiki/Maziere_Brady
61,3594,attorney general for ireland,David Richard Pigot,N/A,N/A,1840/08/11,1841/09/23,,,https://en.wikipedia.org/wiki/David_Richard_Pigot
61,,attorney general for ireland,Francis Blackburne,The Right Honourable ,Tory,1841/09/23,1842/11/01,,,https://en.wikipedia.org/wiki/Francis_Blackburne
61,3805,attorney general for ireland,Thomas Berry Cusack Smith,N/A,Conservative,1842/11/01,1846/02/02,," nicknamed ""TBC Smith"" or ""Alphabet Smith""",https://en.wikipedia.org/wiki/Thomas_Cusack-Smith
61,,attorney general for ireland,Richard Wilson Greene,N/A,N/A,1846/02/02,1846/07/16,,,https://en.wikipedia.org/wiki/Richard_Wilson_Greene
61,,attorney general for ireland,Richard Moore,N/A,Liberal,1846/07/16,1847/12/21,,,https://en.wikipedia.org/wiki/Richard_Moore_(Irish_lawyer)
61,3881,attorney general for ireland,James Henry Monahan,N/A,N/A,1847/12/21,1850/09/23,,,https://en.wikipedia.org/wiki/James_Henry_Monahan
61,4097,attorney general for ireland,John Hatchell,N/A,N/A,1850/09/23,1852/02/01,,,https://en.wikipedia.org/wiki/John_Hatchell
61,4063,attorney general for ireland,Joseph Napier,N/A,Conservative,1852/02/01,1853/04/01,,,"https://en.wikipedia.org/wiki/Sir_Joseph_Napier,_1st_Baronet"
61,,attorney general for ireland,Abraham Brewster,The Right Honorable,N/A,1853/04/01,1855/03/01,,,https://en.wikipedia.org/wiki/Abraham_Brewster
61,3892,attorney general for ireland,William Nicholas Keogh,N/A,N/A,1855/03/01,1856/03/01,,,https://en.wikipedia.org/wiki/William_Keogh
61,4194,attorney general for ireland,John David Fitzgerald,N/A,Liberal,1856/03/01,1858/02/01,,,"https://en.wikipedia.org/wiki/John_FitzGerald,_Baron_FitzGerald"
61,4119,attorney general for ireland,James Whiteside,N/A,Conservative,1858/02/01,1859/06/01,,,https://en.wikipedia.org/wiki/James_Whiteside
61,4194,attorney general for ireland,John David Fitzgerald,N/A,Liberal,1859/06/01,1860/02/01,,,"https://en.wikipedia.org/wiki/John_FitzGerald,_Baron_FitzGerald"
61,4385,attorney general for ireland,Rickard Deasy,N/A,N/A,1860/02/01,1861,,,https://en.wikipedia.org/wiki/Rickard_Deasy
61,4772,attorney general for ireland,Thomas O'Hagan,The Lord O'Hagan,Liberal,1861,1865,,,"https://en.wikipedia.org/wiki/Thomas_O%27Hagan,_1st_Baron_O%27Hagan"
61,4915,attorney general for ireland,James Anthony Lawson,N/A,N/A,1865,1866/07/25,,,https://en.wikipedia.org/wiki/James_Anthony_Lawson
61,4993,attorney general for ireland,John Edward Walsh,N/A,Conservative,1866/07/25,1866/11/01,,,https://en.wikipedia.org/wiki/John_Edward_Walsh
61,4861,attorney general for ireland,Michael Morris,The Lord Morris,Conservative,1866/11/01,1867,,,"https://en.wikipedia.org/wiki/Michael_Morris,_Baron_Morris"
61,5009,attorney general for ireland,Hedges Eyre Chatterton,N/A,Conservative,1867,1867,,,https://en.wikipedia.org/wiki/Hedges_Eyre_Chatterton
61,5020,attorney general for ireland,Robert Richard Warren,N/A,Conservative,1867,1868,,,https://en.wikipedia.org/wiki/Robert_Warren_(Irish_politician)
61,5095,attorney general for ireland,John Thomas Ball,N/A,Conservative,1868,1868/12/12,,,https://en.wikipedia.org/wiki/John_Thomas_Ball
61,4898,attorney general for ireland,Edward Sullivan,N/A,Liberal,1868/12/12,1870/01/26,,,"https://en.wikipedia.org/wiki/Sir_Edward_Sullivan,_1st_Baronet"
61,4850,attorney general for ireland,Charles Robert Barry,N/A,N/A,1870/01/26,1872/01/13,,,https://en.wikipedia.org/wiki/Charles_Robert_Barry
61,5151,attorney general for ireland,Richard Dowse,N/A,Liberal,1872/01/13,1872/11/05,,,https://en.wikipedia.org/wiki/Richard_Dowse
61,,attorney general for ireland,Christopher Palles,N/A,N/A,1872/11/05,1873,,,https://en.wikipedia.org/wiki/Christopher_Palles
61,5435,attorney general for ireland,Hugh Law,N/A,Liberal,1873,1874/03/12,,,https://en.wikipedia.org/wiki/Hugh_Law
61,5095,attorney general for ireland,John Thomas Ball,N/A,Conservative,1874/03/12,1875/01/21,,,https://en.wikipedia.org/wiki/John_Thomas_Ball
61,,attorney general for ireland,Henry Wilmot Ormsby,N/A,N/A,1875/01/21,1875/11/27,,,https://en.wikipedia.org/wiki/Henry_Ormsby
61,,attorney general for ireland,George Augustus Chichester May,N/A,N/A,1875/11/27,1877/02/15,,,https://en.wikipedia.org/wiki/George_Augustus_Chichester_May
61,5537,attorney general for ireland,Edward Gibson,The Lord Ashbourne,Conservative,1877/02/15,1880/05/10,,,"https://en.wikipedia.org/wiki/Edward_Gibson,_1st_Baron_Ashbourne"
61,5435,attorney general for ireland,Hugh Law,N/A,Liberal,1880/05/10,1881/11/17,,,https://en.wikipedia.org/wiki/Hugh_Law
61,5729,attorney general for ireland,William Moore Johnson,N/A,Liberal,1881/11/17,1883/01/03,,"nicknamed ""Wooden-headed Billy""",https://en.wikipedia.org/wiki/William_Moore_Johnson
