office_id,official_post,corresponding_id,real_name,honorary_title,party,started_service,ended_service,extra details,link
11,Secretary for Ireland,1284,Robert Stewart,Viscount Castlereagh,Tory,1798/06/14,1801/04/27,Instrumental in Irish Act of Union,"https://en.wikipedia.org/wiki/Robert_Stewart,_Viscount_Castlereagh"
11,Secretary for Ireland,1168,Charles Abbot,N/A,Tory,1801,1802,Speaker of House of Commons 1802/02/10 - 1817/06/02,"https://en.wikipedia.org/wiki/Charles_Abbot,_1st_Baron_Colchester"
11,Secretary for Ireland,698,William Wickham,N/A,Tory,1802,1804,MP for Cashel,https://en.wikipedia.org/wiki/William_Wickham_(1761%E2%80%931840)
11,Secretary for Ireland,661,Evan Nepean,N/A,Tory,1804,1805,MP for Bridport; Baronet,https://en.wikipedia.org/wiki/Evan_Nepean
11,Secretary for Ireland,989,Nicholas Vansittart,N/A,Tory,1805,1805,MP for Old Sarum,"https://en.wikipedia.org/wiki/Nicholas_Vansittart,_1st_Baron_Bexley"
11,Secretary for Ireland,1132,Charles Long,N/A,Tory,1805,1806,MP for Wendover,"https://en.wikipedia.org/wiki/Charles_Long,_1st_Baron_Farnborough"
11,Secretary for Ireland,1007,William Elliot,N/A,Whig,1806/03/28,1807,MP for Peterborough,https://en.wikipedia.org/wiki/William_Elliot_(Irish_politician)
11,Secretary for Ireland,1299,Arthur Wellesley,N/A,Tory,1807,1809,"MP for Tralee, Mitchell, Newport","https://en.wikipedia.org/wiki/Arthur_Wellesley,_1st_Duke_of_Wellington"
11,Secretary for Ireland,782,Robert Dundas,N/A,Tory,1809,1809,MP for Midlothian,"https://en.wikipedia.org/wiki/Robert_Dundas,_2nd_Viscount_Melville"
11,Secretary for Ireland,1023,William Wellesley-Pole,N/A,Tory,1809,1812,MP for Queen's County,"https://en.wikipedia.org/wiki/William_Wellesley-Pole,_3rd_Earl_of_Mornington"
11,Secretary for Ireland,1664,Robert Peel,N/A,Tory,1812/08,1818/08,"MP for Chippenham, Oxford University",https://en.wikipedia.org/wiki/Robert_Peel
11,Secretary for Ireland,1707,Charles Grant,N/A,Tory,1818,1821,MP for Inverness-shire,"https://en.wikipedia.org/wiki/Charles_Grant,_1st_Baron_Glenelg"
11,Secretary for Ireland,1824,Henry Goulburn,N/A,Tory,1821,1827/04,"MP for West Looe, Armagh City",https://en.wikipedia.org/wiki/Henry_Goulburn
11,Secretary for Ireland,1285,Henry William Lamb,N/A,Whig,1827/04/29,1828/06/21,MP for Bletchingley,"https://en.wikipedia.org/wiki/William_Lamb,_2nd_Viscount_Melbourne"
11,Secretary for Ireland,2317,Francis Leveson-Gower,N/A,Tory,1828/06/21,1830/07/30,MP for Sutherland; Francis Egerton after 1833,"https://en.wikipedia.org/wiki/Francis_Egerton,_1st_Earl_of_Ellesmere"
11,Secretary for Ireland,2213,Henry Hardinge,N/A,Tory,1830/07/30,1830/11/15,MP for St Germans,"https://en.wikipedia.org/wiki/Henry_Hardinge,_1st_Viscount_Hardinge"
11,Secretary for Ireland,2326,Edward George Geoffrey Smith-Stanley,N/A,Whig,1830/11/29,1833/03/29,"MP for Windsor, North Lancashire","https://en.wikipedia.org/wiki/Edward_Smith-Stanley,_14th_Earl_of_Derby"
11,Secretary for Ireland,3229,John Cam Hobhouse,N/A,Whig,1833/03/29,1833/05,MP for Westminster; Baronet,"https://en.wikipedia.org/wiki/John_Hobhouse,_1st_Baron_Broughton"
11,Secretary for Ireland,1727,Edward John Littleton,N/A,Whig,1833/05,1834/11/14,MP for South Staffordshire,"https://en.wikipedia.org/wiki/Edward_Littleton,_1st_Baron_Hatherton"
11,Secretary for Ireland,2213,Henry Hardinge,N/A,Conservative,1834/12/16,1835/04/08,MP for Launceston,"https://en.wikipedia.org/wiki/Henry_Hardinge,_1st_Viscount_Hardinge"
11,Secretary for Ireland,2466,George William Frederick Howard,Viscount Morpeth,Whig,1835/04/22,1841/08/30,MP for West Riding of Yorkshire,"https://en.wikipedia.org/wiki/George_Howard,_7th_Earl_of_Carlisle"
