oh_id,member_id,office_id,start_date,end_date,in_cabinet,estimated_end_date,estimated_start_date
7924,1234,1,1830-11-22,1834-12-29,0,1,0
7926,2286,30,1834-01-01,1834-12-29,0,1,1
7927,2286,1,1835-04-18,1839-08-26,1,0,0
7928,3134,41,1830-08-09,1833-12-31,0,1,1
7929,3134,1,1839-08-26,1841-08-30,1,0,0
7930,3134,33,1849-01-15,1852-02-21,1,0,0
7931,1824,13,1834-01-01,1835-12-31,0,1,1
7932,1824,1,1841-09-04,1846-06-29,1,0,0
7933,2432,7,1832-01-01,1834-12-31,0,1,1
7934,2432,34,1835-04-27,1839-10-04,0,0,0
7935,2432,1,1846-07-06,1852-02-21,1,0,0
7936,2432,35,1852-12-30,1855-03-03,1,0,0
7937,2432,33,1855-03-13,1858-02-21,1,0,0
7938,2432,36,1859-06-18,1866-02-16,1,0,0
7939,2432,37,1870-07-06,1874-02-17,1,0,0
7940,3104,1,1873-08-11,1874-02-17,1,0,0
7941,3104,2,1880-04-23,1885-06-09,1,0,0
7942,3104,2,1868-12-03,1874-02-17,1,0,0
7943,3104,1,1852-12-30,1855-02-28,1,0,0
7944,3104,2,1892-08-15,1894-03-02,1,0,0
7945,3104,57,1834-01-01,1834-12-31,0,1,1
7946,3104,13,1835-01-01,1835-12-31,0,1,1
7947,3104,9,1841-09-03,1843-06-10,0,0,0
7948,3104,20,1845-01-01,1846-12-31,0,1,1
7949,3104,6,1843-05-15,1845-02-05,1,0,0
7950,3104,1,1859-06-18,1866-06-26,1,0,0
7951,3523,1,1866-07-06,1868-02-29,1,0,0
7952,3523,2,1868-02-27,1868-12-01,1,0,0
7953,3523,2,1874-02-20,1880-04-21,1,0,0
7954,3523,1,1852-02-27,1852-12-17,1,0,0
7955,3523,1,1858-02-26,1859-06-11,1,0,0
7956,3948,17,1847-01-01,1848-12-31,0,1,1
7957,3948,13,1848-01-01,1850-12-31,0,1,1
7958,3948,1,1855-02-28,1858-02-21,1,0,0
7959,3948,19,1859-04-28,1861-12-31,0,1,1
7960,4218,17,1852-01-01,1855-12-31,0,1,1
7961,4218,9,1855-01-01,1855-03-31,0,0,1
7962,4218,47,1859-04-28,1864-12-31,0,1,1
7963,4218,1,1868-12-09,1873-08-11,1,0,0
7964,4218,19,1873-01-01,1874-01-26,0,1,1
7965,4580,80,1866-01-01,1868-12-31,0,1,1
7966,4580,1,1868-02-29,1868-12-01,1,0,0
7967,4580,33,1874-01-31,1874-01-26,0,1,1
7968,4380,6,1866-07-06,1867-03-08,1,0,0
7969,4380,36,1867-03-08,1868-12-01,1,0,0
7970,4380,1,1874-02-21,1880-04-21,1,0,0
7971,4380,59,1885-06-24,1886-01-28,1,0,0
7973,4705,10,1864-01-01,1865-12-31,0,1,1
7974,4705,66,1865-08-19,1866-06-26,0,0,0
7975,4705,33,1868-12-09,1871-03-24,1,0,0
7976,4705,39,1872-08-09,1873-09-30,1,0,0
7977,4705,1,1882-12-16,1885-06-09,1,0,0
7978,4705,19,1886-07-01,1886-12-31,0,1,1
