misspelled_name	correct_name
Mr. Nicltolas Vansittart	Mr. Nicholas Vansittart
The whole of Mr. Vansittart's	Mr. Vansittart
SIR WILLTAM HARCOURT	SIR WILLLIAM HARCOURT
SIR WILLIAM HARCOURTM	SIR WILLLIAM HARCOURT
SRI WILLIAM HARCOURT	SIR WILLLIAM HARCOURT
SIR WILLIAM HARCOURT )	SIR WILLLIAM HARCOURT
SIR WILLIAM HARCOURT ()	SIR WILLLIAM HARCOURT
SIR WILLIAM HARCOURT ( )	SIR WILLLIAM HARCOURT
Ma. LLOYD - GEORGE	Mr. LLOYD-GEORGE
(Answered by Mr. Lloyd-George. )	Mr. LLOYD-GEORGE
The Hon. F. Robinson	F. Robinson
The Hon. Frederick Robinson	Frederick Robinson
By Mr. Robinson.	Mr. Robinson
By Mr. Robinson.	Mr. Robinson
Mr. Herries explained,	Mr. Herries
Mr. Goulbum	Mr. Goulburn
Mr. Goulbum	Mr. Goulburn
Mr. Goulbourne	Mr. Goulburn
LOUD DENMAN (who had some difficulty in obtaining a hearing)	Lord Denman
LORD DENMAN (who was very imperfectly heard)	Lord Denman
Lord Denman (the Speaker)	Lord Denman
LORD DENMAN (not having heard the speech of the noble Marquess)	Lord Denman
Fraticis Baring	Francis Baring
DR. RUTHERFOORD-HARRIS	MR. RUTHERFORD-HARRIS
DR. RUTHERFOORD-HARRIS	MR. RUTHERFORD-HARRIS
