INCORRECT,CORRECT
CLNINGHAME GRAHAM,CUNNINGHAME GRAHAM
COUETENAY WAENEE,COURTENAY AVENUE
DISKAELI,DISRAELLI
DR.EARQUHARSON,DR. FARQUHARSON
EARL BEATJCHAMP,EARL BEAUCHAMP
LORD HERSGHELL,LORD HERSCHEL
SIR CHAELE8 W. DILKE,SIR CHARLES W. DILKE
VVASON,WASON
CATAIAN. BETHFLL,CAPTAIN BETHELL
CCNINGHAME GRAHAM,Cunninghame Graham
CHICLTESTER FORTESCUE,CHICHESTER FORTESCUE
Clninghame Graham,Cunninghame Graham
Colonel Vercker,Colonel Parker
COUETENAY WAENEE,Courtenay Wayne
DR.EARQUHARSON,DR. FARQUHARSON
EARL BEATJCHAMP,Earl Beauchamp
Earl Conyngham,Earl Cunningham
Earl Of Malmesbtjry,Earl of Malmesbury
FER-GUSSOX,FERGUSSON
H.C RICHAKDS,H. C. Richards
HIE BXCHEQUER ,THE EXCHEQUER 
HIE BXCHEQUER (the Exch…),THE EXCHEQUER
IHE TREASURY (change to The Treasury),THE TREASURY 
J. POWELL - WILLIAMS,J.Powell-Williams
KNATCHBITLL-HUGESSEN,KNATCHBULL-HUGESSEN
Knatchboll-hu-gessen,Knatchbull-Hugessen
Lord Casdereagh,Lord Castlereagh
Lord Elph1nston,Lord Elphinstone
LORD or THE (lord of the),LORD OF THE 
MACLIVEE,MACFIE
Mr. Abereromby,Mr. Abercrombie
MR. B. SAMTTELSON,MR. B. SAMUELSON
MR. BRADLAITGH,MR. BRADLAUGH
Mr. Brougkam.,Mr.Brougham
Mr. Btoughtam.,Mr. Brougham
Mr. Btoughtam.,Mr. Brougham
Mr. Buttertvorth,Mr. Butterworth
MR. CCNINGHAME GRAHAM,MR. CUNNINGHAME GRAHAM
MR. CDNINGHAME GRAHAM,MR. CUNNINGHAME GRAHAM
MR. CLNLNGHAME GRAHAM,MR. CUNNINGHAME GRAHAM
MR. COLLLNTGS,MR. COLLINGS
Mr. Conusgham,Mr. Cunningham
MR. CUNENGHAME GRAHAM,MR. CUNNINGHAME GRAHAM
MR. CUNLNGHAME GRAHAM,MR. CUNNINGHAME GRAHAM
MR. CUNUSTGHAME GRAHAM,MR. CUNNINGHAME GRAHAM
MR. DISKAELI (disraeli ??),MR. DISRAELI
Mr. G. Jahnstone,Mr. G. Johnson 
MR. HBADLAM,MR. BEDLAM
MR. KNATCHBOLL-HU-GESSEN,MR. KNATCHBULL-HUGESSEN
Mr. Marrryatt,Mr. Marriott
Mr. Nicltolas Vansittart,Mr. Nicholas Vansittart
MR. O'KFEFFE,MR. O'KEEFE
MR. SYDNEY GBDGE,MR. SYDNEY BRIDGE
MR. T. M.'HEALY,MR. TIM HEALY
MR. TCITE,MR. SITE
MR. W. E. FOPSTER,MR. W. FORSTER
SECRETARY OF STATE FOE INULA,SECRETARY OF STATE FOR INDIA
SECRETARY OF STATE FOII WAR,SECRETARY OF STATE FOR WAR
SIR BALDWYNLEIGHTON,SIR BALDWIN LEIGHTON
SIR CHAELE8 W. DILKE,SIR CHARLES W. DILKE
Sir Chaele8 W. Dilke,Sir. Charles W. Dilke
Sir F. Burdctt ,Sir F. Burdell
Sir F. Burdctt (change this to Burdell),Sir F. Burdell
SIR J. EERGUSSON,Sir J. Ferguson
SIR J. FERGDSSON,SIR J. FERGUSON
SIR J. FERGUSSOH,SIR J. FERGUSON
SIR J. FERGUSSOX,SIR J. FERGUSON
SIR J. PERGUSSON,SIR J. FERGUSON
Sir John Anslrutlter,Sir John anstruther
Sir O. Moselcy,Sir O. Mosley 
Sir O. Moseley or Sir O. Mosley (which one is correct?),Sir O. Mosley 
STATE FOB THE COLONIES (change to for),STATE FOR THE COLONIES 
The Chan. of the Exchequer,The Chancellor of the Exchequer
The Chanc. of the Exchequer,The Chancellor of the Exchequer 
The Chanc. of tie Excheq.,The Chancellor of the Exchequer 
The Chancellar the Exchequer,The Chancellor of the Exchequer
The Earl of Westn Oreland,The Earl of West Ireland 
The Marquis of Buckinghnm,The Marquess of Buckingham
The Marquis of Lans-downe,Marquess of Lansdowne
The Marquis of Lansdownne,Marquess of Lansdowne
THE UNDERSECRETARY or STATE FOR FOREIGN AFF AIRS (change to the under secretary of state for foreign affairs),the under secretary of state for foreign affairs
VICE-PRESIDE VT OF THE DEPARTMENT OF AGRICULTURE FOR IRELAND,VICE-PRESIDENT OF THE DEPARTMENT OF AGRICULTURE FOR IRELAND
VVASON,Wason
ZOUCHE OF HARYNG-WORTH,ZOUCHE OF HARRINGWORTH
CAMP BELL-BANNERMAN,CAMPBELL-BANNERMAM
CAMPBELL-BANNER-MAN,CAMPBELL-BANNERMAM
Devoriport,Devonport
DR. MACNAAIARA,DR. MCNAMARA
DR. MACNAMARDR.,DR. MCNAMARA
DR. MACNAMRA,DR. MCNAMARA
EARL or HALSBCJRY,EARL OF HALSBURY
EDMUND FITLMALURICE,EDMUND FITZMAURICE
FOR FOREIGN Ar FAIRS,FOR FOREIGN AFFAIRS
HAYKS FISHER,HANS FISHER
LOEDBISHOP OF HEREFORD,LORD BISHOP OF HEREFORD
LoRD CHANBORNE,LORD CRANBOURNE
LORD CRAN-BORNE,LORD CRANBOURNE
LORD EDMUNDFITZMAITRICE,LORD EDMUND FITZMAURICE
LORD TWKKDMOGTH,LORD TWEEDMOUTH
MARQUESS or LONDONDEUX,MARQUESS OF LONDONDERRY
Morimouthshire,Monmouthshire
MR. ALFRED IIUTTON,MR. ALFRED SUTTON
MR. BKODRICK,MR. BRODERICK
MR. HABMSWOBTH,MR. HEMSWORTH
MR. HERBEIIT ROBERTS,MR. HERBERT ROBERTS
MR. LLYOD-GEOEGE,MR. LLOYD-GEORGE
MR. M c C R A E,MR. MCRAE
MR. M c C R A E,MR. MCRAE
Mr. PBETYMAN,Mr. PRETTYMAN
Mr. PNETYMAN,Mr. PRETTYMAN
MR. RUNCINIAN,Mr. RUNCIMAN
MR.EAMENDROBERTSON,MR. EDMUND ROBERTSON
MR.JOHN BURNS(Battersea),MR. JOHN BURNS
SIR A. ACLAND-HOOD (Somersetshire,SIR A. ACLAND-HOOD
SIR GEORGE BAETLEY,SIR GEORGE BAILEY
SIR H. CAMPBELLBAN-NERMAN,SIR H. CAMPBELL-BANNERMAN
SIR. MANCHEEJEE BHOWNAGGREE,SIR. MANCHERJEE BHOWNAGREE
THE ADMIL ALTY,THE ADMIRALTY
THE CHIEF SECRETARY Foil IRELAND,THE CHIEF SECRETARY FOR IRELAND
TWEEDMOITTH,TWEEDMOUTH
UNDER-SECRETARy ofSTATE FOR,UNDER SECRETARY OF STATE FOR
COEIUE GRANT,CORINNE GRANT
DR. MACNAMAHA,DR. MCNAMARA
DR. MACXAMAEA,DR. MCNAMARA
LORD BALFOUROFBUELEIGH,LORD BALFOUR OF BURLEIGH
