member.id,mp.name,mp.sname,mp.fname,mp.dob,mp.dob_approximate,mp.dod,mp.dod_approximate
592,Mr James Farquhar,Farquhar,James,1764-08-01,0,1833-09-04,0
593,Mr James Ferguson,Ferguson,James,1735-05-25,0,1820-09-06,0
594,Sir Thomas Theophilus Metcalfe,Metcalfe,Thomas,1745-01-08,0,1813-11-17,0
595,Mr Charles Duncombe,Duncombe,Charles,1764-12-05,0,1841-07-16,0
596,Mr John Sullivan,Sullivan,John,1749-04-07,0,1839-11-01,0
597,Sir John Aubrey,Aubrey,John,1739-06-04,0,1826-03-14,0
598,Mr John McMahon,McMahon,John,1754-01-01,1,1817-09-12,0
599,Mr Thomas Drake Tyrwhitt-Drake,Tyrwhitt-Drake,Thomas,1749-01-14,0,1810-10-18,0
600,Mr Charles Drake Garrard,Garrard,Charles,1755-12-23,0,1817-07-17,0
601,Mr Thomas Assheton Smith,Smith,Thomas,1751-01-01,1,1828-05-12,0
602,Hon. Newton Fellowes,Fellowes,Newton,1772-01-01,1,1854-12-31,1
603,Sir Arthur Paget,Paget,Arthur,1771-01-15,0,1840-07-26,0
604,Mr Alexander Campbell,Campbell,Alexander,1750-01-01,1,1832-02-24,0
605,Hon. John Bruce Richard O'Neill,O'Neill,John,1780-01-01,1,1855-12-31,1
606,Mr John Courtenay,Courtenay,John,1738-08-22,0,1816-03-24,0
607,Sir Philip Francis,Francis,Philip,1740-10-22,0,1818-12-23,0
608,Lord John Douglas Edward Henry Campbell,Campbell,John,1777-12-21,0,1847-04-25,0
609,Mr Henry Caulfeild,Caulfeild,Henry,1779-07-29,0,1862-03-04,0
610,Mr John Atkins,Atkins,John,1760-01-01,1,1838-10-26,0
611,Mr Thomas Howard,Howard,Thomas,1776-08-18,0,1851-12-04,0
612,Mr Walter Palk,Palk,Walter,1742-01-01,1,1819-02-19,0
613,Sir Hugh Inglis,Inglis,Hugh,1744-04-30,0,1820-08-21,0
614,Mr Robert Bent,Bent,Robert,1745-01-01,1,1832-09-01,0
615,Mr James Du Pre,Pre,James,1778-06-10,0,1870-06-13,0
616,Mr John Campbell,Campbell,John,1750-01-01,1,1826-01-31,0
617,Mr William Fullarton,Fullarton,William,1754-01-12,0,1808-02-13,0
618,Mr Dudley North,North,Dudley,1748-03-14,0,1829-02-21,0
619,Sir William Grant,Grant,William,1752-10-13,0,1832-05-23,0
620,Mr William Devaynes Sir Edward Pellew,Pellew,William,1730-01-01,1,1809-11-29,0
621,Lord John Thynne,Thynne,John,1772-12-28,0,1849-03-10,0
622,Mr John Palmer,Palmer,John,1742-01-01,1,1818-08-16,0
623,Mr Thomas Wynn,Wynn,Thomas,1736-01-01,1,1807-10-12,0
624,Mr Samuel Whitbread,Whitbread,Samuel,1764-01-18,0,1815-07-06,0
625,Mr William Lee-Antonie,Lee-Antonie,William,1764-02-24,0,1815-09-11,0
626,Mr St.Andrew St.John,St.John,St.Andrew,1759-08-22,0,1817-10-15,0
627,Mr John Osborn,Osborn,John,1772-12-03,0,1848-08-28,0
628,Mr William Mitford,Mitford,William,1744-02-10,0,1827-02-08,0
629,Mr George Percy,Percy,George,1778-06-22,0,1867-08-21,0
630,Mr George Vansittart,Vansittart,George,1745-09-15,0,1825-01-31,0
631,Mr Charles Dundas,Dundas,Charles,1751-08-05,0,1832-07-07,0
632,Mr John Fordyce,Fordyce,John,1735-01-01,1,1809-07-01,0
633,Mr Thomas Hall,Hall,Thomas,1747-07-12,0,1815-05-10,0
634,Mr George Baillie,Baillie,George,1763-10-08,0,1841-12-11,0
635,Mr Napier Christie-Burton,Christie-Burton,Napier,1758-08-31,0,1835-01-02,0
636,Mr John Wharton,Wharton,John,1765-06-21,0,1843-05-29,0
637,Mr Miles Peter Andrews,Andrews,Miles,1742-01-01,1,1814-07-18,0
638,Mr William Clive,Clive,William,1745-08-29,0,1825-06-23,0
639,Mr John Robinson,Robinson,John,1757-01-01,1,1819-05-23,0
640,Mr John Benn-Walsh,Benn-Walsh,John,1759-02-10,0,1825-06-07,0
641,Mr James Milnes,Milnes,James,1755-10-11,0,1805-04-21,0
642,Mr Josias du Pre Porcher,Porcher,Josias,1761-01-01,1,1820-05-04,0
643,Mr John Sargent,Sargent,John,1750-01-01,1,1831-09-09,0
644,Mr John Scott,Scott,John,1774-03-08,0,1805-12-24,0
645,Mr Edward Berkeley Portman,Portman,Edward,1771-01-31,0,1823-01-19,0
646,Mr James Archibald Stuart Wortley,Wortley,James,1776-10-06,0,1845-12-19,0
647,Mr John Hiley Addington,Addington,John,1759-01-01,1,1818-06-11,0
648,Mr Thomas Fydell,Fydell,Thomas,1740-10-21,0,1812-04-06,0
649,Mr William Alexander Madocks,Madocks,William,1773-01-17,0,1828-09-29,0
650,Mr John William Egerton,Egerton,John,1753-04-14,0,1823-03-31,0
651,Mr Robert Haldane Bradshaw,Bradshaw,Robert,1759-08-23,0,1835-01-08,0
652,Mr Henry Jodrell,Jodrell,Henry,1750-01-01,1,1814-03-11,0
653,Mr George Manners-Sutton,Manners-Sutton,George,1751-08-01,0,1804-02-15,0
654,Sir Robert Salusbury,Salusbury,Robert,1756-09-10,0,1817-11-17,0
655,Sir Charles Gould Morgan,Morgan,Charles,1726-04-25,0,1806-12-06,0
656,Mr Isaac Hawkins Browne,Browne,Isaac,1745-12-07,0,1818-05-30,0
657,Mr John Whitmore,Whitmore,John,1750-10-15,0,1826-10-09,0
658,Mr Jeffreys Allen,Allen,Jeffreys,1760-01-01,1,1844-08-23,0
2921,Mr John Fort,Fort,John,,1,,1
659,Mr George Pocock,Pocock,George,1765-10-15,0,1840-07-14,0
660,Mr George Barclay,Barclay,George,1759-01-01,1,1819-06-08,0
661,Sir Evan Nepean,Nepean,Evan,1752-07-19,0,1822-10-02,0
662,Mr Charles Bragge,Bragge,Charles,1754-02-28,0,1831-08-13,0
663,Mr Evan Baillie,Baillie,Evan,1741-01-01,1,1835-06-28,0
664,Mr Thomas Grenville,Grenville,Thomas,1755-12-31,0,1846-12-17,0
665,Mr William Allen Proby,Proby,William,1779-06-19,0,1804-08-06,0
666,Mr William Henry Cavendish Cavendish-Scott- Bentinck,Bentinck,William,1768-06-24,0,1854-03-27,0
667,Mr Richard Temple-Nugent-Brydges-Chandos- Grenville,Grenville,Richard,1776-03-20,0,1839-01-17,0
668,Mr Frederick William Hervey,Hervey,Frederick,1769-06-02,0,1859-02-15,0
669,Lord Charles Fitzroy,Fitzroy,Charles,1764-07-14,0,1829-12-20,0
670,Sir John Sinclair,Sinclair,John,1754-05-10,0,1835-12-21,0
671,Mr Edward Paget,Paget,Edward,1775-11-03,0,1849-05-13,0
672,Sir Robert Williams,Williams,Robert,1764-07-20,0,1830-12-01,0
673,Mr Paul Orchard,Orchard,Paul,1739-06-26,0,1812-03-01,0
674,Mr John Inglett-Fortescue,Inglett-Fortescue,John,1758-10-23,0,1840-11-25,0
675,Mr Joseph Jekyll,Jekyll,Joseph,1754-01-01,0,1837-03-08,0
676,Marquess of Lansdowne (Henry Petty Fitzmaurice),Petty Fitzmaurice,Henry,1780-07-02,0,1863-01-31,0
677,Mr Edward Finch,Finch,Edward,1756-04-26,0,1843-10-27,0
678,Mr Robert Manners,Manners,Robert,1758-01-02,0,1823-06-09,0
679,Mr William Pitt George Henry Fitzroy,Fitzroy,William,1759-05-28,0,1806-01-23,0
680,Mr George Henry Fitzroy,Fitzroy,George,1760-01-14,0,1844-09-28,0
681,Mr Charles Philip Yorke,Yorke,Charles,1764-03-12,0,1834-03-13,0
682,Lord Charles Henry Somerset Manners,Manners,Charles,1780-01-01,1,1855-12-31,1
683,Mr Robert Adair,Adair,Robert,1763-05-24,0,1855-10-03,0
684,Mr John Fonblanque,Fonblanque,John,1759-01-01,1,1837-01-04,0
685,Mr George Watson,Watson,George,1768-02-20,0,1824-06-17,0
686,Mr John Baker,Baker,John,1754-01-01,1,1831-01-20,0
687,Lord William Stuart,Stuart,William,1778-11-18,0,1814-07-25,0
688,Mr John Vaughan,Vaughan,John,1769-03-03,0,1831-05-18,0
689,Mr Thomas Johnes,Johnes,Thomas,1748-08-20,0,1816-04-23,0
690,Mr John Christian Curwen,Curwen,John,1756-07-12,0,1828-12-11,0
691,Mr Walter Spencer Stanhope,Stanhope,Walter,1749-02-04,0,1822-04-10,0
692,Mr Charles Montagu Ormsby,Ormsby,Charles,1767-04-23,0,1818-03-03,0
693,Mr Walter Bagenal,Bagenal,Walter,1762-01-01,1,1814-06-18,0
694,Mr David Latouche,Latouche,David,1769-05-05,0,1816-03-15,0
695,Mr John George Philipps,Philipps,John,1761-01-01,1,1816-06-01,0
696,Mr James Hamlyn Williams,Williams,James,1765-10-25,0,1829-12-03,0
697,Lord Spencer Stanley Chichester,Chichester,Spencer,1775-04-20,0,1819-02-22,0
698,Mr William Wickham,Wickham,William,1761-11-11,0,1840-10-22,0
699,Mr Charles Bagot-Chester,Bagot-Chester,Charles,1770-10-25,0,1838-06-11,0
700,Mr Peter Isaac Thellusson,Thellusson,Peter,1761-10-13,0,1808-09-16,0
701,Mr Thomas Cholmondeley,Cholmondeley,Thomas,1767-08-09,0,1855-10-30,0
702,Mr William Egerton,Egerton,William,1749-05-09,0,1806-04-21,0
703,Mr Thomas Grosvenor,Grosvenor,Thomas,1764-05-30,0,1851-01-20,0
704,Mr Richard Erle Drax Grosvenor,Grosvenor,Richard,1762-10-05,0,1819-02-08,0
705,Mr Thomas Steele,Steele,Thomas,1753-11-17,0,1823-12-08,0
706,Mr George White-Thomas,White-Thomas,George,1750-01-01,1,1821-06-24,0
707,Mr James Dawkins,Dawkins,James,1760-01-01,1,1843-03-13,0
708,Mr Charles Brooke,Brooke,Charles,1760-01-30,0,1833-05-22,0
